paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,article_type,template_family
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154721-033,0,doi:10.1257/app.20220532-TBL-C001,finding,: k session; Misc. data: collection,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,empirical_v2
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154721-034,0,doi:10.1257/app.20220532-TBL-C002,finding,: rk session; WTP: collection,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,empirical_v2
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154721-035,0,doi:10.1257/app.20220532-TBL-C003,finding,: rk session,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,empirical_v2
doi:10.1257/app.20220532,"Noise, Cognitive Function, and Worker Productivity",acoustic,TBL-20260213154722-036,0,doi:10.1257/app.20220532-TBL-C004,finding,Experiment 1: Experiment 2,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,empirical_v2
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,0,doi:10.1038/s41598-019-46099-7-TBL-C001,finding,Stress: Urban; : Forest; Recovery: Urban,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,1,doi:10.1038/s41598-019-46099-7-TBL-C002,finding,Stress: M = 1.139; : M = 0.3538; Recovery: M = 1.0468,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,2,doi:10.1038/s41598-019-46099-7-TBL-C003,finding,Stress: SD = 4.0160; : SD = 2.4693; Recovery: SD = 4.3801,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154923-168,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C001,finding,10.2.17: 301,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154923-169,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C002,finding,": figure 1. the connotation of product
aesthetics.",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154923-169,2,doi:10.4305/metu.jfa.2010.2.17-TBL-C003,finding,": figure 2. doorbell button designed by tom
gordon and ted pierson (1995).",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154924-171,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C004,finding,": figure 3. disassemble-reassemble
implemented in handle texture tests.",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154924-172,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C005,finding,": figure 6. four dimensions and lexicons for
texture description.",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154924-173,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C006,finding,": figure 7. types of psychophysical
relationships for materials.",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154924-174,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C007,finding,": figure 10. combining the ces and material-
aesthetics databases in teaching materials
for design.
figure 11. example of contextual study of
material sensory perception for industry.",0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
