paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
sha256:7d6ef3515eb7,10.29121/shodhkosh.v6.i2.2025.6654,B  Beyond The Visual: The Impacts,2024,ShodhKosh: Journal of Visual and Performing Arts,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The paper will explore the relations between women centered law and the rights of men by the use of a new field of visual law, which applies visual aids to understand the complexity of legal formations in the shape of diagrams, flow-charts, and data maps. Although past developments in protective laws against...",yes,unknown,conceptual_framework
sha256:798c26aa8c81,10.33140/amlai.05.02.05,A  Complexity As A Feature Of Inte,2019,Advances in Machine Learning &amp; Artificial Intelligence,other,0,unspecified_environment,productivity,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,<jats:p>This paper presents a prototype-based soft feature selection package (Sofes) wrapped around the highly interpretable Matrix Robust Soft Learning Vector Quantization (MRSLVQ) and the Local MRSLVQ algorithms. The process of assessing feature relevance with Sofes aligns with a comparable approach established in...,yes,unknown,conceptual_framework
doi:10.3390/s131114438,10.3390/s131114438,Integration of Utilities Infrastructures in a Future Internet Enabled Smart City Framework,2013,Sensors,light,0,daylight,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Improving efficiency of city services and facilitating a more sustainable development of cities are the main drivers of the smart city concept. Information and Communication Technologies (ICT) play a crucial role in making cities smarter, more accessible and more open. In this paper we present a novel architecture e...",no,unknown,conceptual_framework
doi:10.3389/fpsyg.2022.930138,10.3389/fpsyg.2022.930138,RETRACTED: Relating Sustainable Business Development Practices and Information Management in Promoting Digital Green Innovation: Evidence From China,2022,Frontiers in Psychology,biophilic,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Digital green innovations are being implemented in manufacturing to help organizations achieve sustainability by adopting sustainable development practices (SDPC). However, little is known about the impact of the information management process (IMP) on organizations’ digital green innovation. To address this gap, we...",no,cross_sectional_survey,conceptual_framework
doi:10.18860/jia.v8i3.24337,10.18860/jia.v8i3.24337,Sustainability of the Lighting Environment for the Architecture of the Imam Ali Shrine in Najaf Al-Ashraf,2025,Journal of Islamic Architecture,light,0,daylight,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The creativity and skill in producing architecture enhance spiritual values by using hidden concepts of mystery, symbolism, and mathematical laws. Therefore, spiritual architectural edifices are useful in terms of their needs, how to deal with them, and the contemplation. One of the examples is the golden dome in th...",no,theoretical_conceptual,conceptual_framework
doi:10.1080/07370008.2021.1945064,10.1080/07370008.2021.1945064,Luminous Science: Teachers Designing For and Developing Transdisciplinary Thinking and Learning,2021,Cognition and Instruction,cognition,0,unspecified_environment,stress,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Creating learning environments that integrate arts, sciences, and computing in education can improve learning in these disciplines. In particular, transdisciplinary integrations of these disciplines can lead to expansive alterations or dissolutions of epistemological, ideological, and methodological boundaries. We w...",no,methods_protocol,conceptual_framework
doi:10.3390/jimaging11110377,10.3390/jimaging11110377,Learning Domain-Invariant Representations for Event-Based Motion Segmentation: An Unsupervised Domain Adaptation Approach.,2025,Journal of imaging,other,0,daylight,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Event cameras provide microsecond temporal resolution, high dynamic range, and low latency by asynchronously capturing per-pixel luminance changes, thereby introducing a novel sensing paradigm. These advantages render them well-suited for high-speed applications such as autonomous vehicles and dynamic environments. ...",no,unknown,conceptual_framework
doi:10.1371/journal.pbio.3001571,10.1371/journal.pbio.3001571,"Recommendations for daytime, evening, and nighttime indoor light exposure to best support physiology, sleep, and wakefulness in healthy adults",2022,PLoS Biology,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Ocular light exposure has important influences on human health and well-being through modulation of circadian rhythms and sleep, as well as neuroendocrine and cognitive functions. Prevailing patterns of light exposure do not optimally engage these actions for many individuals, but advances in our understanding of th...",no,unknown,conceptual_framework
doi:10.37547/feaiml/volume02issue08-02,10.37547/feaiml/volume02issue08-02,Explainable AI in Machine Learning: Building Transparent Models for Business Applications,2025,Frontiers in Emerging Artificial Intelligence and Machine Learning,cognition,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Explainable Artificial Intelligence (XAI) addresses one of the most critical challenges in machine learning. That is the opacity of complex models. While traditional AI models offer powerful, predictable capabilities, their lack of interpretability creates obstacles for adoption in high-stakes business applications....",no,unknown,conceptual_framework
doi:10.1192/bjo.2025.10299,10.1192/bjo.2025.10299,Simulation Based Education for Building Skills in the Management of Emotional Dysregulation and Self-Harm on Children and Adolescent Mental Health Inpatient Wards,2025,BJPsych Open,thermal,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Aims: Professionals in Child and Adolescent Mental Health Services (CAMHS) inpatient settings frequently manage cases of heightened emotional dysregulation, self-harm, and risky behaviours. Successful management required specialised techniques and a deep understanding of both therapeutic interventions and legal fram...",no,unknown,conceptual_framework
doi:10.3390/su16062537,10.3390/su16062537,Applying Stimulus–Organism–Response Theory to Explore the Effects of Augmented Reality on Consumer Purchase Intention for Teenage Fashion Hair Dyes,2024,Sustainability,affect,0,unspecified_environment,mood,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The application of augmented reality (AR) in the beauty and hairdressing industry provides customers with a rich experience, especially in terms of virtual hair styling. Through virtual hair color tests, customers can quickly decide on the most suitable hair dye for them. Teenagers use multimedia communication chann...",no,cross_sectional_survey,conceptual_framework
doi:10.1108/jrim-11-2018-0147,10.1108/jrim-11-2018-0147,Analyzing the effects of visual aesthetic of Web pages on users’ responses in online retailing using the VisAWI method,2020,,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Purpose
The success of e-commerce websites depends on their effective communication and influence on their users. At first glance, the users are impressed by the website design and, if inspired, they would continue their operations on the website. This paper aims to evaluate the effects of visual aesthetic of the We...",no,cross_sectional_survey,conceptual_framework
doi:10.1016/j.jobe.2024.111293,10.1016/j.jobe.2024.111293,Evaluation and optimization of annual light variations for visual and non-visual effects within a ground-floor middle school classroom,2024,Journal of Building Engineering,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"The quality of the luminous environment in classrooms significantly impacts the performance, physical and psychological health of teenagers. This study proposes an emerging framework and improves the metrics to concurrently evaluate the visual and non-visual effects of annual lighting performance within Chinese clas...",no,unknown,conceptual_framework
doi:10.1051/e3sconf/202339601029,10.1051/e3sconf/202339601029,Decoding human perception for building indoor environmental comfort: Testing the Hue-Heat-Hypothesis via physiological and psychological response analysis,2023,E3S Web of Conferences,thermal,0,thermal,attention,null,,medium,abstract_only_reduced_table,abstract_only,"The recent energy crisis limits humans’ adaptation capability to climate change in indoors, making access to active air conditioning prohibitive. Since lighting systems are less energy-consuming then conditioning systems, this work focuses on visual stimuli to affect occupant’s thermal perception in the framework of...",no,cross_sectional_survey,conceptual_framework
doi:10.20944/preprints202012.0037.v1,10.20944/preprints202012.0037.v1,"&lt;strong&gt;Recommendations for Healthy Daytime, Evening, and Night-Time Indoor Light Exposure&lt;/strong&gt;",2020,Preprints.org,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Ocular light exposure has important influences on human health and well-being through modulation of circadian rhythms and sleep, as well as neuroendocrine and cognitive functions. Current patterns of light exposure do not optimally engage these actions for many individuals, but advances in our understanding of the u...",no,unknown,conceptual_framework
doi:10.15627/jd.2024.24,10.15627/jd.2024.24,Parametric Optimization Approach to Evaluate Dynamic Shading Within Double-Skin Insulated Glazed Units for Multi-Criteria Daylighting Performance in Tropics,2024,Journal of Daylighting,light,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,This research aims to support the choice of an appropriate dynamic louver shading system (DL-SS) within double-skin facade insulated glazed units (DSF-IGUs) as a high-performance integrated window system (DSF-IGUs/DL-SS) that meets both thermal and energy performance via daylight availability under a tropical climat...,no,unknown,conceptual_framework
doi:10.7816/nesne-09-19-12,10.7816/nesne-09-19-12,Gestalt Theory’s Less Known Studies: Memory,2021,Nesne Psikoloji Dergisi,cognition,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"This article is a sequel to “Gestalt Theory: Its Past, its Stranding, and its Future..”. It focuses on what Gestalt theory proposed and produced within the area of memory, which unfortunately are almost unknown. It is typically believed that Gestalt theory is a theory about perception only. This, however, is not tru...",no,theoretical_conceptual,conceptual_framework
doi:10.3390/su12114391,10.3390/su12114391,Performance Evaluation and Design of Thermo-Responsive SMP Shading Prototypes,2020,Sustainability,thermal,0,thermal,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Smart materials with changeable properties responding to environmental changes are studied in architecture. Shape Memory Polymer (SMP) is preferred among available thermo-responsive smart materials for architectural applications because of its advantages of reaction temperatures, deformation patterns, shape-changing...",no,unknown,conceptual_framework
doi:10.15627/jd.2021.21,10.15627/jd.2021.21,Development of a Machine-Learning Framework for Overall Daylight and Visual Comfort Assessment in Early Design Stages,2021,Journal of Daylighting,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,Application of machine learning methods as an alternative for building simulation software has been progressive in recent years. This research is mainly focused on the assessment of machine learning algorithms in prediction of daylight and visual comfort metrics in the early design stages and providing a framework f...,no,rct_interventional,conceptual_framework
doi:10.26868/25222708.2021.30235,10.26868/25222708.2021.30235,A machine-learning framework for daylight and visual comfort assessment in early design stages,2021,Building Simulation Conference proceedings,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,This research is mainly focused on the assessment of machine learning algorithms in the prediction of daylight and visual comfort metrics in the early design stages. A dataset was primarily developed from 2880 simulations derived from Honeybee for Grasshopper. The simulations were done for a shoebox space with a one...,no,unknown,conceptual_framework
doi:10.1016/j.enbuild.2024.115144,10.1016/j.enbuild.2024.115144,Characterizing Architectural Glazing Performance for Circadian Light.,2025,Energy and buildings,light,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,"Growing research on the non-visual impacts of light underscores the importance of architectural glazing systems in managing transmitted shortwave solar light and shaping indoor circadian light, vital for enhancing well-being. This study, conducted in two phases, evaluates the effectiveness of existing window propert...",no,unknown,conceptual_framework
doi:10.1088/1742-6596/2069/1/012153,10.1088/1742-6596/2069/1/012153,Utilizing High Performance Computing to Improve the Application of Machine Learning for Time-Efficient Prediction of Buildings’ Daylighting Performance,2021,Journal of Physics Conference Series,light,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Abstract Architects often investigate the daylighting performance of hundreds of design solutions and configurations to ensure an energy-efficient solution for their designs. To shorten the time required for daylighting simulations, architects usually reduce the number of variables or parameters of the building and ...",no,unknown,conceptual_framework
doi:10.1109/TAFFC.2024.3474098,10.1109/TAFFC.2024.3474098,Measuring Affective State: Subject-Dependent and -Independent Prediction Based on Longitudinal Multimodal Sensing,2025,IEEE Transactions on Affective Computing,cognition,0,unspecified_environment,attention,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Current sensors offering passive and continuous monitoring of behavioral patterns potentially enable real-time affective state monitoring. Previous research on affective state prediction with multimodal sensing in daily life has shown only small-to-moderate effects. One reason for this limited success might be the l...,no,observational,conceptual_framework
doi:10.3992/1943-4618.17.1.105,10.3992/1943-4618.17.1.105,"INTRODUCTION OF NEW DAYLIGHTING METRICS FOR HEALTH, WELLBEING, AND FEASIBILITY: A STUDY OF THE INDOOR BUILDING ENVIRONMENT",2022,"Journal of Green Building, College Publishing, USA",light,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"This study investigates the applicability of a new daylighting metric based on human health, an emerging framework for evaluating the effect of daylight on building occupants. Procedures based on modeling annual daylight availability are used to determine the mapping of daylight distribution on a daily, seasonal, an...",no,unknown,conceptual_framework
doi:10.15627/jd.2024.22,10.15627/jd.2024.22,Investigation of the Effect of Parametric Patterned Façade and Resulting Daylight Illuminance on Students’ Mood and Task Performance in Architecture Studio-Based Tutoring,2024,Journal of Daylighting,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,Parametric design is one of the thriving contemporary architectural treatments that not only has an influence on the design of building envelopes but is capable of affecting the users physically and psychologically. The efficiency of the daylight resulting from the facade is greatly affected by the envelope’s perfor...,no,cross_sectional_survey,conceptual_framework
doi:10.1038/s41598-024-69026-x,10.1038/s41598-024-69026-x,Assessing the impact of glazing and window shade systems on view clarity.,2024,Scientific reports,light,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,"Windows provide access to daylight and outdoor views, influencing building design. Various glazing and window shade materials are used to mitigate glare, overheating and privacy issues, and they affect view clarity. Among them, we evaluated the effect of window films, electrochromic (EC) glass, and fabric shades on ...",no,unknown,conceptual_framework
doi:10.1111/gcb.13376,10.1111/gcb.13376,Do maize models capture the impacts of heat and drought stresses on yield? Using algorithm ensembles to identify successful approaches,2016,Global Change Biology,thermal,0,thermal,stress,mixed,,medium,abstract_only_reduced_table,abstract_only,"Abstract Stresses from heat and drought are expected to increasingly suppress crop yields, but the degree to which current models can represent these effects is uncertain. Here we evaluate the algorithms that determine impacts of heat and drought stress on maize in 16 major maize models by incorporating these algori...",no,unknown,conceptual_framework
