paper_id,doi,title,year,venue,status,article_type_family,article_type_predicted_family,article_type_confidence,article_type_runner_up,article_type_margin,article_type_signals,article_type_diagnostics,type_review_flags,processed_at
doi:10.1002/adfm.202008831,10.1002/adfm.202008831,Recent Advances and Opportunities of Active Materials for Haptic Technologies in Virtual and Augmented Reality - Yang - 2021 - Advanced Functional Materials - Wiley Online Library,,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:57:47.983823+00:00
doi:10.1002/cne.920180503,10.1002/cne.920180503,The relation of strength of stimulus to rapidity of habit‐formation,1908,Journal of Comparative Neurology and Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:57:47.983823+00:00
doi:10.1002/hbm.24616,10.1002/hbm.24616,The neural correlates of the awe experience: Reduced default mode network activity during feelings of awe,2019,,completed_pdf_extracted,unknown,thought_piece,0.4545,empirical_v2,0.5000,title_pattern:perspective,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T21:57:56.177125+00:00
doi:10.1002/joc.2120,10.1002/joc.2120,Effect of thermal adaptation on seasonal outdoor thermal comfort,2011,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T21:57:56.177125+00:00
doi:10.1006/jevp.1996.0015,10.1006/jevp.1996.0015,METHODOLOGICAL CONVERGENCE IN COGNITIVE MAPPING RESEARCH: INVESTIGATING CONFIGURATIONAL KNOWLEDGE,1996,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:58:43.832751+00:00
doi:10.1006/jevp.1999.0169,10.1006/jevp.1999.0169,"EXERCISED CONTROL, LIGHTING CHOICES, AND ENERGY USE: AN OFFICE SIMULATION EXPERIMENT",2000,Journal of Environmental Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:58:56.175501+00:00
doi:10.1006/jevp.2000.0186,10.1006/jevp.2000.0186,CONSENSUS IN LANDSCAPE PREFERENCE JUDGEMENTS,2001,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:59:05.157415+00:00
doi:10.1006/jevp.2001.0221,10.1006/jevp.2001.0221,PLACE ATTACHMENT: CONCEPTUAL AND EMPIRICAL QUESTIONS,2001,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:59:05.157415+00:00
doi:10.1007/11853565_19,10.1007/11853565_19,Instrumenting the City: Developing Methods for Observing and Understanding the Digital Cityscape,2006,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T21:59:42.705479+00:00
doi:10.1007/3-540-48384-5_25,10.1007/3-540-48384-5_25,A Formal Model of the Process of Wayfinding in Built Environments,1999,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T21:59:42.705479+00:00
doi:10.1007/978-1-4613-3539-9_4,10.1007/978-1-4613-3539-9_4,Aesthetic and Affective Response to Natural Environment,1983,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:59:59.124359+00:00
doi:10.1007/978-1-4757-4425-5_4,10.1007/978-1-4757-4425-5_4,The Facets of Place,1997,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T21:59:59.124359+00:00
doi:10.1007/978-3-031-04714-5_6,10.1007/978-3-031-04714-5_6,Adaptive and Sustainability for Visual and Perceptive Comfort: Neuroscience and Architecture,2022,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T22:00:19.922119+00:00
doi:10.1007/978-3-319-45430-6,10.1007/978-3-319-45430-6,Maritime Psychology,2017,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T22:01:15.246717+00:00
