paper_id,doi,title,year,venue,status,n_tables,n_claims,anchor_coverage,unresolved_environment_rate,unresolved_outcome_rate,theory_link_count,inter_article_relation_count,node_type_tag_rate,edge_type_tag_rate,quality_flags,processed_at
doi:10.1016/j.aei.2018.11.007,10.1016/j.aei.2018.11.007,Assessing the influence of repeated exposures and mental stress on human wayfinding performance in indoor environments using virtual reality technology,2019,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2010.07.005,10.1016/j.apacoust.2010.07.005,Verbal communication and noise in eating establishments,2010,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2011.01.001,10.1016/j.apacoust.2011.01.001,Towards standardization in soundscape preference assessment,2011,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2011.03.006,10.1016/j.apacoust.2011.03.006,"An exploratory evaluation of perceptual, psychoacoustic and acoustical properties of urban soundscapes",2013,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2011.11.006,10.1016/j.apacoust.2011.11.006,The development and application of the emotional dimensions of a soundscape,2011,Applied Acoustics,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2011.12.003,10.1016/j.apacoust.2011.12.003,A framework for improving urban soundscapes,2013,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2018.04.003,10.1016/j.apacoust.2018.04.003,Effects of the location of sound masking loudspeakers on cognitive performance in open-plan offices: Local sound masking is as efficient as conventional sound masking,2018,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2018.07.008,10.1016/j.apacoust.2018.07.008,Combined effects of sound and illuminance on indoor environmental perception,2018,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2020.107570,10.1016/j.apacoust.2020.107570,Effects of environmental sound quality on soundscape preference in a public urban space,2021,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
doi:10.1016/j.apacoust.2021.108313,10.1016/j.apacoust.2021.108313,Comparison between architects and non-architects on perceptions of architectural acoustic environments,2021,,error_pdf_processing,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_error,2026-02-20T23:09:56.013345+00:00
