paper_id,doi,title,year,venue,status,article_type_family,article_type_predicted_family,article_type_confidence,article_type_runner_up,article_type_margin,article_type_signals,article_type_diagnostics,type_review_flags,processed_at
doi:10.1002/cne.920180503,10.1002/cne.920180503,The relation of strength of stimulus to rapidity of habit‐formation,1908,Journal of Comparative Neurology and Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:52:05.287996+00:00
doi:10.1002/hbm.24616,10.1002/hbm.24616,The neural correlates of the awe experience: Reduced default mode network activity during feelings of awe,2019,,completed_pdf_extracted,unknown,thought_piece,0.4545,empirical_v2,0.5000,title_pattern:perspective,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T18:52:05.287996+00:00
doi:10.1002/joc.2120,10.1002/joc.2120,Effect of thermal adaptation on seasonal outdoor thermal comfort,2011,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T18:52:05.287996+00:00
doi:10.1006/jevp.1996.0015,10.1006/jevp.1996.0015,METHODOLOGICAL CONVERGENCE IN COGNITIVE MAPPING RESEARCH: INVESTIGATING CONFIGURATIONAL KNOWLEDGE,1996,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:52:05.287996+00:00
doi:10.1006/jevp.1999.0169,10.1006/jevp.1999.0169,"EXERCISED CONTROL, LIGHTING CHOICES, AND ENERGY USE: AN OFFICE SIMULATION EXPERIMENT",2000,Journal of Environmental Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:52:48.295448+00:00
doi:10.1006/jsvi.2001.4166,10.1006/jsvi.2001.4166,AFFECTIVE EVALUATIONS OF AND REACTIONS TO EXTERIOR AND INTERIOR VEHICLE AUDITORY QUALITY,2002,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:52:48.295448+00:00
doi:10.1007/11853565_19,10.1007/11853565_19,Instrumenting the City: Developing Methods for Observing and Understanding the Digital Cityscape,2006,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T18:52:48.295448+00:00
doi:10.1007/3-540-48384-5_25,10.1007/3-540-48384-5_25,A Formal Model of the Process of Wayfinding in Built Environments,1999,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T18:53:48.987104+00:00
doi:10.1007/978-3-031-41148-9_12,10.1007/978-3-031-41148-9_12,Emotional Response to Different Lighting Conditions,2024,,completed_pdf_extracted,unknown,empirical_v2,0.2182,observational_field,0.2000,default_empirical_from_structural_core,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:53:48.987104+00:00
doi:10.1007/978-3-319-45430-6,10.1007/978-3-319-45430-6,Maritime Psychology,2017,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T18:53:48.987104+00:00
