paper_id,doi,title,year,venue,status_before,n_tables_before,n_claims_before,article_type_family,article_type_predicted_family,article_type_confidence,article_type_margin,type_review_flags,priority_score,priority_reasons,priority_rank,selected_for_reprocess
doi:10.1177/0013916590225001,10.1177/0013916590225001,Finding the Building in Wayfinding,1990,Environment and Behavior,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,1,yes
doi:10.1371/journal.pone.0016429,10.1371/journal.pone.0016429,"Non-Visual Effects of Light on Melatonin, Alertness and Cognitive Performance: Can Blue-Enriched Light Keep Us Alert?",2011,PLoS ONE,completed_pdf_no_claims,1,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,2,yes
doi:10.1006/cogp.1998.0681,10.1006/cogp.1998.0681,Contextual Cueing: Implicit Learning and Memory of Visual Context Guides Spatial Attention,1998,Cognitive Psychology,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,3,yes
doi:10.1177/001391659803000408,10.1177/001391659803000408,Effects of Office Lighting on Mood and Cognitive Performance And A Gender Effect in Work-xRelated Judgment,1998,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,4,yes
doi:10.1111/j.2044-8295.1979.tb01680.x,10.1111/j.2044-8295.1979.tb01680.x,Dimensions and determinants of judgements of colour samples and a simulated interior space by architects and non‐architects,1979,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,5,yes
doi:10.1016/j.cub.2006.06.031,10.1016/j.cub.2006.06.031,Daytime Light Exposure Dynamically Enhances Brain Responses,2006,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,6,yes
doi:10.1177/0013916589215001,10.1177/0013916589215001,Environmental Preference: A Comparison of Four Domains of Predictors,1989,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,7,yes
doi:10.1016/s0378-7788(02)00005-1,10.1016/s0378-7788(02)00005-1,Thermal comfort in naturally ventilated buildings: revisions to ASHRAE Standard 55,2002,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,8,yes
doi:10.1177/001391657684003,10.1177/001391657684003,Spatial and Social Aspects of Crowding Perception,1976,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,9,yes
doi:10.7454/proust.v3i1.81,10.7454/proust.v3i1.81,"Neuroscience, Wellbeing, and Urban Design: Our Universal Attraction to Vitality",2020,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,10,yes
doi:10.1007/3-540-45004-1_7,10.1007/3-540-45004-1_7,Cognition Meets Le Corbusier — Cognitive Principles of Architectural Design,2003,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,11,yes
doi:10.1177/0022022117698039,10.1177/0022022117698039,Preferred Interpersonal Distances: A Global Comparison,2017,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,12,yes
doi:10.1016/j.ufug.2008.01.001,10.1016/j.ufug.2008.01.001,The perceived restorativeness of gardens – Assessing the restorativeness of a mixed built and natural scene type,2008,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,13,yes
doi:10.3390/su16208880,10.3390/su16208880,Cultural Sensitivity and Social Well-Being in Embassy Architecture: Educational Approaches and Design Strategies,2024,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.5455,1.5,classifier_flagged|low_confidence,226.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|high_margin|low_confidence_with_predicted_family,14,yes
zotero:7UTCT4T2,,Dichotomic Reciprocity: The Practice of a More Intimate Biomimicry in Architectural Design,2021,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.2182,0.2,classifier_flagged|low_confidence|low_margin,220.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|low_margin_flag|low_confidence_with_predicted_family,15,yes
doi:10.1089/acm.2004.10.s-71,10.1089/acm.2004.10.s-71,Healing Spaces: Elements of Environmental Design That Make an Impact on Health,2004,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.2182,0.2,classifier_flagged|low_confidence|low_margin,220.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|low_margin_flag|low_confidence_with_predicted_family,16,yes
doi:10.1162/104648801753168765,10.1162/104648801753168765,Corporeal Experience: A Haptic Way of Knowing,2001,,completed_pdf_no_claims,0,0,unknown,empirical_v2,0.2182,0.2,classifier_flagged|low_confidence|low_margin,220.000,status:no_claims|unknown_with_predicted_family|predicted_empirical|empirical_no_claims|low_margin_flag|low_confidence_with_predicted_family,17,yes
doi:10.1007/s12199-009-0091-z,10.1007/s12199-009-0091-z,Trends in research related to “Shinrin-yoku” (taking in the forest atmosphere or forest bathing) in Japan,2009,Environmental Health and Preventive Medicine,completed_pdf_no_claims,0,0,unknown,narrative_review,0.3636,0.0,classifier_flagged|low_confidence|low_margin,168.000,status:no_claims|unknown_with_predicted_family|predicted_synthesis|low_margin_flag|low_confidence_with_predicted_family,18,yes
