paper_id,doi,title,year,venue,status,n_tables,n_claims,anchor_coverage,unresolved_environment_rate,unresolved_outcome_rate,theory_link_count,inter_article_relation_count,node_type_tag_rate,edge_type_tag_rate,quality_flags,processed_at
doi:10.3389/frsc.2021.690055,10.3389/frsc.2021.690055,Access to Daylight and Views Improves Physical and Emotional Wellbeing of Office Workers: A Crossover Study,2021,Frontiers in Sustainable Cities,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:30:58.110812+00:00
doi:10.1016/j.asej.2022.101810,10.1016/j.asej.2022.101810,"Simulating the natural lighting for a physical and mental Well-being in residential building in Dubai, UAE",2022,Ain Shams Engineering Journal,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:33:58.321033+00:00
doi:10.3390/ijerph110202108,10.3390/ijerph110202108,"Effects of Age, Season, Gender and Urban-Rural Status on Time-Activity: Canadian Human Activity Pattern Survey 2 (CHAPS 2)",2014,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:36:58.330153+00:00
doi:10.3390/su12051830,10.3390/su12051830,Examining the Quasi-Public Spaces in Commercial Complexes,2020,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:39:58.338738+00:00
doi:10.3390/su12104263,10.3390/su12104263,Towards a Sustainable Indoor Lighting Design: Effects of Artificial Light on the Emotional State of Adolescents in the Classroom,2020,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:42:58.347793+00:00
doi:10.25916/sut.26402764.v1,10.25916/sut.26402764.v1,The impact of nonvisual effects of daylight on building occupants: Implications on lighting standards and human centric lighting design,2024,,error_pdf_timeout,41,1372,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:45:58.421319+00:00
doi:10.18419/opus-9385,10.18419/opus-9385,"Simultaneous optimization of office building facades in terms of both energy consumption and transparency in hot arid climates, analysed on the example of Cairo",2017,,error_pdf_timeout,348,757,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:48:58.557506+00:00
doi:10.3390/su152216104,10.3390/su152216104,Examining the Impact of Crowding Perception on the Generation of Negative Emotions among Users of Small Urban Micro Public Spaces,2023,,error_pdf_timeout,1,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:52:06.801291+00:00
doi:10.1177/1477153517750714,10.1177/1477153517750714,Perceived well-being and light-reactive hormones: An exploratory study,2019,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T18:58:32.855775+00:00
zotero:F4X7UZLU,,Human Centric School Lighting,2015,,error_pdf_timeout,68,377,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:01:32.886765+00:00
doi:10.1080/00038628.2018.1523129,10.1080/00038628.2018.1523129,Examining wayfinding behaviours in architectural spaces using brain imaging with electroencephalography (EEG),2018,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:04:32.898347+00:00
doi:10.1080/01441647.2012.712555,10.1080/01441647.2012.712555,"Wayfinding: A simple concept, a complex process",2012,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:07:32.908411+00:00
doi:10.56261/jars.v22.269283,10.56261/jars.v22.269283,Restorative Interior Design to Renew Attention and Reduce Stress in Small Residential Units,2024,,error_pdf_timeout,2,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:10:32.925726+00:00
doi:10.1007/978-981-99-8405-3_13,10.1007/978-981-99-8405-3_13,Optimizing for Orientation in Complex Spaces,2024,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:13:32.946811+00:00
doi:10.1111/cogs.12518,10.1111/cogs.12518,"Recombinant Enaction: Manipulatives Generate New Procedures in the Imagination, by Extending and Recombining Action Spaces",2018,,error_pdf_timeout,184,849,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T19:16:32.986713+00:00
doi:10.1068/p5921,10.1068/p5921,Movement and the Rubber Hand Illusion,2009,,error_pdf_timeout,7,513,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T21:47:58.933683+00:00
doi:10.1016/j.neuropsychologia.2014.08.030,10.1016/j.neuropsychologia.2014.08.030,Full body action remapping of peripersonal space: The case of walking,2015,,error_pdf_timeout,91,346,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T21:50:58.973775+00:00
doi:10.1080/09613218.2021.2006594,10.1080/09613218.2021.2006594,Nature connectedness and biophilic design,2022,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T21:53:58.981926+00:00
doi:10.3390/s22218135,10.3390/s22218135,Stress Monitoring Using Wearable Sensors: A Pilot Study and Stress-Predict Dataset,2022,,error_pdf_timeout,1,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T21:56:58.990568+00:00
zotero:ZHKHNN33,,HUMANNESS AND ARCHITECTURE: LATENT VALUE SYSTEMS IN ARCHITECTURAL THEORY,,,error_pdf_timeout,4,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T21:59:59.000267+00:00
zotero:TFKWSKYP,,Play That One Again: the Effect of Music Tempo on Consumer Behaviour in a Restaurant,,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T22:02:59.010445+00:00
doi:10.48550/arxiv.2309.15840,10.48550/arxiv.2309.15840,How to Catch an AI Liar: Lie Detection in Black-Box LLMs by Asking Unrelated Questions,2023,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T22:05:59.010639+00:00
doi:10.1037/a0037983,10.1037/a0037983,Hearing something emotional influences memory for what was just seen: How arousal amplifies effects of competition in memory consolidation.,2014,,error_pdf_timeout,0,0,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T22:08:59.018655+00:00
