paper_id,doi,title,venue,year,topic_decision,triage_decision,topic_bucket,citation_count,priority_score,selection_reason,protected_reasons,must_include,pdf_path
doi:10.1126/SCIENCE.6143402,10.1126/SCIENCE.6143402,View through a window may influence recovery from surgery.,Science,1984,off_topic,pending,light,0,125.000,must_include_seed,hbe_allowlist,true,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1126_SCIENCE.6143402.pdf
doi:10.1073/pnas.1301227110,10.1073/pnas.1301227110,Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,Proceedings of the National Academy of Sciences of the United States of America,2013,on_topic,,affect,0,106.900,must_include_seed,,true,data/pdfs/10.1073_pnas.1301227110.pdf
sha256:16411ff2fd9e,10.3197/096327111x12997574391724,'Nature And I Are Two' A Critical Examination Of The Biophilia Hypothesis,Environmental Values,2011,on_topic,send_to_eater,biophilic,0,106.300,must_include_seed,,true,data/'Nature and I are Two'- A Critical Examination of the Biophilia Hypothesis.pdf
doi:10.1016/j.jobe.2024.110224,10.1016/j.jobe.2024.110224,"A review of subjective evaluation, physiological indicators and cognitive performance in indoor light environment: the role of illuminance and correlated color temperature",Journal of Building Engineering,2024,off_topic,pending,light,0,35.200,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jobe.2024.110224.pdf
doi:10.36922/ghes.0549,10.36922/ghes.0549,Neuroinclusive workplaces and biophilic design: Strategies for promoting occupational health and sustainability in smart cities,Global Health Economics and Sustainability,2023,off_topic,pending,biophilic,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.36922_ghes.0549.pdf
doi:10.3390/su15010840,10.3390/su15010840,Toward Regenerative Sustainability: A Passive Design Comfort Assessment Method of Indoor Environment,Sustainability,2023,off_topic,pending,cognition,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su15010840.pdf
doi:10.1016/j.buildenv.2023.110380,10.1016/j.buildenv.2023.110380,"Personal control of correlated color temperature of light: Effects on thermal comfort, visual comfort, and cognitive performance",Building and Environment,2023,off_topic,pending,thermal,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2023.110380.pdf
doi:10.1016/j.buildenv.2022.109944,10.1016/j.buildenv.2022.109944,"Effects of correlated color temperature of light on thermal comfort, thermophysiology and cognitive performance",Building and Environment,2022,off_topic,pending,thermal,0,34.600,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2022.109944.pdf
doi:10.3390/ijerph17093219,10.3390/ijerph17093219,The Impact of Optimized Daylight and Views on the Sleep Duration and Cognitive Performance of Office Workers,International Journal of Environmental Research and Public Health,2020,off_topic,pending,light,0,34.000,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph17093219.pdf
doi:10.3390/ijerph16193533,10.3390/ijerph16193533,The Psychophysiological Implications of Soundscape: A Systematic Review of Empirical Literature and a Research Agenda.,International journal of environmental research and public health,2019,off_topic,pending,acoustic,0,33.700,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph16193533.pdf
