paper_id,doi,title,venue,year,topic_decision,triage_decision,topic_bucket,citation_count,priority_score,selection_reason,protected_reasons,must_include,pdf_path
doi:10.1016/j.enbuild.2006.03.004,10.1016/j.enbuild.2006.03.004,Considerations for lighting in the built environment: Non-visual effects of light,Energy and Buildings,2006,off_topic,pending,light,0,29.800,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.enbuild.2006.03.004.pdf
doi:10.3390/ijerph17093219,10.3390/ijerph17093219,The Impact of Optimized Daylight and Views on the Sleep Duration and Cognitive Performance of Office Workers,International Journal of Environmental Research and Public Health,2020,off_topic,pending,light,0,34.000,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph17093219.pdf
doi:10.3390/su15010840,10.3390/su15010840,Toward Regenerative Sustainability: A Passive Design Comfort Assessment Method of Indoor Environment,Sustainability,2023,off_topic,pending,cognition,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su15010840.pdf
doi:10.36922/ghes.0549,10.36922/ghes.0549,Neuroinclusive workplaces and biophilic design: Strategies for promoting occupational health and sustainability in smart cities,Global Health Economics and Sustainability,2023,off_topic,pending,biophilic,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.36922_ghes.0549.pdf
doi:10.1126/SCIENCE.6143402,10.1126/SCIENCE.6143402,View through a window may influence recovery from surgery.,Science,1984,off_topic,pending,light,0,125.000,must_include_seed,hbe_allowlist,true,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1126_SCIENCE.6143402.pdf
doi:10.3390/ijerph16193533,10.3390/ijerph16193533,The Psychophysiological Implications of Soundscape: A Systematic Review of Empirical Literature and a Research Agenda.,International journal of environmental research and public health,2019,off_topic,pending,acoustic,0,33.700,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph16193533.pdf
doi:10.1034/j.1600-0668.2000.010004222.x,10.1034/j.1600-0668.2000.010004222.x,"The Effects of Outdoor Air Supply Rate in an Office on Perceived Air Quality, Sick Building Syndrome (SBS) Symptoms and Productivity",Indoor Air,2000,off_topic,pending,thermal,0,28.000,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1034_j.1600-0668.2000.010004222.x.pdf
doi:10.1016/j.jobe.2024.110224,10.1016/j.jobe.2024.110224,"A review of subjective evaluation, physiological indicators and cognitive performance in indoor light environment: the role of illuminance and correlated color temperature",Journal of Building Engineering,2024,off_topic,pending,light,0,35.200,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jobe.2024.110224.pdf
doi:10.1016/j.buildenv.2023.110380,10.1016/j.buildenv.2023.110380,"Personal control of correlated color temperature of light: Effects on thermal comfort, visual comfort, and cognitive performance",Building and Environment,2023,off_topic,pending,thermal,0,34.900,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2023.110380.pdf
doi:10.1016/j.buildenv.2022.109944,10.1016/j.buildenv.2022.109944,"Effects of correlated color temperature of light on thermal comfort, thermophysiology and cognitive performance",Building and Environment,2022,off_topic,pending,thermal,0,34.600,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2022.109944.pdf
doi:10.4103/1463-1741.181995,10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,Noise and Health,2016,off_topic,pending,cognition,0,32.800,protected_reject_review,hbe_allowlist,false,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.4103_1463-1741.181995.pdf
