paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1111/ijal.12624,10.1111/ijal.12624,"Does the work environment matter in shaping English as a foreign language teachers’ teaching for creativity: A mixed‐methods investigation into the roles of perceived climate, peer group interaction, and supervisory relationship",2024,International Journal of Applied Linguistics,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Teachers play a critical role in fostering students’ creativity, especially in English as a foreign language (EFL) classes, known as teaching for creativity (TfC). Despite this, no comprehensive study has explored how the work environment influences EFL teachers’ TfC. Therefore, this study investigates how various h...",no,cross_sectional_survey,interview_study
doi:10.24952/multidisipliner.v11i2.13643,10.24952/multidisipliner.v11i2.13643,"Building of Student Character and Teachers' Creativity in the Use of Environment-Based Learning Media at SMA Negeri 2 Soyo Jaya, North Morowali Regency Utara",2024,Studi multidisipliner,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The purpose of writing this article is to discuss how to building student character or morals and teacher creativity in using environmental media in social studies learning as well as looking at the supporting and inhibiting factors for teachers in using the environment as a learning medium at SMA Negeri 2 Soyo Jaya...,no,qualitative,interview_study
doi:10.1080/10494820.2024.2344056,10.1080/10494820.2024.2344056,The effects of a self-developed virtual reality environment on college EFL learners’ vocabulary learning,2024,Interactive Learning Environments,air,0,air_quality,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"ABSTRACT In second language acquisition (SLA), vocabulary learning can be a great challenge for some English as a Foreign Language (EFL) learners. Virtual Reality (VR) technology has unleashed its potential in language education, but insufficient attention has yet been paid to its impact on EFL learners’ vocabulary ...",no,qualitative,interview_study
doi:10.22373/ijes.v3i1.7716,10.22373/ijes.v3i1.7716,INFLUENCE OF GARDEN ON PSYCHOLOGICAL COMFORT WITHIN THE HEALING ENVIRONMENT CONCEPT,2025,Indonesian Journal of Environmental Sustainability,thermal,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Zainoel Abidin Hospital has implemented a garden surrounding its premises to promote comfort, aesthetics, and safety. One approach to creating comfort in a hospital environment is by organizing and managing the space in both functional and aesthetic ways. This study aims to explore the perceptions of hospital users ...",no,qualitative,interview_study
doi:10.21827/krisis.45.1.42346,10.21827/krisis.45.1.42346,Transformative Listening: An Aesthetic Proposal to Justice – The 2017 NSU Tribunal in Cologne,2025,Krisis: journal for contemporary philosophy,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This article introduces transformative listening as a political and aesthetic practice of justice, developed from the 2017 NSU Tribunal in Cologne. At its center stood the survi-vors and the relatives of the victims of the racist terror of the neo-Nazi network National Socialist Underground (NSU). Building on and ex...",no,rct_interventional,interview_study
doi:10.3390/buildings14092839,10.3390/buildings14092839,The Digital Twin Immersive Design Process and Its Potential Disruption to Healthcare Design through a User-Centered Approach,2024,Buildings,light,0,daylight,unspecified_outcome,positive,30,low,abstract_only_reduced_table,abstract_only;n=30;weak_variable_resolution,"This applied research proposes a solution to the static government design process for Thai healthcare architecture to better serve the needs of its elderly society. In its place, a novel real-time design process, termed the Digital Twin Immersive Design Process (DT-IDP), repurposes aspects of digital twin and virtua...",no,qualitative,interview_study
doi:10.21831/jee.v7i1.60894,10.21831/jee.v7i1.60894,The Feasibility of the Smart Building Training Kit as Learning Media for Electrical Lighting Installation Practices in Vocational High Schools,2023,Jurnal edukasi elektro,air,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The purposes of this study are: (1) to produce smart building training kit products, and (2) to find out the feasibility of the smart building trainer kit as a learning medium for Electrical Lighting Installation Practices in Vocational High Schools (VHS). This research employed the research and development (R D) wi...",no,cross_sectional_survey,interview_study
doi:10.3389/fnagi.2021.623607,10.3389/fnagi.2021.623607,Acoustic and Language Based Deep Learning Approaches for Alzheimer's Dementia Detection From Spontaneous Speech.,2021,Frontiers in aging neuroscience,acoustic,0,noise,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"Current methods for early diagnosis of Alzheimer's Dementia include structured questionnaires, structured interviews, and various cognitive tests. Language difficulties are a major problem in dementia as linguistic skills break down. Current methods do not provide robust tools to capture the true nature of language ...",no,cross_sectional_survey,interview_study
doi:10.3126/vb.v10i1.87369,10.3126/vb.v10i1.87369,Exploring the Challenges and Benefits of Shadow Education in English Language Education: A Phenomenological Study,2025,Vox Batauli,cognition,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,This paper explores the benefits and challenges of shadow education in English language learning in Nepal. This study adopts phenomenology as a research method to explore the benefits and challenges through the lived experiences of participants. While previous research has largely focused on quantitative outcomes su...,no,qualitative,interview_study
doi:10.24840/2183-8976_2019-0005_0001_02,10.24840/2183-8976_2019-0005_0001_02,"About the 5th Number of Sophia, Visual Spaces of Change",2020,Sophia Journal,acoustic,0,noise,mood,positive,,medium,abstract_only_reduced_table,abstract_only,"To dwell and to build is not an art, is not a technique, but a realm where things belong. This is a statement addressed by Heidegger in Bauen Wohnen Denken, his text more connected with architecture that is more contemporary than ever. In effect, two questions as What is it to dwell? and How does building belong to ...",no,qualitative,interview_study
doi:10.1080/0960085x.2020.1800417,10.1080/0960085x.2020.1800417,An affordance perspective of team collaboration and enforced working from home during COVID-19,2020,European Journal of Information Systems,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"COVID-19 has caused unprecedented challenges to our lives. Many governments have forced people to stay at home, leading to a radical shift from on-site to virtual collaboration for many knowledge workers. Existing remote working literature does not provide a thorough explanation of government-enforced working from h...",no,qualitative,interview_study
doi:10.1371/journal.pone.0287999,10.1371/journal.pone.0287999,The measurement of mental fatigue following an overnight on-call duty among doctors using electroencephalogram,2023,PLoS ONE,other,0,unspecified_environment,sleep,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study aimed to measure the spectral power differences in the brain rhythms among a group of hospital doctors before and after an overnight on-call duty. Thirty-two healthy doctors who performed regular on-call duty in a tertiary hospital in Sarawak, Malaysia were voluntarily recruited into this study. All parti...",no,quasi_experimental,interview_study
doi:10.1108/jrim-10-2018-0136,10.1108/jrim-10-2018-0136,Imagery makes social media captivating! Aesthetic value in a consumer-as-value-maximizer framework,2020,Journal of Research in Interactive Marketing,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Purpose
Social media bring about the imagery of people, places and products. Showing particular success in attracting women and millennials, these media (e.g. Instagram, Snapchat and Pinterest) are built around imagery consumption. This paper follows a qualitative theory building approach to extend the theory of con...",no,qualitative,interview_study
doi:10.1093/eurpub/ckac129.628,10.1093/eurpub/ckac129.628,10.B. Round table: Shelter in place: lessons from policy making during the COVID-19 pandemic in three countries,2022,European Journal of Public Health,cognition,0,unspecified_environment,attention,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract   The key aims of the workshop are: (1) to engage in early discussion of the findings of this timely project and gain critical feedback from the EUPHA audience, (2) discuss and debate with the audience comparable and contrasting experiences from across Europe. This workshop will outline and discuss results ...",no,qualitative,interview_study
doi:10.1037/pag0000962,10.1037/pag0000962,From detail to gist in the wild: Linguistic markers of age-related memory shifts.,2026,Psychology and aging,thermal,0,thermal,cognition,positive,,medium,abstract_only_reduced_table,abstract_only,"In the lab, aging is associated with a shift in autobiographical memory from richly detailed, context-bound episodes to more schematic, gistlike representations, yet evidence from real-world and fine-grained adult-lifespan samples remains scarce. We analyze ≈365,000 German hotel reviews as naturalistic memory report...",no,qualitative,interview_study
