paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,article_type,template_family
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-112,0,doi:10.1080/17508975.2020.1732859-TBL-C001,finding,Spathiphyllum wallisii: cv. 'VERDI',0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-113,0,doi:10.1080/17508975.2020.1732859-TBL-C002,sample,age: Flowers,0.85,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-114,0,doi:10.1080/17508975.2020.1732859-TBL-C003,finding,Dracaena fragrans cv.: ‘GOLDEN COAST’,0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-116,0,doi:10.1080/17508975.2020.1732859-TBL-C004,finding,"Given the ordinal nature of the data and that assumptions for the Friedman test with exact: significance were met, this test was conducted. This was followed by a post-hoc Wilcoxon",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-116,1,doi:10.1080/17508975.2020.1732859-TBL-C005,finding,"Given the ordinal nature of the data and that assumptions for the Friedman test with exact: Signed Rank test, if results from the Friedman test were significant.",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-117,0,doi:10.1080/17508975.2020.1732859-TBL-C006,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-117,1,doi:10.1080/17508975.2020.1732859-TBL-C007,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-118,0,doi:10.1080/17508975.2020.1732859-TBL-C008,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-120,0,doi:10.1080/17508975.2020.1732859-TBL-C009,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154838-121,0,doi:10.1080/17508975.2020.1732859-TBL-C010,finding,: -0.894; Conditions: -2.577 b,0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154839-124,0,doi:10.1080/17508975.2020.1732859-TBL-C011,finding,"In your current office environment and at the time of this questionnaire,: how do you perceive your general health level?",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154839-125,0,doi:10.1080/17508975.2020.1732859-TBL-C012,finding,"In your current office environment and at the time of this questionnaire,: how do you perceive your stress level?",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
doi:10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",biophilic,TBL-20260213154839-126,0,doi:10.1080/17508975.2020.1732859-TBL-C013,finding,"In your current office environment and at the time of this questionnaire,: how do you perceive your overall wellbeing?",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,mixed_methods
