paper_id,production_table_rows,production_garbled_rows,production_garbled_rate,reaudit_table_rows,reaudit_garbled_rows,reaudit_garbled_rate,classification
doi:10.1002/ad.2630,12,9,0.75,3,0,0.0,mapping_or_historical_fault_likely
doi:10.1002/adfm.202008831,15,15,1.0,15,15,1.0,table_fault_reproduced
doi:10.1002/cne.920180503,227,227,1.0,227,227,1.0,table_fault_reproduced
doi:10.1002/hbm.24616,12,12,1.0,3,3,1.0,table_fault_reproduced
doi:10.1002/joc.2120,44,37,0.840909,6,2,0.333333,mixed_or_borderline
doi:10.1002/mar.20709,9,6,0.666667,3,0,0.0,mapping_or_historical_fault_likely
doi:10.1002/wcs.147,316,237,0.75,180,0,0.0,mapping_or_historical_fault_likely
doi:10.1006/jevp.1996.0015,6,4,0.666667,6,4,0.666667,table_fault_reproduced
doi:10.1006/jevp.1996.0032,4,1,0.25,4,1,0.25,mixed_or_borderline
doi:10.1006/jevp.1999.0169,16,3,0.1875,16,3,0.1875,mixed_or_borderline
doi:10.1006/jevp.2000.0186,24,24,1.0,24,24,1.0,table_fault_reproduced
doi:10.1006/jevp.2001.0221,20,20,1.0,20,20,1.0,table_fault_reproduced
doi:10.1007/11853565_19,38,11,0.289474,26,1,0.038462,mixed_or_borderline
doi:10.1007/3-540-48384-5_25,39,39,1.0,39,39,1.0,table_fault_reproduced
doi:10.1007/978-1-4613-3539-9_4,18,18,1.0,18,18,1.0,table_fault_reproduced
doi:10.1007/978-1-4757-4425-5_4,12,12,1.0,12,12,1.0,table_fault_reproduced
doi:10.1007/978-3-031-04714-5_6,69,69,1.0,69,69,1.0,table_fault_reproduced
doi:10.1007/978-3-031-41148-9_12,16,16,1.0,14,4,0.285714,mixed_or_borderline
doi:10.1007/978-3-031-64699-7_9,20,20,1.0,5,5,1.0,table_fault_reproduced
doi:10.1007/978-3-319-45430-6,178,1,0.005618,178,1,0.005618,mixed_or_borderline
doi:10.1007/978-94-017-9297-4_1,20,20,1.0,5,5,1.0,table_fault_reproduced
doi:10.1007/978-981-99-4638-9_27-1,84,56,0.666667,33,0,0.0,mapping_or_historical_fault_likely
doi:10.1007/978-981-99-8405-3_13,63,63,1.0,21,21,1.0,table_fault_reproduced
doi:10.1007/bf00996485,75,75,1.0,75,75,1.0,table_fault_reproduced
doi:10.1007/s00221-008-1382-0,31,31,1.0,31,31,1.0,table_fault_reproduced
doi:10.1007/s00226-021-01320-7,86,85,0.988372,86,85,0.988372,table_fault_reproduced
doi:10.1007/s00426-018-1015-6,126,84,0.666667,60,0,0.0,mapping_or_historical_fault_likely
doi:10.1007/s10086-006-0812-5,20,20,1.0,20,20,1.0,table_fault_reproduced
doi:10.1007/s10086-016-1597-9,2,2,1.0,2,2,1.0,table_fault_reproduced
doi:10.1007/s10648-011-9174-7,4,3,0.75,1,0,0.0,mapping_or_historical_fault_likely
doi:10.1007/s10936-023-09967-y,4,4,1.0,2,2,1.0,table_fault_reproduced
doi:10.1007/s11229-019-02131-x,9,8,0.888889,9,8,0.888889,table_fault_reproduced
doi:10.1007/s11406-017-9841-0,236,180,0.762712,149,11,0.073826,mapping_or_historical_fault_likely
doi:10.1007/s11676-023-01683-6,88,88,1.0,88,88,1.0,table_fault_reproduced
