title,authors,year,venue,doi,landing_url,pdf_url,method,manipulated_feature,outcomes,topic_tags
Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,"Vartanian, O.; Navarrete, G.; Chatterjee, A.; Fich, L.B.; et al.",2013,Proceedings of the National Academy of Sciences (PNAS),10.1073/pnas.1301227110,https://www.pnas.org/doi/abs/10.1073/pnas.1301227110,https://www.pnas.org/doi/pdf/10.1073/pnas.1301227110,fMRI + ratings (beauty/approach-avoidance),contour (curvilinear vs rectilinear) of interior architecture images,aesthetic judgment; approach/avoidance decisions; neural responses,geometry; contour; affect; decision-making
Architectural design and the brain: Effects of ceiling height and perceived enclosure on beauty judgments and approach-avoidance decisions,"Vartanian, O.; Navarrete, G.; Chatterjee, A.; Fich, L.B.; et al.",2015,Journal of Environmental Psychology,10.1016/j.jenvp.2014.11.006,https://www.sciencedirect.com/science/article/pii/S0272494414001030,https://neuroaesthetics.med.upenn.edu/assets/user-content/documents/publications/vartanian-navarrete-chatterjee-fich-gonzalez-mora-leder-modrono-nadal-rostrup-skov-2015-01.pdf,fMRI + ratings,ceiling height; enclosure (open vs enclosed) in interior images,beauty; approach/avoidance; neural responses,ceiling height; enclosure; affect; neuroaesthetics
Walking through architectural spaces: The impact of interior forms on human brain dynamics,"Banaei, M.; Hatami, J.; Yazdanfar, A.; Gramann, K.",2017,Frontiers in Human Neuroscience,10.3389/fnhum.2017.00477,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2017.00477/full,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2017.00477/pdf,mobile EEG during navigation,interior forms (architectural geometry while walking through spaces),EEG dynamics; brain responses during spatial experience,navigation; interior form; geometry; EEG
Affective response to architecture–investigating human reaction to spaces with different geometry,"Shemesh, A.; Talmon, R.; Karp, O.; Amir, I.; Grobman, Y.J.",2017,Architectural Science Review,10.1080/00038628.2016.1266597,https://www.tandfonline.com/doi/abs/10.1080/00038628.2016.1266597,https://www.researchgate.net/profile/Jacob-Grobman/publication/311806979_Affective_response_to_architecture_-_investigating_human_reaction_to_spaces_with_different_geometry/links/5f950138a6fdccfd7b7d62af/Affective-response-to-architecture-investigating-human-reaction-to-spaces-with-different-geometry.pdf,wireless EEG + affective ratings,space geometry (different geometries of spaces),affective response; physiological signals,geometry; affect; EEG
A neurocognitive study of the emotional impact of geometrical criteria of architectural space,"Shemesh, A.; Leisman, G.; Bar, M.; et al.",2021,Architectural Science Review,10.1080/00038628.2021.1940827,https://www.tandfonline.com/doi/abs/10.1080/00038628.2021.1940827,https://www.academia.edu/download/121625109/2021-Shemesh-A_20neurocognitive_20study_20of_20the_20emotional_20impact_20of_20geometrical_20criteria_20of_20architectural_20space.pdf,EEG and/or fMRI + ratings (study reports neurocognitive measures),"geometrical criteria of architectural space (e.g., curvature/geometry)",emotional impact; neurocognitive responses,geometry; emotion; neurocognition
EEG-based investigation of the impact of room size and window placement on cognitive performance,"Cruz-Garza, J.G.; Darfler, M.; Rounds, J.D.; Gao, E.; et al.",2022,Journal of Building Engineering,10.1016/j.jobe.2022.104552,https://www.sciencedirect.com/science/article/pii/S2352710222005538,https://arxiv.org/pdf/2102.03629,EEG during cognitive tasks in VR classroom,room size; window placement,cognitive performance; EEG features,room size; windows; cognition; EEG; VR
EEG-based investigation of the impact of classroom design on cognitive performance of students,"Cruz-Garza, J.G.; Darfler, M.; Rounds, J.D.; Gao, E.; et al.",2021,arXiv preprint,arXiv:2102.03629,https://arxiv.org/abs/2102.03629,https://arxiv.org/pdf/2102.03629,EEG + VR classroom; cognitive tasks,classroom design elements (incl. room dimensions/windows),EEG features; cognitive performance,classroom; VR; cognition; EEG
Using posterior EEG theta band to assess the effects of architectural designs on landmark recognition in an urban setting,"Rounds, J.D.; Cruz-Garza, J.G.; Kalantari, S.",2020,Frontiers in Human Neuroscience,10.3389/fnhum.2020.584385,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2020.584385/full,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2020.584385/pdf,EEG in urban landmark recognition task,architectural design characteristics of landmarks/streetscapes,landmark recognition; EEG theta; cognition,urban design; landmarks; cognition; EEG
Enhancing lighting design through the investigation of illuminance and correlated color temperature's effects on brain activity: An EEG-VR approach,"Mostafavi, A.; Cruz-Garza, J.G.; Kalantari, S.",2023,Journal of Building Engineering,10.1016/j.jobe.2023.107142,https://www.sciencedirect.com/science/article/pii/S2352710223009555,,EEG + VR,illuminance; correlated color temperature,brain activity (EEG); potentially comfort/cognition proxies,lighting; CCT; illuminance; EEG; VR
Lighting effects on visual and cognitive adaptation in multimedia classrooms: a multimodal neurophysiological study,"Wang, M.; Guo, N.; Liu, Y.; Fu, Y.; Zhou, X.",2025,Building and Environment,10.1016/j.buildenv.2025.112?? (check publisher page),https://www.sciencedirect.com/science/article/pii/S0360132325011576,https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5271450,multimodal neurophysiology (reported as multimodal),daylight vs artificial lighting in classrooms,visual load; attention; cognitive adaptation,lighting; classrooms; cognition; neurophysiology
