paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.26687/archnet-ijar.v9i2.464,10.26687/archnet-ijar.v9i2.464,Sustainable Spaces with Psychological Values: Historical Architecture as Reference Book for Biomimetic Models with Biophilic Qualities,2015,International Journal of Architectural Research: ArchNet-IJAR,biophilic,0,biophilia,mood,positive,,medium,abstract_only_reduced_table,abstract_only,"<jats:p>Biomimicry is a growing area of interest in architecture due to the potentials it offers for innovative architectural solutions and for more sustainable, regenerative built environment. Yet, a growing body of research identified various deficiencies to the employment of this approach in architecture. Of part...",yes,rct_interventional,empirical_v2
doi:10.1155/2011/450912,10.1155/2011/450912,Nanotoxicity: Dimensional and Morphological Concerns,2011,Advances in Physical Chemistry,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Nanotechnology deals with the construction of new materials, devices, and different technological systems with a wide range of potential applications at the atomic and molecular level. Nanomaterials have attracted great attention for numerous applications in chemical, biological, and industrial world because of thei...",no,rct_interventional,empirical_v2
doi:10.1109/smart55829.2022.10047691,10.1109/smart55829.2022.10047691,Measuring the Impact of Gamification on Kindergarten Students using Augmented Reality,2022,,cognition,0,unspecified_environment,attention,positive,40,low,abstract_only_reduced_table,abstract_only;n=40;weak_variable_resolution,"Preschool is a primary teaching strategy that emphasizes sports, song, or other practical activities like painting and social contact. The term ""kindergarten"" is taken from a German word that may alternatively be translated as ""kid's playground."" A tiny parcel of land is an essential component of the preschool, that...",no,rct_interventional,empirical_v2
doi:10.3390/su12219196,10.3390/su12219196,A Smart Campus’ Digital Twin for Sustainable Comfort Monitoring,2020,Sustainability,thermal,0,unspecified_environment,productivity,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Interdisciplinary cross-cultural and cross-organizational research offers great opportunities for innovative breakthroughs in the field of smart cities, yet it also presents organizational and knowledge development hurdles. Smart cities must be large towns able to sustain the needs of their citizens while promoting ...",no,unknown,empirical_v2
doi:10.3390/su11123446,10.3390/su11123446,"Global Approaches to Reduce Light Pollution from Media Architecture and Non-Static, Self-Luminous LED Displays for Mixed-Use Urban Developments",2019,Sustainability,light,0,unspecified_environment,mood,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Urban environments have become significantly brighter and more illuminated, and cities now consider media architecture and non-static, self-luminous LED displays an essential element of their strategy to attract residents, visitors, and tourists in the hours after dark. Unfortunately, most often, they are not design...",no,cross_sectional_survey,empirical_v2
doi:10.31537/jeti.v7i1.1863,10.31537/jeti.v7i1.1863,Improving Creativity and Mathematics Learning Outcomes: Implementation of the Discovery Learning Model in Spatial Building Materials,2024,Journal of Education Technology and Inovation,other,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Creativity of thinking in learning Mathematics is the most important goal in improving learning outcomes, it has an important role in providing stimulation, enthusiasm and pleasure in learning so that those who have high motivation are the problem in research to improve creative thinking skills and math learning out...",no,cross_sectional_survey,empirical_v2
doi:10.1371/journal.pone.0319888,10.1371/journal.pone.0319888,"Neither exogenous, nor endogenous: Evidence for a distinct role of negative emotion during attentional control.",2025,PloS one,cognition,0,unspecified_environment,attention,positive,40,low,abstract_only_reduced_table,abstract_only;n=40;weak_variable_resolution,"Negative or threatening stimuli capture attention. However, it remains unclear whether this phenomenon is best conceived as bottom-up (i.e., salience-driven) or top-down (i.e., goal-directed) instead. To address this question, we conducted two experiments using a previously validated dot-probe task (DPT) where physi...",no,unknown,empirical_v2
doi:10.1109/JBHI.2025.3603308,10.1109/JBHI.2025.3603308,HRMamba: Fusing Luminance Information for Remote Physiological Measurement in Varied Lighting Conditions.,2025,IEEE journal of biomedical and health informatics,light,0,daylight,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Camera-based photoplethysmography (cbPPG) represents a non-invasive technique for capturing physiological parameters through facial videos, enabling the extraction of vital signs such as heart rate, respiration rate, and blood oxygen saturation without direct physical contact. Existing deep learning methods face two...",no,unknown,empirical_v2
doi:10.25039/x50.2023.op043,10.25039/x50.2023.op043,"PHOTOMETRIC, PSYCHOLOGICAL AND NEUROPHYSIOLOGICAL ASPECTS OF DIFFERENCES SEATING LOCATIONS IN SELF-STUDY ROOM",2023,"CIE x050:2023 Proceedings of the 30th Session of the CIE, Ljubljana, Slovenia, September 15 – 23, 2023, Volume 1",affect,0,daylight,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Prolonged self-study situations in which multiple people share the same space are common. In this study, a natural experiment of prolonged self-study was conducted in a real self-study room, and 12 typical seating locations were selected as the experimental locations to obtain the luminous environment and multidimen...",no,unknown,empirical_v2
doi:10.1364/OE.527645,10.1364/OE.527645,Implicit calibration method for underwater stereo cameras.,2024,Optics express,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Underwater stereo cameras can effectively capture intricate environments with restricted accessibility, offering an appealing solution for precise perception. Stereo imaging is however susceptible to distortions caused by the refraction of incoming rays. These distortions are nonlinear and challenge the standard sin...",no,unknown,empirical_v2
