filename,line_count,date_guess,status_heuristic,purpose_headline
*GENERALIZED_PANEL_META_PROMPT_Feb21.md,760,,CURRENT,§4. GENERALIZED PANEL META-PROMPT (COMPLETE)
02-14_07_Theory_Tier_Architecture_V1.0.md,388,"Version 1.0 — February 14, 2026",UNKNOWN,Theory Tier Architecture for Cognitive Neuroarchitecture
02-14_08_Compositional_Mechanistic_Reasoning_Spec_V1.0.md,550,"Version 1.0 — February 14, 2026",SUPERSEDED_OR_CAUTION,Compositional Mechanistic Reasoning: A Specification
02-14_09_CMR_Revised_Spec_Panel_Templates_V2.0.md,1208,"Version 2.0 — February 14, 2026",CURRENT,Compositional Mechanistic Reasoning: Revised Specification
02-15_01_Neuroscience_Panel_Tier1_Frameworks_V1.0.md,438,"February 15, 2026",UNKNOWN,Neuroscience Expert Panel: Tier 1 Frameworks and Mechanistic Templates
02-15_02_Neuroscience_Panel_Templates_and_Taxonomy_V1.0.md,726,"February 15, 2026",UNKNOWN,Neuroscience Expert Panel: Part II
02-15_03_Panel_III_Multimodal_Senses_HigherCognition_V1.0.md,552,"February 15, 2026",UNKNOWN,"Expert Panel III: Multimodal Integration, Neglected Senses, and Higher Cognition"
02-15_04_Claude_Code_Master_Sprint_Plan_V1_0.md,1262,"Version 1.0 — February 15, 2026",UNKNOWN,Claude Code Master Sprint Plan
02-15_05_Ruthless_Repo_Audit_Prompt_V1_0.md,239,"February 15, 2026",UNKNOWN,RUTHLESS REPO AUDIT PROMPT
02-15_06_Template_Completeness_Audit_Theory_Reference_V1_0.md,364,"Version 1.0 — February 15, 2026",SUPERSEDED_OR_CAUTION,TEMPLATE COMPLETENESS AUDIT & THEORY REFERENCE
02-15_07_Sprint7_Theory_Artifacts_V1_0.md,1193,"Version 1.0 — February 15, 2026",UNKNOWN,SPRINT 7 THEORY ARTIFACTS: Data Structures for Implementation
02-15_08_Audit_Synthesis_Recommendations_V1_0.md,314,"February 15, 2026 — Version 1.0",UNKNOWN,§7 CRITICAL RECOMMENDATIONS
02-15_09_Canonical_Decisions_Record_V1_0.md,172,"February 15, 2026",CURRENT,CANONICAL DECISIONS RECORD
02-15_10_Sprint7_Supplementary_Seed_Templates_V1_0.md,468,"Version 1.0 — February 15, 2026",UNKNOWN,SPRINT 7 THEORY ARTIFACTS: Supplementary Seed Templates
02-15_11_CMR_Pipeline_Implementation_Architecture_V1_0.md,921,"Version 1.0 — February 15, 2026",UNKNOWN,CMR PIPELINE: IMPLEMENTATION ARCHITECTURE
02-15_12_Three_AI_Task_Distribution_Plan_V1_0.md,229,"February 15, 2026",SUPERSEDED_OR_CAUTION,THREE-AI TASK DISTRIBUTION PLAN
02-15_13_Opus_Transfer_Context_V1_0.md,211,"February 15, 2026",CURRENT,OPUS TRANSFER CONTEXT
02-15_14_Panel_IV_Cognitive_Control_Reward_V1_0.md,1036,"February 15, 2026 — Document 14",UNKNOWN,PANEL IV: COGNITIVE CONTROL & REWARD
02-15_15_Global_Status_Task_Tracker_V1_0.md,257,"February 15, 2026 — Document 15",UNKNOWN,GLOBAL STATUS & TASK TRACKER
02-15_16_Opus_Transfer_Context_V2_0.md,253,"February 15, 2026 — Document 16",CURRENT,OPUS TRANSFER CONTEXT V2
02-15_17_Comprehensive_Task_List_By_Agent_V1_0.md,265,"February 15, 2026 — Document 17",UNKNOWN,COMPREHENSIVE TASK LIST BY AGENT
02-15_18_Panel_D1_ReductionClaim_Architecture_V1_0.md,802,"February 15, 2026 — Document 18",UNKNOWN,PANEL D-1: REDUCTION CLAIM ARCHITECTURE
02-15_18_Three_AI_Prompts_V1_0.md,222,"February 15, 2026",UNKNOWN,PROMPTS FOR THREE AIs
02-15_19_Panel_D1b_Neuroscience_Validation_V1_0.md,520,"February 15, 2026 — Document 19",SUPERSEDED_OR_CAUTION,PANEL D-1b: NEUROSCIENCE VALIDATION OF REDUCTION CLAIM WORKED EXAMPLE
02-15_20_Panel_V_Social_Brain_V1_0.md,1050,"February 15, 2026 — Document 20",SUPERSEDED_OR_CAUTION,PANEL V: SOCIAL BRAIN / SOCIAL COGNITION
02-15_21_Panel_T2A_ART_Reduction_V1_0.md,945,"February 15, 2026 — Document 21",UNKNOWN,PANEL T2-A: ATTENTION RESTORATION THEORY REDUCTION
02-15_22_Panel_T2B_SRT_Reduction_V1_0.md,904,"February 15, 2026 — Document 22",UNKNOWN,PANEL T2-B: STRESS RECOVERY THEORY REDUCTION
02-15_23_Panel_T2C_Biophilia_Reduction_V1_0 (1).md,838,"February 15, 2026 — Document 23",UNKNOWN,PANEL T2-C: BIOPHILIA / PROSPECT-REFUGE REDUCTION
02-15_23_Panel_T2C_Biophilia_Reduction_V1_0.md,838,"February 15, 2026 — Document 23",UNKNOWN,PANEL T2-C: BIOPHILIA / PROSPECT-REFUGE REDUCTION
02-15_25_Panel_VI_Gap_Closure_V1_0.md,807,"February 15, 2026 — Document 25",UNKNOWN,PANEL VI: TEMPLATE GAP CLOSURE
02-15_26_Music_Education_Frameworks_V1_0.md,326,"February 15, 2026 — Document 26",UNKNOWN,TWO NEW DOMAINS: MUSIC COGNITION & EDUCATIONAL NEUROSCIENCE
