paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.2118/216881-ms,10.2118/216881-ms,"Digitalization of Offshore Wells Risk Management Through Quantitative, and Automated Risk Assessment Techniques",2023,ADIPEC,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:title>Abstract</jats:title>
               <jats:p>Risk assessment is the key and most crucial phase in risk management during different well's life cycle. It is a rigorous procedure for identifying, evaluating, and quantifying risks that have the potential to endanger people, have an adverse effect on the env...",yes,cross_sectional_survey,unknown
doi:10.1080/00038628.2016.1266597,10.1080/00038628.2016.1266597,Affective response to architecture – investigating human reaction to spaces with different geometry,2017,-,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects mental reactions and emotional states, as evidenced by a multidisciplinary study using qualitative and quantitative methods, including questionnaires and advanced sensors, which showed differences in reactions to different geometries.",no,cross_sectional_survey,mixed_methods
doi:10.1093/ajcn/nqab202,10.1093/ajcn/nqab202,"Maternal pregnancy diet, postnatal home environment and executive function and behavior in 3- to 4-y-olds.",2021,American Journal of Clinical Nutrition,cognition,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"BACKGROUND
Optimal maternal nutrition during pregnancy has been linked to better cognitive and behavioral development in children. However, its influence on the effects of suboptimal postnatal exposures like reduced stimulation and support in the home is not known.


OBJECTIVES
To examine the effect of maternal preg...",no,cross_sectional_survey,unknown
doi:10.18122/ijpah.3.3.168.boisestate,10.18122/ijpah.3.3.168.boisestate,"A168: The Effects of Physical Activity and Family Environment on
 Executive Function in Preschool Children",2024,International Journal of Physical Activity and Health,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background/Purpose: Based on the investigation and analysis of
 the current situation of physical activity, the family objective
 environment, and executive function development of children aged 4–6
 years, this study analyzed the correlation between the three, so as to
 explore the influence of family objective env...",no,cross_sectional_survey,unknown
doi:10.21197/jcei.16.3.4,10.21197/jcei.16.3.4,Effects of Household Chaos and Interparental Conflict on Executive Function in Early School-Aged Children: The Mediating Role of Anxiety,2025,The Society for Cognitive Enhancement and Intervention,affect,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Objective: This study examined the direct effects of household chaos and interparental conflict on executive function in early school-aged children, as well as the indirect effects mediated by children’s anxiety. 
Methods: Participants were 269 mothers of children in the first to third grades of elementary school, w...",no,cross_sectional_survey,unknown
doi:10.1111/cch.70162,10.1111/cch.70162,"Harsh Parenting, Maternal Depression, and Executive Function in Early Childhood.",2025,"Child: Care, Health and Development",cognition,0,unspecified_environment,attention,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"BACKGROUND
Executive function (EF), a multimodal construct that captures one's control over cognition and behaviour, is associated with academic achievement and social-emotional competence. Prior research suggests that early childhood experiences and the family context shape EF development. Harsh parenting practices...",no,cross_sectional_survey,unknown
doi:10.3389/fpsyg.2021.707457,10.3389/fpsyg.2021.707457,"Research on Acoustic Environment in the Building of Nursing Homes Based on Sound Preference of the Elderly People: A Case Study in Harbin, China",2021,Frontiers in Psychology,thermal,0,noise,mood,null,,medium,abstract_only_reduced_table,abstract_only,"Nursing homes are the facilities where the elderly conduct their daily activities. This may lead to a complicated acoustic environment which would potentially affect the ability of the elderly to function. In this study, the main indoor public space of a nursing home in Harbin was taken as the research object, and t...",no,cross_sectional_survey,case_study
doi:10.1177/23312165251389585,10.1177/23312165251389585,Association of Tinnitus With Speech Recognition and Executive Functions in Older Adults,2025,Trends in Hearing,cognition,0,noise,cognition,negative,,medium,abstract_only_reduced_table,abstract_only,"Adults with chronic subjective tinnitus often struggle with speech recognition in challenging listening environments. While most research demonstrates deficits in speech recognition among individuals with tinnitus, studies focusing on older adults remain scarce. Besides speech recognition deficits, tinnitus has been...",no,cross_sectional_survey,theoretical
doi:10.3389/fpsyg.2022.930138,10.3389/fpsyg.2022.930138,RETRACTED: Relating Sustainable Business Development Practices and Information Management in Promoting Digital Green Innovation: Evidence From China,2022,Frontiers in Psychology,biophilic,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Digital green innovations are being implemented in manufacturing to help organizations achieve sustainability by adopting sustainable development practices (SDPC). However, little is known about the impact of the information management process (IMP) on organizations’ digital green innovation. To address this gap, we...",no,cross_sectional_survey,conceptual_framework
doi:10.3847/1538-4357/acdbc6,10.3847/1538-4357/acdbc6,JADES Imaging of GN-z11: Revealing the Morphology and Environment of a Luminous Galaxy 430 Myr after the Big Bang,2023,Astrophysical Journal,other,0,unspecified_environment,unspecified_outcome,negative,0,low,abstract_only_reduced_table,abstract_only;n=0;weak_variable_resolution,We present JWST NIRCam nine-band near-infrared imaging of the luminous z = 10.6 galaxy GN-z11 from the JWST Advanced Deep Extragalactic Survey of the GOODS-N field. We find a spectral energy distribution (SED) entirely consistent with the expected form of a high-redshift galaxy: a clear blue continuum from 1.5 to 4 ...,no,cross_sectional_survey,unknown
doi:10.1088/1755-1315/952/1/012013,10.1088/1755-1315/952/1/012013,"Analyzing the Luminous Environment in a University Campus in Biskra, Algeria: A Pilot Study",2022,IOP Conference Series: Earth and Environment,light,0,daylight,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This paper aims to assess and analyze the indoor, semi-outdoor, and outdoor luminous environments of a Biskra university campus, to determine the relationship between these three luminous environments in terms of contrast and brightness, and to evaluate the perception and the occupant’s luminous comfort. This prelim...",no,cross_sectional_survey,unknown
doi:10.3390/su11123446,10.3390/su11123446,"Global Approaches to Reduce Light Pollution from Media Architecture and Non-Static, Self-Luminous LED Displays for Mixed-Use Urban Developments",2019,Sustainability,light,0,unspecified_environment,mood,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Urban environments have become significantly brighter and more illuminated, and cities now consider media architecture and non-static, self-luminous LED displays an essential element of their strategy to attract residents, visitors, and tourists in the hours after dark. Unfortunately, most often, they are not design...",no,cross_sectional_survey,empirical_v2
doi:10.62794/pjer.v3i1.7716,10.62794/pjer.v3i1.7716,"The Effect of Entrepreneurship Learning, Social Environment, and Creativity on Entrepreneurial Interest: The Mediating Role of Entrepreneurial Attitude",2025,Pinisi Journal of Entrepreneurship Review,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Learning is not merely the accumulation of knowledge, but a cognitive process that induces behavioral changes in individuals. In the context of higher education, entrepreneurship learning plays a vital role in shaping students’ mindset and interest toward entrepreneurship. This study aims to examine both the direct ...",no,cross_sectional_survey,unknown
doi:10.1111/ijal.12624,10.1111/ijal.12624,"Does the work environment matter in shaping English as a foreign language teachers’ teaching for creativity: A mixed‐methods investigation into the roles of perceived climate, peer group interaction, and supervisory relationship",2024,International Journal of Applied Linguistics,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Teachers play a critical role in fostering students’ creativity, especially in English as a foreign language (EFL) classes, known as teaching for creativity (TfC). Despite this, no comprehensive study has explored how the work environment influences EFL teachers’ TfC. Therefore, this study investigates how various h...",no,cross_sectional_survey,interview_study
doi:10.1080/10400419.2022.2112837,10.1080/10400419.2022.2112837,Assessing the Work Environment for Creativity and Innovation: Building on Mathisen and Einarsen’s Review (2004),2022,Creativity Research Journal,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT This article was stimulated by a review of instruments assessing creative and innovative social environments seventeen years ago. This stands alone as the only published, comprehensive, comparative review of multiple instruments aimed at this conceptual space. Although this review provided an important cont...",no,cross_sectional_survey,unknown
doi:10.31537/jeti.v7i1.1863,10.31537/jeti.v7i1.1863,Improving Creativity and Mathematics Learning Outcomes: Implementation of the Discovery Learning Model in Spatial Building Materials,2024,Journal of Education Technology and Inovation,other,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Creativity of thinking in learning Mathematics is the most important goal in improving learning outcomes, it has an important role in providing stimulation, enthusiasm and pleasure in learning so that those who have high motivation are the problem in research to improve creative thinking skills and math learning out...",no,cross_sectional_survey,empirical_v2
doi:10.20431/2456-4931.071015,10.20431/2456-4931.071015,Perception of the luminous environment in university classrooms in Algeria,2022,International journal of innovative studies in sociology and humanities,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"has a significant impact on humans and affects directly biological In learning spaces, the visual ambience is successful when users can perform their work without discomfort. It is based on quantitative and qualitative parameters related to comfort. This research focuses mainly on a qualitative study of the luminous...",no,cross_sectional_survey,unknown
doi:10.1088/1755-1315/455/1/012195,10.1088/1755-1315/455/1/012195,Improve the Luminous Environment in a Classroom,2020,IOP Conference Series: Earth and Environment,light,0,daylight,productivity,mixed,,medium,abstract_only_reduced_table,abstract_only,"This paper suggests a lighting design method by advanced software to design for optimizing the luminous environment in a classroom. The luminous environment affects the eyesight health and learning efficiency of students, while uncomfortable glare is an important indicator that affects the quality of classroom light...",no,cross_sectional_survey,unknown
doi:10.1051/0004-6361/202141397,10.1051/0004-6361/202141397,A machine-learning photometric classifier for massive stars in nearby galaxies,2022,Astronomy and Astrophysics,other,0,unspecified_environment,unspecified_outcome,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Context. Mass loss is a key parameter in the evolution of massive stars. Despite the recent progress in the theoretical understanding of how stars lose mass, discrepancies between theory and observations still hold. Moreover, episodic mass loss in evolved massive stars is not included in models, and the importance o...",no,cross_sectional_survey,theoretical
doi:10.1016/j.neunet.2023.05.031,10.1016/j.neunet.2023.05.031,Motion perception based on ON/OFF channels: A survey.,2023,Neural networks : the official journal of the International Neural Network Society,acoustic,0,noise,unspecified_outcome,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Motion perception is an essential ability for animals and artificially intelligent systems interacting effectively, safely with surrounding objects and environments. Biological visual systems, that have naturally evolved over hundreds-million years, are quite efficient and robust for motion perception, whereas artif...",no,cross_sectional_survey,unknown
doi:10.1155/2019/3476490,10.1155/2019/3476490,Effects of Lighting Quality on Working Efficiency of Workers in Office Building in Tanzania,2019,Journal of Environmental and Public Health,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"Background . In this era of Information Communication Technology, a high-quality working environment is essential to the occupants. Providing quantity rather the quality of work environments is very common in most of the least developed countries, including Tanzania. Existing research asserts that poor indoor enviro...",no,cross_sectional_survey,unknown
doi:10.1155/2024/2210991,10.1155/2024/2210991,Mental Fatigue Under the Thermoneutral Environment in Buildings: Effects of the Constant and Altered Workload Sequences,2024,Indoor Air: International Journal of Indoor Environment and Health,affect,0,thermal,mood,null,,medium,abstract_only_reduced_table,abstract_only,"In order to explore the effects of constant and altered workload sequences on mental fatigue in a thermoneutral environment, experiments and surveys were carried out in this study. n‐back tasks were used to design different workload sequences. Fifteen healthy right‐handed males were required to experience three diff...",no,cross_sectional_survey,empirical_v2
doi:10.1145/3610977.3637484,10.1145/3610977.3637484,UASOS: An Experimental Environment For Assessing Mental Fatigue & Cognitive Flexibility During Drone Operations,2024,IEEE/ACM International Conference on Human-Robot Interaction,biophilic,0,biophilia,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Mental fatigue from continuous operations without breaks represents a safety issue for military drone operations, as these systems are complex and operate during long shifts. Military operations are hard to study due to their sensitive nature. The open-access program UASOS serves as a testbed to examine the effects ...",no,cross_sectional_survey,empirical_v2
