paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.25039/x48.2021.op60,10.25039/x48.2021.op60,VIRTUAL REALITY: A PROMISING APPROACH FOR LIGHTING RESEARCH,2021,Proceedings of the Conference CIE 2021,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>Virtual Reality (VR) seems a promising tool in lighting field, both for design and research applications. Despite several studies have been conducted on this topic, the opinions about the actual advantages of VR are conflicting. It is not clear if VR software are able to properly simulate spatial light distr...",yes,unknown,thought_piece
doi:10.38027/iccaua2024in0317,10.38027/iccaua2024in0317,A Critical Enquiry of Material Ageing in Interior Architecture,2024,Proceedings of  the International Conference of Contemporary Affairs in Architecture and Urbanism-ICCAUA,air,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,<jats:p>Psychology and architecture are seen in intersections whenever the old buildings and spaces are repurposed. Thedirect connection seen is through the materiality of those spaces. This raises the curiosity to explore theamalgamation of a material's functionality and aesthetic values with its purpose and enduri...,yes,unknown,thought_piece
doi:10.33383/2022-054,10.33383/2022-054,Criteria of Museum Colour and Luminous Environment Concept Selection,2023,Light &amp; Engineering,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"The article formulates the criteria of selection of the colour and luminous concept in museums of different profiles with focus on visitors of exhibition halls. The amount of light and the quality of illumination solution are important parameters affecting preservation of pieces of art, perception of museum environm...",no,unknown,thought_piece
doi:10.3390/buildings2040384,10.3390/buildings2040384,Tall Buildings and Urban Habitat of the 21st Century: A Global Perspective,2012,Buildings,biophilic,0,biophilia,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The tall building is the most dominating symbol of the cities and a human-made marvel that defies gravity by reaching to the clouds. It embodies unrelenting human aspirations to build even higher. It conjures a number of valid questions in our minds. The foremost and fundamental question that is often asked: Why tal...,no,unknown,thought_piece
doi:10.3389/fpsyg.2021.675165,10.3389/fpsyg.2021.675165,"Editorial: Environment, Art, and Museums: The Aesthetic Experience in Different Contexts",2021,Frontiers in Psychology,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The aesthetic experience may be defined as people’s interactions with, and reactions to, objects, places, but also to the environment. Most psychological perspectives on the aesthetic experience argue that it results from the coordination of different mental processes such as perception, attention, memory, imaginati...",no,unknown,thought_piece
doi:10.1177/23998083241279992,10.1177/23998083241279992,Mapping sense of place as a measurable urban identity: Using street view images and machine learning to identify building façade materials,2024,Environment and Planning B Urban Analytics and City Science,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Sense of place, as an intangible perception, is widely recognized as an urban identity and of great value in both cross-cultural studies and contemporary urbanism. Building façade material can effectively capture sense of place due to its combination of physical and social attributes. Nevertheless, there are no wide...",no,unknown,thought_piece
doi:10.1111/caim.12580,10.1111/caim.12580,Creativity and artificial intelligence: A multilevel perspective,2024,Creativity and Innovation Management,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Artificial intelligence is likely to revolutionize multiple aspects of organizational creativity. Through a multilevel theoretical lens, the present paper reviews the extant body of knowledge on creativity at individual, team and organizational levels, and draws a series of propositions on how the implementation of ...",no,unknown,thought_piece
doi:10.1016/j.autcon.2022.104440,10.1016/j.autcon.2022.104440,Artificial intelligence and smart vision for building and construction 4.0: Machine and deep learning methods and applications,2022,Automation in Construction,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This article presents a state-of-the-art review of the applications of Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) in building and construction industry 4.0 in the facets of architectural design and visualization; material design and optimization; structural design and analysis; offsi...",no,unknown,thought_piece
doi:10.3390/f15020286,10.3390/f15020286,Restorative Effects of Pocket Parks on Mental Fatigue among Young Adults: A Comparative Experimental Study of Three Park Types,2024,Forests,biophilic,0,biophilia,attention,negative,,medium,abstract_only_reduced_table,abstract_only,"Urban parks have been proven to effectively reduce mental fatigue among city residents; however, there has been less focus on the mental health benefits offered by pocket parks in densely populated areas from a field experiment perspective. Additionally, there is insufficient evidence providing information on the en...",no,cross_sectional_survey,thought_piece
doi:10.1177/1937586717729349,10.1177/1937586717729349,Alert Workplace From Healthcare Workers' Perspective: Behavioral and Environmental Strategies to Improve Vigilance and Alertness in Healthcare Settings.,2018,HERD,other,0,unspecified_environment,sleep,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study aims to identify the behavioral and environmental strategies that healthcare workers view as helpful for managing sleepiness, improving alertness, and therefore optimizing workplace safety.",no,unknown,thought_piece
