variable_name,categories,repos,repo_count,source_count,example_sources
__main__,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,77,Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:337; Article_Eater_PostQuinean_v1/app/pdf_ingest.py:290; Article_Eater_PostQuinean_v1/apps/user_rules_gui/app.py:154; Article_Eater_PostQuinean_v1/archive/v20_7_3g_pre_i/apps/user_rules_gui/app.py:43
boundary_conditions,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,10,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:174; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:226; Article_Eater_PostQuinean_v1/docs/MVP_CONTRACTS.md:108; Article_Eater_PostQuinean_v1/scripts/convert_findings_to_rules.py:247
claim_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,29,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:25; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:26; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:79; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:85
effect_size,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,44,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:121; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:275; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:125; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:339
p_value,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,32,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:124; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:128; Article_Eater_PostQuinean_v1/contracts/schemas/experiential_claim.v1.schema.json:144; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:64
source_paper_id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor,4,9,Article_Eater_PostQuinean_v1/migrations/005_add_entrenchment_tracker.sql:54; Article_Eater_PostQuinean_v1/src/epistemic/extraction/synthesis_ingester.py:336; Article_Eater_PostQuinean_v1/src/epistemic/extraction/theoretical_extractor.py:308; Article_Finder_v3_2_3/core/database.py:147
ART,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,12,Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:176; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:189; Article_Eater_PostQuinean_v1/src/services/pdf_extraction.py:130; BN_graphical/migrations/005_sprint1_schemas.sql:195
SRT,extraction_output_field,Article_Eater_PostQuinean_v1;BN_graphical;Outcome_Contractor,3,9,Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:178; Article_Eater_PostQuinean_v1/src/services/extraction_to_web.py:191; Article_Eater_PostQuinean_v1/src/services/pdf_extraction.py:141; BN_graphical/src/ai_extraction/mechanism_classifier.py:135
ae_confidence,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;Outcome_Contractor,3,25,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:157; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:161; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v1.schema.json:88; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.rule.v2.schema.json:94
age_mean,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical,3,9,Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v1.schema.json:229; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.claim.v2.schema.json:284; Article_Eater_PostQuinean_v1/ruthless_bundle_2026-02-08/src/services/extraction_to_web.py:1538; Article_Eater_PostQuinean_v1/schemas/panel_subjects.schema.json:137
