paper_id,title,pdf_path,resolved_pdf_path,status,n_tables,n_claims,error
doi:10.1126/SCIENCE.6143402,View through a window may influence recovery from surgery.,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1126_SCIENCE.6143402.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1126_SCIENCE.6143402.pdf,processed,1,0,
doi:10.1073/pnas.1301227110,Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,data/pdfs/10.1073_pnas.1301227110.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1073_pnas.1301227110.pdf,processed,0,0,
sha256:16411ff2fd9e,'Nature And I Are Two' A Critical Examination Of The Biophilia Hypothesis,data/'Nature and I are Two'- A Critical Examination of the Biophilia Hypothesis.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/'Nature and I are Two'- A Critical Examination of the Biophilia Hypothesis.pdf,processed,0,0,
doi:10.1016/j.jobe.2024.110224,"A review of subjective evaluation, physiological indicators and cognitive performance in indoor light environment: the role of illuminance and correlated color temperature",/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jobe.2024.110224.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.jobe.2024.110224.pdf,processed,0,0,
doi:10.36922/ghes.0549,Neuroinclusive workplaces and biophilic design: Strategies for promoting occupational health and sustainability in smart cities,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.36922_ghes.0549.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.36922_ghes.0549.pdf,processed,0,0,
doi:10.3390/su15010840,Toward Regenerative Sustainability: A Passive Design Comfort Assessment Method of Indoor Environment,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su15010840.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su15010840.pdf,processed,0,0,
doi:10.1016/j.buildenv.2023.110380,"Personal control of correlated color temperature of light: Effects on thermal comfort, visual comfort, and cognitive performance",/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2023.110380.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2023.110380.pdf,processed,0,0,
doi:10.1016/j.buildenv.2022.109944,"Effects of correlated color temperature of light on thermal comfort, thermophysiology and cognitive performance",/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2022.109944.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.buildenv.2022.109944.pdf,processed,0,0,
doi:10.3390/ijerph17093219,The Impact of Optimized Daylight and Views on the Sleep Duration and Cognitive Performance of Office Workers,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph17093219.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph17093219.pdf,processed,1,0,
doi:10.3390/ijerph16193533,The Psychophysiological Implications of Soundscape: A Systematic Review of Empirical Literature and a Research Agenda.,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph16193533.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph16193533.pdf,processed,0,0,
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.4103_1463-1741.181995.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.4103_1463-1741.181995.pdf,processed,8,31,
doi:10.1016/j.enbuild.2006.03.004,Considerations for lighting in the built environment: Non-visual effects of light,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.enbuild.2006.03.004.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.enbuild.2006.03.004.pdf,processed,0,0,
doi:10.1034/j.1600-0668.2000.010004222.x,"The Effects of Outdoor Air Supply Rate in an Office on Perceived Air Quality, Sick Building Syndrome (SBS) Symptoms and Productivity",/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1034_j.1600-0668.2000.010004222.x.pdf,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1034_j.1600-0668.2000.010004222.x.pdf,processed,0,0,
