paper_id,doi,title,year,venue,status,article_type_family,article_type_predicted_family,article_type_confidence,article_type_runner_up,article_type_margin,article_type_signals,article_type_diagnostics,type_review_flags,processed_at
doi:10.3389/fnhum.2017.00477,10.3389/fnhum.2017.00477,Walking through Architectural Spaces: The Impact of Interior Forms on Human Brain Dynamics,2017,Frontiers in Human Neuroscience,completed_pdf_extracted,unknown,thought_piece,0.4545,empirical_v2,0.5000,title_pattern:perspective,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T11:05:40.470374+00:00
doi:10.1177/0013916590225001,10.1177/0013916590225001,Finding the Building in Wayfinding,1990,Environment and Behavior,completed_pdf_no_claims,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T23:39:43.531328+00:00
doi:10.47611/jsrhs.v13i1.6257,10.47611/jsrhs.v13i1.6257,Biophilic architecture: Using cognitive science principles to understand impact on well-being,2024,Journal of student-scientists' research,error_pdf_timeout,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T23:40:58.540970+00:00
doi:10.3389/frsc.2021.690055,10.3389/frsc.2021.690055,Access to Daylight and Views Improves Physical and Emotional Wellbeing of Office Workers: A Crossover Study,2021,Frontiers in Sustainable Cities,error_pdf_timeout,unknown,empirical_v2,0.2182,observational_field,0.2000,default_empirical_from_structural_core,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-14T18:30:58.110812+00:00
doi:10.1080/17508975.2020.1732859,10.1080/17508975.2020.1732859,"Biophilic design and office planting: a case study of effects on perceived health, well-being and performance metrics in the workplace",2020,Intelligent Buildings International,completed_pdf_extracted,unknown,case_study,0.4545,empirical_v2,0.5000,title_pattern:case\s+study,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T11:05:40.470374+00:00
doi:10.3389/fpsyg.2020.560833,10.3389/fpsyg.2020.560833,"Multisensory, Nature-Inspired Recharge Rooms Yield Short-Term Reductions in Perceived Stress Among Frontline Healthcare Workers",2020,Frontiers in Psychology,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T14:58:06.054170+00:00
doi:10.1016/j.asej.2022.101810,10.1016/j.asej.2022.101810,"Simulating the natural lighting for a physical and mental Well-being in residential building in Dubai, UAE",2022,Ain Shams Engineering Journal,error_pdf_timeout,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T18:33:58.321033+00:00
doi:10.1177/1420326X20927437,10.1177/1420326X20927437,"Effects of visual exposure to wood on human affective states, physiological arousal and cognitive performance: A systematic review of randomized trials",2020,Indoor and Built Environment,completed_pdf_extracted,empirical_v2,empirical_v2,0.6182,narrative_review,0.1000,"section:results|empirical_method_hits:participants,randomized",,classifier_flagged|low_margin,2026-02-14T11:05:40.470374+00:00
doi:10.1007/s00226-020-01216-y,10.1007/s00226-020-01216-y,Out of the woods: psychophysiological investigations on wood odors to estimate their suitability as ambient scents,2020,Wood Science and Technology,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T11:05:40.470374+00:00
doi:10.3390/buildings14103293,10.3390/buildings14103293,Enhancing Cognitive Performance and Physiological Benefit in Workspaces Through Patterns of Biophilic Design: A Restorative Approach,2024,Buildings,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-14T23:41:04.080818+00:00
