paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
sha256:16411ff2fd9e,10.3197/096327111x12997574391724,'Nature And I Are Two' A Critical Examination Of The Biophilia Hypothesis,2011,Environmental Values,biophilic,0,biophilia,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p> In 1984, Edward O. Wilson proposed the idea that natural selection has resulted in an adaptive love of life-forms and life–like processes (‘biophilia') in humans. To date, the idea of biophilia has been viewed as an ultimate explanation of many conservation attitudes in humans. In this paper, we contend tha...",yes,theoretical_conceptual,unknown
sha256:70a5a275d9cf,10.1024/0040-5930.57.2.71,"C , & Wirz Justice, A  Light, He",2010,Therapeutische Umschau,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,<jats:p> Empfehlungen für die Durchführung einer Lichttherapie Prävalenz: die Saisonal Abhängige Depression (SAD) betrifft etwa 2% der Erwachsenen-Population in Mitteleuropa (Frauen 4¥ häufiger als Männer). Diagnose: regelmäßige Wiederkehr von depressiven Episoden vom Ausmaß einer Major Depression in den Wintermonat...,yes,unknown,unknown
sha256:7bb5a66126b1,10.7717/peerj.14230,Q  Effects Of Sound Masking Noise On,2024,PeerJ,acoustic,0,noise,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"<jats:p>An increasing level of anthropogenic underwater noise (shipping, drilling, sonar use, <jats:italic>etc</jats:italic>.) impairs acoustic orientation and communication in fish by hindering signal transmission or detection. Different noise regimes can reduce the ability to detect sounds of conspecifics due to a...",yes,unknown,unknown
doi:10.2118/216881-ms,10.2118/216881-ms,"Digitalization of Offshore Wells Risk Management Through Quantitative, and Automated Risk Assessment Techniques",2023,ADIPEC,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:title>Abstract</jats:title>
               <jats:p>Risk assessment is the key and most crucial phase in risk management during different well's life cycle. It is a rigorous procedure for identifying, evaluating, and quantifying risks that have the potential to endanger people, have an adverse effect on the env...",yes,cross_sectional_survey,unknown
doi:10.17509/interlude.v3i2.71595,10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,2024,"Interlude: Indonesian Journal of Music Research, Development, and Technology",acoustic,0,noise,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The field of acoustics encompasses the examination of sound, encompassing both its physical characteristics and the way in which humans perceive auditory input. Acoustics is the study of how sound waves are created and spread physically, while psychoacoustics connects these physical characteristics to our au...",yes,unknown,unknown
doi:10.32920/ryerson.14655804.v1,10.32920/ryerson.14655804.v1,"Light and Shadow Expression:  Contrast, Luminosity, Porosity",2021,,light,0,daylight,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The pervasive use of glass curtain wall and artificial illumination has saturated contemporary architecture with light, depriving users of the potential experiences achieved through the articulation and interplay of light and shadow. The evaluation of light through quantifiable metric design evaluation denie...",yes,unknown,unknown
doi:10.1186/s41235-020-00243-4,10.1186/s41235-020-00243-4,Senses of place: architectural design for the multisensory mind,2020,Cognitive Research: Principles and Implications,thermal,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"<jats:title>Abstract</jats:title><jats:p>Traditionally, architectural practice has been dominated by the eye/sight. In recent decades, though, architects and designers have increasingly started to consider the other senses, namely sound, touch (including proprioception, kinesthesis, and the vestibular sense), smell,...",yes,unknown,unknown
doi:10.1167/jov.20.11.897,10.1167/jov.20.11.897,The simple and the beautiful: An aesthetic preference for medially complex stimuli,2020,-,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The study found that moderately complex shapes were preferred in various room settings, suggesting a quadratic relationship between aesthetics and visual complexity. The research involved subjects choosing shapes in different rooms, but details on emotional state and preference are not explicitly mentioned. The meth...",no,unknown,unknown
doi:10.2466/24.27.pms.112.2.509-524,10.2466/24.27.pms.112.2.509-524,Effects of Interior Colors on Mood and Preference: Comparisons of Two Living Rooms,2011,Perceptual and Motor Skills,affect,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects judgments of happiness and vividness, but the study primarily focuses on color effects, using digital images of imaginary rooms with fixed spatial characteristics.",no,unknown,unknown
doi:10.1093/oso/9780197513620.003.0043,10.1093/oso/9780197513620.003.0043,The Neuroaesthetics of Architecture,2021,"Brain, Beauty, and Art",affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Curvilinear rooms are perceived as more beautiful than rectilinear rooms, with fMRI data showing activation of the anterior cingulate cortex, indicating an emotional basis for this preference.",no,unknown,unknown
doi:10.1080/00038628.2018.1558393,10.1080/00038628.2018.1558393,A comparison between preference judgments of curvature and sharpness in architectural façades,2018,Architectural Science Review,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Curvature in architectural façades significantly influences preference, with curved façades being more preferred than sharp-angled or rectilinear ones, as supported by multiple methodologies and analyses.",no,unknown,unknown
doi:10.1146/annurev-psych-120710-100504,10.1146/annurev-psych-120710-100504,Visual aesthetics and human preference.,2013,Annual Review of Psychology,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects judgments of beauty through spatial structure preferences, but specific evidence on emotional state and preference is not detailed in the abstract.",no,unknown,unknown
doi:10.1073/pnas.1301227110,10.1073/pnas.1301227110,Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,2013,Proceedings of the National Academy of Sciences of the United States of America,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"On average, we urban dwellers spend about 90\% of our time indoors, and share the intuition that the physical features of the places we live and work in influence how we feel and act. However, there is surprisingly little research on how architecture impacts behavior, much less on how it influences brain function. T...",yes,unknown,unknown
doi:10.3389/fnins.2020.00251,10.3389/fnins.2020.00251,Deep Learning Convolutional Neural Networks Discriminate Adult ADHD From Healthy Individuals on the Basis of Event-Related Spectral EEG,2020,Frontiers in Neuroscience,light,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Attention deficit hyperactivity disorder (ADHD) is a heterogeneous neurodevelopmental disorder that affects 5% of the pediatric and adult population worldwide. The diagnosis remains essentially clinical, based on history and exam, with no available biomarkers. In this paper, we describe a convolutional neural networ...",no,unknown,unknown
doi:10.15171/hpp.2019.07,10.15171/hpp.2019.07,The impact of indoor air temperature on the executive functions of human brain and the physiological responses of body,2019,Health Promotion Perspectives,thermal,0,thermal,cognition,mixed,,medium,abstract_only_reduced_table,abstract_only,"Background: This study aimed to investigate the effect size (ES) of air temperature on the executive functions of human brain and body physiological responses. Methods: In this empirical study, the participants included 35 male students who were exposed to 4 air temperature conditions of 18°C, 22°C, 26°C and 30°C in...",no,unknown,unknown
doi:10.1080/10409289.2020.1716287,10.1080/10409289.2020.1716287,"Examining Associations between the Home Literacy Environment, Executive Function, and School Readiness",2020,,light,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"ABSTRACT Research Findings: The purpose of the current study was to investigate direct associations between the home literacy environment (HLE) and preschool children’s executive function (EF), academic readiness, and social-emotional competence and to explore the indirect association between the HLE and academic an...",no,unknown,unknown
doi:10.1080/00221325.2023.2223653,10.1080/00221325.2023.2223653,Does the Frontal Brain Electrical Activity Mediate the Effect of Home Executive Function Environment and Screen Time on Children’s Executive Function?,2023,The Journal of Genetic Psychology,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract Executive functions play an important role in various developmental aspects of children; however, environmental factors influencing individual differences in children’s executive function and their neural substructures, particularly in middle childhood, are rarely investigated. Therefore, the current study ...",no,unknown,unknown
doi:10.1093/ajcn/nqab202,10.1093/ajcn/nqab202,"Maternal pregnancy diet, postnatal home environment and executive function and behavior in 3- to 4-y-olds.",2021,American Journal of Clinical Nutrition,cognition,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"BACKGROUND
Optimal maternal nutrition during pregnancy has been linked to better cognitive and behavioral development in children. However, its influence on the effects of suboptimal postnatal exposures like reduced stimulation and support in the home is not known.


OBJECTIVES
To examine the effect of maternal preg...",no,cross_sectional_survey,unknown
doi:10.23731/cyrm-2020-0010,10.23731/cyrm-2020-0010,"CERN Yellow Reports: Monographs, Vol. 10 (2020): High-Luminosity Large Hadron Collider (HL-LHC): Technical design report",2020,,thermal,0,thermal,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The Large Hadron Collider (LHC) is one of the largest scientific instruments ever built. Since opening up anew energy frontier for exploration in 2010, it has gathered a global user community of about 9000 scientists working in fundamental particle physics and the physics of hadronic matter at extreme temperature an...",no,unknown,unknown
doi:10.18122/ijpah.3.3.168.boisestate,10.18122/ijpah.3.3.168.boisestate,"A168: The Effects of Physical Activity and Family Environment on
 Executive Function in Preschool Children",2024,International Journal of Physical Activity and Health,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Background/Purpose: Based on the investigation and analysis of
 the current situation of physical activity, the family objective
 environment, and executive function development of children aged 4–6
 years, this study analyzed the correlation between the three, so as to
 explore the influence of family objective env...",no,cross_sectional_survey,unknown
doi:10.1002/alz70860_100563,10.1002/alz70860_100563,Young Adult Cognitive Reserve Moderates Neighborhood Disadvantage Effects on Later Life Executive Function: A Nationwide U.S. Study,2025,Alzheimer's & Dementia,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Neighborhood disadvantage captures the socioeconomic context of an individual's environment and is associated with poorer cognition and increased vulnerability to MCI and AD independently of individual‐level socioeconomic status (SES). Studies of neighborhood disadvantage and cognition in older adults are often cons...,no,unknown,unknown
doi:10.21197/jcei.16.3.4,10.21197/jcei.16.3.4,Effects of Household Chaos and Interparental Conflict on Executive Function in Early School-Aged Children: The Mediating Role of Anxiety,2025,The Society for Cognitive Enhancement and Intervention,affect,0,unspecified_environment,cognition,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Objective: This study examined the direct effects of household chaos and interparental conflict on executive function in early school-aged children, as well as the indirect effects mediated by children’s anxiety. 
Methods: Participants were 269 mothers of children in the first to third grades of elementary school, w...",no,cross_sectional_survey,unknown
doi:10.1111/cch.70162,10.1111/cch.70162,"Harsh Parenting, Maternal Depression, and Executive Function in Early Childhood.",2025,"Child: Care, Health and Development",cognition,0,unspecified_environment,attention,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"BACKGROUND
Executive function (EF), a multimodal construct that captures one's control over cognition and behaviour, is associated with academic achievement and social-emotional competence. Prior research suggests that early childhood experiences and the family context shape EF development. Harsh parenting practices...",no,cross_sectional_survey,unknown
doi:10.1111/desc.13355,10.1111/desc.13355,An Ecological View of Executive Function in Young Children: Variation in and Predictors of Executive Function Skills Over One School Year.,2022,Developmental Science,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"For many years, researchers studied EFs in the laboratory with a focus on understanding an individual child's development and brain processes in a controlled environment. Building on this foundational research, there is a growing interest in EFs in the context of a child's dynamic, social world and the contextual an...",no,unknown,unknown
