paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-003,0,doi:10.4103/1463-1741.181995-TBL-C001,finding,"Access this article online: Quick Response Code:; : Website:
www.noiseandhealth.org",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-003,2,doi:10.4103/1463-1741.181995-TBL-C002,finding,": DOI:
***",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-003,3,doi:10.4103/1463-1741.181995-TBL-C003,finding,": PubMed ID:
***",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,0,doi:10.4103/1463-1741.181995-TBL-C004,finding,Psychomotor speed: Simple reaction time↓ ls14 hs22 nn4c10,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,1,doi:10.4103/1463-1741.181995-TBL-C005,finding,Psychomotor speed: Attention,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,2,doi:10.4103/1463-1741.181995-TBL-C006,finding,Psychomotor speed: Continuous performance test (CPT) D-prime ls13 hs21 nn4c11,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,3,doi:10.4103/1463-1741.181995-TBL-C007,finding,Psychomotor speed: Executive function,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,4,doi:10.4103/1463-1741.181995-TBL-C008,finding,Psychomotor speed: Trail making B-A↓ ls17 hs17 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,5,doi:10.4103/1463-1741.181995-TBL-C009,finding,Psychomotor speed: *Beads drawn ls17 hs24 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-005,6,doi:10.4103/1463-1741.181995-TBL-C010,finding,Psychomotor speed: Verbal fluency ls17 hs24 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-006,0,doi:10.4103/1463-1741.181995-TBL-C011,finding,: 0.055,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-006,1,doi:10.4103/1463-1741.181995-TBL-C012,finding,"Hopkins verbal learning test (HVLT): Total immediate recall
ls17 hs22 nn4c12: HVLT: Delayed recall ls16 hs22 nn4c12",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-006,2,doi:10.4103/1463-1741.181995-TBL-C013,finding,"Hopkins verbal learning test (HVLT): Total immediate recall
ls17 hs22 nn4c12: HVLT: Discrimination index ls16 hs23 nn4c12",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,0,doi:10.4103/1463-1741.181995-TBL-C014,finding,Psychomotor speed: Simple reaction time m22 f26,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,1,doi:10.4103/1463-1741.181995-TBL-C015,finding,Psychomotor speed: Attention,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,2,doi:10.4103/1463-1741.181995-TBL-C016,finding,"Psychomotor speed: Continuous performance test (CPT)
D-prime m20 f25",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,3,doi:10.4103/1463-1741.181995-TBL-C017,finding,Psychomotor speed: Executive function,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,4,doi:10.4103/1463-1741.181995-TBL-C018,finding,Psychomotor speed: Trail making B-A↓ m22 f29,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,5,doi:10.4103/1463-1741.181995-TBL-C019,finding,Psychomotor speed: Beads (60:40) m24 f30,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-007,6,doi:10.4103/1463-1741.181995-TBL-C020,finding,Psychomotor speed: Verbal fluency m24 f30,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-008,0,doi:10.4103/1463-1741.181995-TBL-C021,finding,"Verbal learning and memory: Hopkins verbal learning test (HVLT):
Total immediate recall m24 f30",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-008,1,doi:10.4103/1463-1741.181995-TBL-C022,finding,Verbal learning and memory: HVLT: Delayed recall m24 f30,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-008,2,doi:10.4103/1463-1741.181995-TBL-C023,finding,Verbal learning and memory: HVLT: Discrimination index m24 f30,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-008,3,doi:10.4103/1463-1741.181995-TBL-C024,finding,"Verbal learning and memory: Note, bold P levels indicates significance at P < 0.05",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,0,doi:10.4103/1463-1741.181995-TBL-C025,finding,"—: 25
**73.0; 64
**54.0−: 64
02.0; 64
62.0−: 64
32.0−; 34
**95.0−: 34
62.0−; 34
**65.0−: 34
41.0−",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,1,doi:10.4103/1463-1741.181995-TBL-C026,finding,"—: 25
01.0; 64
**54.0−: 64
90.0−; 64
62.0−: 64
22.0−; 34
**95.0−: 34
70.0; 34
**65.0−: 34
91.0−",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,2,doi:10.4103/1463-1741.181995-TBL-C027,finding,"—: 25
11.0; 64
**54.0−: 64
12.0−; 64
62.0−: 64
*53.0−; 34
**95.0−: 34
70.0−; 34
**65.0−: 34
40.0",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,3,doi:10.4103/1463-1741.181995-TBL-C028,finding,"—: 25
**73.0; 64
**54.0−: 64
01.0; 64
62.0−: 64
90.0; 34
**95.0−: 34
51.0−; 34
**65.0−: 34
71.0−",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,4,doi:10.4103/1463-1741.181995-TBL-C029,finding,"—: 15
50.0; 64
**54.0−: 54
20.0−; 64
62.0−: 54
80.0−; 34
**95.0−: 24
91.0; 34
**65.0−: 24
91.0",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,5,doi:10.4103/1463-1741.181995-TBL-C030,finding,"—: 15
41.0−; 64
**54.0−: 54
81.0; 64
62.0−: 54
*23.0; 34
**95.0−: 24
30.0−; 34
**65.0−: 24
90.0−",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213154627-009,7,doi:10.4103/1463-1741.181995-TBL-C031,finding,"—: ycneufl
labreV",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-012,0,doi:10.17509/interlude.v3i2.71595-TBL-C001,finding,: cognitive system supports speech-in-noise perception in older adults. Hearing,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-012,1,doi:10.17509/interlude.v3i2.71595-TBL-C002,finding,": research, 300, 18-32.",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-016,0,doi:10.17509/interlude.v3i2.71595-TBL-C003,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-017,0,doi:10.17509/interlude.v3i2.71595-TBL-C004,finding,"Davis, M. F. (2007). Audio and electroacoustics. Springer handbook of acoustics, 779-817.: Dzulkifli, N., Santosa, D., & Kusmiati, M. (2021). Scoping Review: Pengaruh Mendengarkan",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-017,1,doi:10.17509/interlude.v3i2.71595-TBL-C005,finding,: Musik Klasik terhadap Kemampuan Konsentrasi Mahasiswa. Prosiding Pendidikan,0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-017,2,doi:10.17509/interlude.v3i2.71595-TBL-C006,finding,": Dokter, 7(1), 50-53.",0.6,,,,,,,,,,,codex_pdfplumber
doi:10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,acoustic,TBL-20260213154632-018,0,doi:10.17509/interlude.v3i2.71595-TBL-C007,finding,"Durant, A. (1990). A new day for music? Digital technology in contemporary music-making.: Ellermeier, W., & Zimmer, K. (2014). The psychoacoustics of the irrelevant sound effect.",0.6,,,,,,,,,,,codex_pdfplumber
