paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,adjudication_reasons
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-003,0,doi:10.4103/1463-1741.181995-TBL-C001,finding,"Access this article online: Quick Response Code:; : Website:
www.noiseandhealth.org",0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-003,2,doi:10.4103/1463-1741.181995-TBL-C002,finding,": DOI:
***",0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields;short_content
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-003,3,doi:10.4103/1463-1741.181995-TBL-C003,finding,": PubMed ID:
***",0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields;short_content
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,0,doi:10.4103/1463-1741.181995-TBL-C004,finding,Psychomotor speed: Simple reaction time↓ ls14 hs22 nn4c10,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,1,doi:10.4103/1463-1741.181995-TBL-C005,finding,Psychomotor speed: Attention,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,2,doi:10.4103/1463-1741.181995-TBL-C006,finding,Psychomotor speed: Continuous performance test (CPT) D-prime ls13 hs21 nn4c11,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,3,doi:10.4103/1463-1741.181995-TBL-C007,finding,Psychomotor speed: Executive function,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,4,doi:10.4103/1463-1741.181995-TBL-C008,finding,Psychomotor speed: Trail making B-A↓ ls17 hs17 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,5,doi:10.4103/1463-1741.181995-TBL-C009,finding,Psychomotor speed: *Beads drawn ls17 hs24 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-005,6,doi:10.4103/1463-1741.181995-TBL-C010,finding,Psychomotor speed: Verbal fluency ls17 hs24 nn4c12,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-006,0,doi:10.4103/1463-1741.181995-TBL-C011,finding,: 0.055,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields;short_content
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-006,1,doi:10.4103/1463-1741.181995-TBL-C012,finding,"Hopkins verbal learning test (HVLT): Total immediate recall
ls17 hs22 nn4c12: HVLT: Delayed recall ls16 hs22 nn4c12",0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-006,2,doi:10.4103/1463-1741.181995-TBL-C013,finding,"Hopkins verbal learning test (HVLT): Total immediate recall
ls17 hs22 nn4c12: HVLT: Discrimination index ls16 hs23 nn4c12",0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-007,0,doi:10.4103/1463-1741.181995-TBL-C014,finding,Psychomotor speed: Simple reaction time m22 f26,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
doi:10.4103/1463-1741.181995,Moderators of noise-induced cognitive change in healthy adults,cognition,TBL-20260213150628-007,1,doi:10.4103/1463-1741.181995-TBL-C015,finding,Psychomotor speed: Attention,0.6,,,,,,,,,,,codex_pdfplumber,low_confidence;weak_quant_fields
