paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.15294/ijeces.v13i2.15535,10.15294/ijeces.v13i2.15535,The Role of an Inclusive Environment in Improving Early Childhood Executive Function Skills,2025,Indonesian journal of early childhood education studies,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study aims to explore the role of an inclusive environment in supporting the development of Executive Function (EF) skills in early childhood. EF is needed to face modern challenges that require critical thinking, problem-solving, and emotional regulation. However, challenges such as the lack of teacher trainin...",no,qualitative,case_study
doi:10.3389/fpsyg.2021.707457,10.3389/fpsyg.2021.707457,"Research on Acoustic Environment in the Building of Nursing Homes Based on Sound Preference of the Elderly People: A Case Study in Harbin, China",2021,Frontiers in Psychology,thermal,0,noise,mood,null,,medium,abstract_only_reduced_table,abstract_only,"Nursing homes are the facilities where the elderly conduct their daily activities. This may lead to a complicated acoustic environment which would potentially affect the ability of the elderly to function. In this study, the main indoor public space of a nursing home in Harbin was taken as the research object, and t...",no,cross_sectional_survey,case_study
doi:10.3390/su12073010,10.3390/su12073010,The Smart Classroom as a Means to the Development of ESD Methodologies,2020,Sustainability,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Educational institutions are envisioned as principal agents for addressing the current sustainability challenge that society is facing. Education for Sustainable Development (ESD) is transformational and concerns learning content and outcomes, pedagogy and the learning environment in itself. ESD entails rethinking t...",no,theoretical_conceptual,case_study
doi:10.20431/2456-4931.071021,10.20431/2456-4931.071021,Assessment of the Luminous Environment in a Modern Office Building in Algeria Case Study: Public Treasury of Mostaganem,2022,International journal of innovative studies in sociology and humanities,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"Modern architecture remains an important part of Algeria’s contemporary urban fabric. Many recent studies advocate for the preservation and revitalization of architectural heritage, particularly as it reflects the identity of each region, as well as the relationship between modern architecture and the climate dimens...",no,unknown,case_study
doi:10.13167/2019.18.8,10.13167/2019.18.8,ASSESSMENT OF DAYLIGHT IN THE SELECTED OFFICE THROUGH SIMULATION PROGRAMS: A CASE STUDY,2019,Elektronički časopis građevinskog fakulteta Osijek,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"An important aspect of building design is to let the daylight into rooms and create a visual comfort. Visual comfort is a psychophysical condition needed for efficient work and rest, complying with the hygienic requirements, and depends on luminous intensity, illuminance, architectural design of the space, and eyes ...",no,unknown,case_study
doi:10.15627/jd.2021.14,10.15627/jd.2021.14,A Combined Method for an Exhaustive Investigation of the Anidolic Ceiling Effect on Improving Indoor Office Daylight Quality: an Approach Based on HDR Photography and Subjective Evaluations,2021,Journal of Daylighting,light,0,daylight,stress,negative,,medium,abstract_only_reduced_table,abstract_only,"Lighting quality in office environments is a broad concept that must be taken into account in the design stage to deliver comfortable spaces to reduce workers' stress. Indeed, daylight should be sufficient to perform visual tasks while avoiding excessive brightness, high contrast, or intense sunlight reflections tha...",no,cross_sectional_survey,case_study
doi:10.1109/M2VIP67511.2025.11165563,10.1109/M2VIP67511.2025.11165563,Research on the Aesthetic Perception of Color Temperature in Urban Waterfront Nightscape Lighting Interfaces: A Virtual Reality Experiment Approach,2025,International Conference on Mechatronics and Machine Vision in Practice,light,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"As a key visual variable in urban nightscape lighting design, color temperature directly affects people's aesthetic perception and visual experience. Existing research has primarily focused on the impact of single color temperatures, with limited systematic exploration of the aesthetic effects of combined color temp...",no,unknown,case_study
doi:10.3390/en17153719,10.3390/en17153719,Predictive Heating Control and Perceived Thermal Comfort in a Norwegian Office Building,2024,Energies,thermal,0,air_quality,mood,unknown,,low,abstract_only_reduced_table,abstract_only,"An office building in Trondheim, Norway, was used as a case study to test the influence of Predictive Control (PC) for the optimization of energy use on the employees’ thermal comfort. A predictive control was implemented in the Building Energy Management System (BEMS) by operating on the supply temperature of the r...",no,cross_sectional_survey,case_study
doi:10.2478/he-2025-0021,10.2478/he-2025-0021,PKatowice’s Market Squares in the Context of the Urban Housing Environment as a Place for Local Social Interaction,2025,Środowisko Mieszkaniowe/Housing Environment,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract This article discusses the activation declining markets as socially important public places, whose character impacts the local housing environment. It presents the maladjustment of their form and function to the requirements and preferences of contemporary society. It indicates possible directions and persp...",no,unknown,case_study
doi:10.3389/fbuil.2025.1727570,10.3389/fbuil.2025.1727570,"Differential effects of objective and perceived environments on place attachment with emotion mediation: a case study in Nanjing, China",2025,Frontiers in Built Environment,affect,0,unspecified_environment,mood,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Research increasingly links the built environment to place attachment, with expected benefits for perceived restorativeness and resident wellbeing. Yet prior work has concentrated on macro scale attributes and provides limited evidence on how objective and perceived environments shape attachment at the micro scale o...",no,cross_sectional_survey,case_study
