paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.15294/ijeces.v13i2.15535,10.15294/ijeces.v13i2.15535,The Role of an Inclusive Environment in Improving Early Childhood Executive Function Skills,2025,Indonesian journal of early childhood education studies,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"This study aims to explore the role of an inclusive environment in supporting the development of Executive Function (EF) skills in early childhood. EF is needed to face modern challenges that require critical thinking, problem-solving, and emotional regulation. However, challenges such as the lack of teacher trainin...",no,qualitative,case_study
doi:10.24952/multidisipliner.v11i2.13643,10.24952/multidisipliner.v11i2.13643,"Building of Student Character and Teachers' Creativity in the Use of Environment-Based Learning Media at SMA Negeri 2 Soyo Jaya, North Morowali Regency Utara",2024,Studi multidisipliner,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The purpose of writing this article is to discuss how to building student character or morals and teacher creativity in using environmental media in social studies learning as well as looking at the supporting and inhibiting factors for teachers in using the environment as a learning medium at SMA Negeri 2 Soyo Jaya...,no,qualitative,interview_study
doi:10.1080/10494820.2024.2344056,10.1080/10494820.2024.2344056,The effects of a self-developed virtual reality environment on college EFL learners’ vocabulary learning,2024,Interactive Learning Environments,air,0,air_quality,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"ABSTRACT In second language acquisition (SLA), vocabulary learning can be a great challenge for some English as a Foreign Language (EFL) learners. Virtual Reality (VR) technology has unleashed its potential in language education, but insufficient attention has yet been paid to its impact on EFL learners’ vocabulary ...",no,qualitative,interview_study
doi:10.1108/yc-04-2023-1728,10.1108/yc-04-2023-1728,A mixed study on the “wow” of impulse purchase on Instagram: insights from Gen-Z in a collectivistic environment,2023,Young Consumers,light,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"Purpose
Generation Z (Gen-Z), sometimes known as “digital natives”, represents the first generation to become immersed in digital communication. In a multicultural environment, this study aims to explore which types of factors are most beneficial in connection with Gen-Z’s impulsive purchase behaviour.


Design/meth...",no,qualitative,mixed_methods
doi:10.22373/ijes.v3i1.7716,10.22373/ijes.v3i1.7716,INFLUENCE OF GARDEN ON PSYCHOLOGICAL COMFORT WITHIN THE HEALING ENVIRONMENT CONCEPT,2025,Indonesian Journal of Environmental Sustainability,thermal,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Zainoel Abidin Hospital has implemented a garden surrounding its premises to promote comfort, aesthetics, and safety. One approach to creating comfort in a hospital environment is by organizing and managing the space in both functional and aesthetic ways. This study aims to explore the perceptions of hospital users ...",no,qualitative,interview_study
doi:10.1080/13467581.2023.2229399,10.1080/13467581.2023.2229399,"The typology of courtyard space in Najdi Architecture, Saudi Arabia: a response to human needs, culture, and the environment",2023,Journal of Asian Architecture and Building Engineering,thermal,0,unspecified_environment,productivity,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,ABSTRACT This study seeks to identify the significant characteristics of the traditional Najdi courtyard in Saudi Arabia in order to comprehend the typology and applicability of courtyard patterns in Najdi dense urban neighborhoods. The study includes a literature review that investigates the socio-cultural influenc...,no,qualitative,case_study
doi:10.3390/educsci14101118,10.3390/educsci14101118,Building Resilience during Compassion Fatigue: Autoethnographic Accounts of College Students and Faculty,2024,Education sciences,restoration,0,unspecified_environment,stress,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Compassion fatigue (CF) is a well-researched topic in the fields of mental health and nursing. However, studies on CF in the fields of primary, secondary, and higher education are very recent and scant. Compassion fatigue (CF) can be defined as the empathic strain or general exhaustion experienced by helping profess...",no,qualitative,ethnographic
doi:10.3390/buildings14092839,10.3390/buildings14092839,The Digital Twin Immersive Design Process and Its Potential Disruption to Healthcare Design through a User-Centered Approach,2024,Buildings,light,0,daylight,unspecified_outcome,positive,30,low,abstract_only_reduced_table,abstract_only;n=30;weak_variable_resolution,"This applied research proposes a solution to the static government design process for Thai healthcare architecture to better serve the needs of its elderly society. In its place, a novel real-time design process, termed the Digital Twin Immersive Design Process (DT-IDP), repurposes aspects of digital twin and virtua...",no,qualitative,interview_study
doi:10.61620/tfa.66,10.61620/tfa.66,‘May He/She Rest in Lights’: Reflection on Wishes in Funerary Folklore,2025,Türk Folklor Araştırmaları,light,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"In Turkish-Islamic culture, it is customary to convey blessings to the deceased, reflecting a broader spiritual framework that links death, memory, and the afterlife. One frequently employed expression is the phrase: “May he/she rest in light.” This notion, which draws on theological imagery rooted in Surah An-Nur o...",no,qualitative,ethnographic
doi:10.1103/sl4k-pcvq,10.1103/sl4k-pcvq,Optically Induced Magnetic Inertia and Magnons from Non-Markovian Extension of the Landau-Lifshitz-Gilbert Equation.,2025,Physical review letters,thermal,0,thermal,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"The Landau-Lifshitz-Gilbert (LLG) equation has been the cornerstone of modeling the dynamics of localized spins, viewed as classical vectors of fixed length, within nonequilibrium magnets. When light is employed as the nonequilibrium drive, the LLG equation must be supplemented with additional terms that are usually...",no,qualitative,phenomenological
