title,authors,year,venue,doi,landing_url,pdf_url,method,manipulated_feature,outcomes,topic_tags,pdf_host_domain,cited_by_scholar_total,affiliation_hint,pdf_available,priority_score
Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,"Vartanian, O.; Navarrete, G.; Chatterjee, A.; Fich, L.B.; et al.",2013,Proceedings of the National Academy of Sciences (PNAS),10.1073/pnas.1301227110,https://www.pnas.org/doi/abs/10.1073/pnas.1301227110,https://www.pnas.org/doi/pdf/10.1073/pnas.1301227110,fMRI + ratings (beauty/approach-avoidance),contour (curvilinear vs rectilinear) of interior architecture images,aesthetic judgment; approach/avoidance decisions; neural responses,geometry; contour; affect; decision-making,www.pnas.org,638.0,PNAS (publisher PDF),True,100638.0
Architectural design and the brain: Effects of ceiling height and perceived enclosure on beauty judgments and approach-avoidance decisions,"Vartanian, O.; Navarrete, G.; Chatterjee, A.; Fich, L.B.; et al.",2015,Journal of Environmental Psychology,10.1016/j.jenvp.2014.11.006,https://www.sciencedirect.com/science/article/pii/S0272494414001030,https://neuroaesthetics.med.upenn.edu/assets/user-content/documents/publications/vartanian-navarrete-chatterjee-fich-gonzalez-mora-leder-modrono-nadal-rostrup-skov-2015-01.pdf,fMRI + ratings,ceiling height; enclosure (open vs enclosed) in interior images,beauty; approach/avoidance; neural responses,ceiling height; enclosure; affect; neuroaesthetics,neuroaesthetics.med.upenn.edu,375.0,University of Pennsylvania (PDF host),True,100375.0
Walking through architectural spaces: The impact of interior forms on human brain dynamics,"Banaei, M.; Hatami, J.; Yazdanfar, A.; Gramann, K.",2017,Frontiers in Human Neuroscience,10.3389/fnhum.2017.00477,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2017.00477/full,https://www.frontiersin.org/journals/human-neuroscience/articles/10.3389/fnhum.2017.00477/pdf,mobile EEG during navigation,interior forms (architectural geometry while walking through spaces),EEG dynamics; brain responses during spatial experience,navigation; interior form; geometry; EEG,www.frontiersin.org,336.0,Frontiers (publisher PDF),True,100336.0
"Buildings, beauty, and the brain: A neuroscience of architectural experience","Coburn, A.; Vartanian, O.; Chatterjee, A.",2017,Journal of Cognitive Neuroscience,10.1162/jocn_a_01146,https://direct.mit.edu/jocn/article-abstract/29/9/1521/28685,https://repository.upenn.edu/bitstreams/87fa214a-59e7-4f65-a2e8-43ccde8b3003/download,theory/review,architectural experience (including prospect-refuge),framework,neuroarchitecture; aesthetics; prospect-refuge,repository.upenn.edu,333.0,University of Pennsylvania repository (PDF host),True,100333.0
"Physical, Social, and Personal Determinants of the Perception of Crowding","Stokols, D.",1973,Environment and Behavior,,https://escholarship.org/content/qt75m2n647/qt75m2n647.pdf,https://escholarship.org/content/qt75m2n647/qt75m2n647.pdf,experimental/field,room size; social density; personal factors,perceived crowding,crowding; room size; social interaction,escholarship.org,321.0,,True,100321.0
Affective response to architecture–investigating human reaction to spaces with different geometry,"Shemesh, A.; Talmon, R.; Karp, O.; Amir, I.; Grobman, Y.J.",2017,Architectural Science Review,10.1080/00038628.2016.1266597,https://www.tandfonline.com/doi/abs/10.1080/00038628.2016.1266597,https://www.researchgate.net/profile/Jacob-Grobman/publication/311806979_Affective_response_to_architecture_-_investigating_human_reaction_to_spaces_with_different_geometry/links/5f950138a6fdccfd7b7d62af/Affective-response-to-architecture-investigating-human-reaction-to-spaces-with-different-geometry.pdf,wireless EEG + affective ratings,space geometry (different geometries of spaces),affective response; physiological signals,geometry; affect; EEG,www.researchgate.net,206.0,ResearchGate (user-uploaded copy),True,100206.0
Evidence for prospect-refuge theory: a meta-analysis of the findings of environmental preference research,"Dosen, A.S.; Ostwald, M.J.",2016,"City, Territory and Architecture",10.1186/s40410-016-0033-1,https://link.springer.com/article/10.1186/s40410-016-0033-1,https://link.springer.com/content/pdf/10.1186/s40410-016-0033-1.pdf,meta-analysis,prospect-refuge related spatial properties (environmental preference literature),environmental preference evidence synthesis,prospect-refuge; preference; meta-analysis,link.springer.com,201.0,SpringerOpen PDF,True,100201.0
Geo-EEG: towards the use of EEG in the study of urban behaviour,"Mavros, P.; Austwick, M.Z.; Smith, A.H.",2016,Applied Spatial Analysis and Policy,10.1007/s12061-015-9181-z,https://link.springer.com/article/10.1007/s12061-015-9181-z,https://link.springer.com/content/pdf/10.1007/s12061-015-9181-z.pdf,methods paper,mobile EEG for urban behavior (framework),methodological framework,MoBI; EEG; urban; methodology,link.springer.com,128.0,,True,100128.0
"Evaluating the impacts of color, graphics, and architectural features on wayfinding in healthcare settings using EEG data and virtual response testing","Kalantari, S.; Tripathi, V.; Kan, J.; Rounds, J.D.; et al.",2022,Journal of Environmental Psychology,10.1016/j.jenvp.2021.101726,https://www.sciencedirect.com/science/article/pii/S0272494421001973,https://www.sciencedirect.com/science/article/am/pii/S0272494421001973,VR + EEG,color; graphics; architectural features in healthcare wayfinding,wayfinding performance; EEG,wayfinding; healthcare; VR; EEG; visual features,www.sciencedirect.com,112.0,,True,100112.0
A neurocognitive study of the emotional impact of geometrical criteria of architectural space,"Shemesh, A.; Leisman, G.; Bar, M.; et al.",2021,Architectural Science Review,10.1080/00038628.2021.1940827,https://www.tandfonline.com/doi/abs/10.1080/00038628.2021.1940827,https://www.academia.edu/download/121625109/2021-Shemesh-A_20neurocognitive_20study_20of_20the_20emotional_20impact_20of_20geometrical_20criteria_20of_20architectural_20space.pdf,EEG and/or fMRI + ratings (study reports neurocognitive measures),"geometrical criteria of architectural space (e.g., curvature/geometry)",emotional impact; neurocognitive responses,geometry; emotion; neurocognition,www.academia.edu,91.0,Academia.edu (user-uploaded copy),True,100091.0
