paper_id,claim_id,claim_type,node_id,statement,ae_confidence,node_type,article_type_family,template_version,environment_variable,outcome_variable,environment_candidates,outcome_candidates,environment_candidate_scores,outcome_candidate_scores,environment_canonical_id,outcome_canonical_id,environment_resolution_confidence,outcome_resolution_confidence,environment_resolution_match_type,outcome_resolution_match_type,translation_status,translation_confidence,translation_warnings,environment_node_id,outcome_node_id,effect_direction,edge_id,edge_type,source_node_id,target_node_id,weight,evidence_basis,needs_verification,justification,relation_type_hint,relation_strength_hint,relation_provenance_hint,argument_relation_type,causal_level,argument_scheme,theory_name,target_paper_id,citation_text,citation_doi,citation_context,citation_match_confidence,citation_match_type,source_section,source_page_start,source_page_end,source_quote,source_quote_hash,source_table_id,source_table_row,quality_flag,source,evidence_level,provenance_tier,requires_pdf_confirmation,source_zone,extraction_difficulty,processed_at,article_type_needs_review
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C001,finding,doi:10.18419/opus-9385-TBL-C001,: T I: THE CONCEPTUAL STUDY,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,conceptual conceptual,conceptual conceptual,['conceptual conceptual'],['conceptual conceptual'],"['stone concrete:0.571', 'concealed viewpoint:0.550']",[],UNRESOLVED:environment:conceptual_conceptual,UNRESOLVED:outcome:conceptual_conceptual,0.0,0.0,unresolved,unresolved,inferred,0.5714,environment_unresolved|outcome_unresolved,env.unresolved.conceptual_conceptual,out.unresolved.conceptual_conceptual,positive,edge:doi:10.18419/opus-9385-TBL-C001,COHERENCE_SUPPORT,env.unresolved.conceptual_conceptual,out.unresolved.conceptual_conceptual,0.4,explicit_statement,true,: T I: THE CONCEPTUAL STUDY,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,29,29,: T I: THE CONCEPTUAL STUDY,feb128a5982f4c49,TBL-20260216235812-001,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:39.977305+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C002,finding,doi:10.18419/opus-9385-TBL-C002,: pter I,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,pter pter,pter pter,['pter pter'],['pter pter'],"['wallpaper patterned:0.571', 'planters present:0.560', 'potted plants:0.545', 'water feature:0.545', 'temple:0.533']",[],UNRESOLVED:environment:pter_pter,UNRESOLVED:outcome:pter_pter,0.0,0.0,unresolved,unresolved,inferred,0.5714,environment_unresolved|outcome_unresolved,env.unresolved.pter_pter,out.unresolved.pter_pter,positive,edge:doi:10.18419/opus-9385-TBL-C002,COHERENCE_SUPPORT,env.unresolved.pter_pter,out.unresolved.pter_pter,0.4,explicit_statement,true,: pter I,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,31,31,: pter I,d8b55724744261bb,TBL-20260216235812-002,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.027420+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C003,finding,doi:10.18419/opus-9385-TBL-C003,: Research Introduction,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,introduction,research introduction research,['research introduction research'],['research introduction research'],['solar penetration depth:0.528'],[],env.ae.hazard_indicators,UNRESOLVED:outcome:research_introduction_research,0.75,0.0,fuzzy,unresolved,inferred,0.75,outcome_unresolved,env.ae.hazard_indicators,out.unresolved.research_introduction_research,positive,edge:doi:10.18419/opus-9385-TBL-C003,COHERENCE_SUPPORT,env.ae.hazard_indicators,out.unresolved.research_introduction_research,0.4,explicit_statement,true,: Research Introduction,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,31,31,: Research Introduction,cb82137ba6ce0c6f,TBL-20260216235812-002,2,needs_article_type_verification|translation_inferred|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.206576+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C004,finding,doi:10.18419/opus-9385-TBL-C004,"Profile (A): Typical Egyptian
office space profile",0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,profile typical egyptian,profile typical egyptian,['profile typical egyptian'],['profile typical egyptian'],[],[],UNRESOLVED:environment:profile_typical_egyptian,UNRESOLVED:outcome:profile_typical_egyptian,0.0,0.0,unresolved,unresolved,inferred,0.0,environment_unresolved|outcome_unresolved,env.unresolved.profile_typical_egyptian,out.unresolved.profile_typical_egyptian,positive,edge:doi:10.18419/opus-9385-TBL-C004,COHERENCE_SUPPORT,env.unresolved.profile_typical_egyptian,out.unresolved.profile_typical_egyptian,0.4,explicit_statement,true,Profile (A): Typical Egyptian office space profile,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,45,45,Profile (A): Typical Egyptian office space profile,c70bce1592afb195,TBL-20260216235813-003,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.379458+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C005,finding,doi:10.18419/opus-9385-TBL-C005,"Profile (B): ASHRAE standards
based profile",0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,profile ashrae standards,profile ashrae standards,['profile ashrae standards'],['profile ashrae standards'],[],[],UNRESOLVED:environment:profile_ashrae_standards,UNRESOLVED:outcome:profile_ashrae_standards,0.0,0.0,unresolved,unresolved,inferred,0.0,environment_unresolved|outcome_unresolved,env.unresolved.profile_ashrae_standards,out.unresolved.profile_ashrae_standards,positive,edge:doi:10.18419/opus-9385-TBL-C005,COHERENCE_SUPPORT,env.unresolved.profile_ashrae_standards,out.unresolved.profile_ashrae_standards,0.4,explicit_statement,true,Profile (B): ASHRAE standards based profile,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,45,45,Profile (B): ASHRAE standards based profile,9fbca1016cef040a,TBL-20260216235813-004,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.556206+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C006,methodology,doi:10.18419/opus-9385-TBL-C006,: Unknown study,0.9,KNOWLEDGE_GAP,unknown,unknown_with_reason:runtime_table_extractor,unknown unknown,unknown unknown,['unknown unknown'],['unknown unknown'],[],[],UNRESOLVED:environment:unknown_unknown,UNRESOLVED:outcome:unknown_unknown,0.0,0.0,unresolved,unresolved,noncausal,0.0,noncausal_claim_type,env.unresolved.unknown_unknown,out.unresolved.unknown_unknown,positive,edge:doi:10.18419/opus-9385-TBL-C006,COHERENCE_SUPPORT,env.unresolved.unknown_unknown,out.unresolved.unknown_unknown,0.45,consensus,true,: Unknown study,explains,0.45,argument:method_or_sample_context,table_claim,association,causal_argument,,,,,,,,table,45,45,: Unknown study,6e6bc11e8a69b826,TBL-20260216235813-005,0,needs_article_type_verification|translation_noncausal|noncausal_claim_type,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.617736+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C008,finding,doi:10.18419/opus-9385-TBL-C008,: T II: THE THEORETICAL STUDY,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,theoretical theoretical,theoretical theoretical,['theoretical theoretical'],['theoretical theoretical'],"['natural materials:0.550', 'high vertical clearance:0.522']",[],UNRESOLVED:environment:theoretical_theoretical,UNRESOLVED:outcome:theoretical_theoretical,0.0,0.0,unresolved,unresolved,inferred,0.55,environment_unresolved|outcome_unresolved,env.unresolved.theoretical_theoretical,out.unresolved.theoretical_theoretical,positive,edge:doi:10.18419/opus-9385-TBL-C008,COHERENCE_SUPPORT,env.unresolved.theoretical_theoretical,out.unresolved.theoretical_theoretical,0.4,explicit_statement,true,: T II: THE THEORETICAL STUDY,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,47,47,: T II: THE THEORETICAL STUDY,0538539cb3a13cdc,TBL-20260216235813-006,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.718059+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C009,finding,doi:10.18419/opus-9385-TBL-C009,: pter II,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,pter pter,pter pter,['pter pter'],['pter pter'],"['wallpaper patterned:0.571', 'planters present:0.560', 'potted plants:0.545', 'water feature:0.545', 'temple:0.533']",[],UNRESOLVED:environment:pter_pter,UNRESOLVED:outcome:pter_pter,0.0,0.0,unresolved,unresolved,inferred,0.5714,environment_unresolved|outcome_unresolved,env.unresolved.pter_pter,out.unresolved.pter_pter,positive,edge:doi:10.18419/opus-9385-TBL-C009,COHERENCE_SUPPORT,env.unresolved.pter_pter,out.unresolved.pter_pter,0.4,explicit_statement,true,: pter II,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,49,49,: pter II,55ec0acef5ee6105,TBL-20260216235813-007,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.769185+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C010,finding,doi:10.18419/opus-9385-TBL-C010,: Worldwide Energy Predicaments,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,worldwide energy predicaments,worldwide energy predicaments,['worldwide energy predicaments'],['worldwide energy predicaments'],"['wood stone prominent:0.531', 'absorptive treatments:0.520']",[],UNRESOLVED:environment:worldwide_energy_predicaments,UNRESOLVED:outcome:worldwide_energy_predicaments,0.0,0.0,unresolved,unresolved,inferred,0.5306,environment_unresolved|outcome_unresolved,env.unresolved.worldwide_energy_predicaments,out.unresolved.worldwide_energy_predicaments,positive,edge:doi:10.18419/opus-9385-TBL-C010,COHERENCE_SUPPORT,env.unresolved.worldwide_energy_predicaments,out.unresolved.worldwide_energy_predicaments,0.4,explicit_statement,true,: Worldwide Energy Predicaments,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,49,49,: Worldwide Energy Predicaments,d5b255ba428c6a10,TBL-20260216235813-007,2,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:40.964030+00:00,true
doi:10.18419/opus-9385,doi:10.18419/opus-9385-TBL-C011,finding,doi:10.18419/opus-9385-TBL-C011,: pter III,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,pter iii pter,pter iii pter,['pter iii pter'],['pter iii pter'],[],[],UNRESOLVED:environment:pter_iii_pter,UNRESOLVED:outcome:pter_iii_pter,0.0,0.0,unresolved,unresolved,inferred,0.0,environment_unresolved|outcome_unresolved,env.unresolved.pter_iii_pter,out.unresolved.pter_iii_pter,positive,edge:doi:10.18419/opus-9385-TBL-C011,COHERENCE_SUPPORT,env.unresolved.pter_iii_pter,out.unresolved.pter_iii_pter,0.4,explicit_statement,true,: pter III,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,59,59,: pter III,48cd507d96765240,TBL-20260216235814-008,0,needs_article_type_verification|translation_inferred|environment_unresolved|outcome_unresolved,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-16T22:58:41.070765+00:00,true
