paper_id,baseline_status,post_status,baseline_n_claims,post_n_claims,claim_delta,baseline_preprocess_status,post_preprocess_status,post_pdf_path,was_repaired_pdf_path,title
doi:10.3390/su152216104,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su152216104.pdf,no,Examining the Impact of Crowding Perception on the Generation of Negative Emotions among Users of Small Urban Micro Public Spaces
doi:10.3390/su12051830,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su12051830.pdf,no,Examining the Quasi-Public Spaces in Commercial Complexes
doi:10.3390/su12104263,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_su12104263.pdf,no,Towards a Sustainable Indoor Lighting Design: Effects of Artificial Light on the Emotional State of Adolescents in the Classroom
zotero:TFKWSKYP,error_pdf_timeout,error_pdf_timeout,0,0,0,ready,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Play_That_One_Again_the_Effect_of_Music_Tempo_on_C.pdf,no,Play That One Again: the Effect of Music Tempo on Consumer Behaviour in a Restaurant
zotero:ZHKHNN33,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/HUMANNESS_AND_ARCHITECTURE_LATENT_VALUE_SYSTEMS_IN.pdf,no,HUMANNESS AND ARCHITECTURE: LATENT VALUE SYSTEMS IN ARCHITECTURAL THEORY
doi:10.56261/jars.v22.269283,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.56261_jars.v22.269283.pdf,no,Restorative Interior Design to Renew Attention and Reduce Stress in Small Residential Units
doi:10.18419/opus-9385,error_pdf_timeout,error_pdf_timeout,757,757,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.18419_opus-9385.pdf,no,"Simultaneous optimization of office building facades in terms of both energy consumption and transparency in hot arid climates, analysed on the example of Cairo"
doi:10.1037/a0037983,error_pdf_timeout,error_pdf_timeout,0,0,0,ready,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1037_a0037983.pdf,no,Hearing something emotional influences memory for what was just seen: How arousal amplifies effects of competition in memory consolidation.
doi:10.1177/1477153517750714,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1177_1477153517750714.pdf,no,Perceived well-being and light-reactive hormones: An exploratory study
doi:10.1016/j.asej.2022.101810,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.asej.2022.101810.pdf,no,"Simulating the natural lighting for a physical and mental Well-being in residential building in Dubai, UAE"
doi:10.25916/sut.26402764.v1,error_pdf_timeout,error_pdf_timeout,1372,1372,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.25916_sut.26402764.v1.pdf,no,The impact of nonvisual effects of daylight on building occupants: Implications on lighting standards and human centric lighting design
doi:10.1080/00038628.2018.1523129,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_00038628.2018.1523129.pdf,no,Examining wayfinding behaviours in architectural spaces using brain imaging with electroencephalography (EEG)
doi:10.48550/arxiv.2309.15840,error_pdf_timeout,error_pdf_timeout,0,0,0,ready,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.48550_arxiv.2309.15840.pdf,no,How to Catch an AI Liar: Lie Detection in Black-Box LLMs by Asking Unrelated Questions
doi:10.1111/cogs.12518,error_pdf_timeout,error_pdf_timeout,849,849,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1111_cogs.12518.pdf,no,"Recombinant Enaction: Manipulatives Generate New Procedures in the Imagination, by Extending and Recombining Action Spaces"
doi:10.3389/frsc.2021.690055,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3389_frsc.2021.690055.pdf,no,Access to Daylight and Views Improves Physical and Emotional Wellbeing of Office Workers: A Crossover Study
doi:10.3390/s22218135,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_s22218135.pdf,no,Stress Monitoring Using Wearable Sensors: A Pilot Study and Stress-Predict Dataset
doi:10.1080/09613218.2021.2006594,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_09613218.2021.2006594.pdf,no,Nature connectedness and biophilic design
doi:10.1016/j.neuropsychologia.2014.08.030,error_pdf_timeout,error_pdf_timeout,346,346,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1016_j.neuropsychologia.2014.08.030.pdf,no,Full body action remapping of peripersonal space: The case of walking
zotero:F4X7UZLU,error_pdf_timeout,error_pdf_timeout,377,377,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/Human_Centric_School_Lighting.pdf,no,Human Centric School Lighting
doi:10.3390/ijerph110202108,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.3390_ijerph110202108.pdf,no,"Effects of Age, Season, Gender and Urban-Rural Status on Time-Activity: Canadian Human Activity Pattern Survey 2 (CHAPS 2)"
doi:10.1068/p5921,error_pdf_timeout,error_pdf_timeout,513,513,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1068_p5921.pdf,no,Movement and the Rubber Hand Illusion
doi:10.1080/01441647.2012.712555,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1080_01441647.2012.712555.pdf,no,"Wayfinding: A simple concept, a complex process"
doi:10.1007/978-981-99-8405-3_13,error_pdf_timeout,error_pdf_timeout,0,0,0,,ready,/Users/davidusa/REPOS/Article_Finder_v3_2_3/data/pdfs/10.1007_978-981-99-8405-3_13.pdf,no,Optimizing for Orientation in Complex Spaces
