paper_id,source_table_id,source_table_row,claim_id,claim_type,row_status,reasons,source_informative,statement_informative,overlap_ratio,env_resolved,out_resolved,effect_known,translation_status,translation_confidence,translation_warnings,needs_verification,quality_flag,statement,source_quote
doi:10.3390/ijerph7031036,TBL-20260214092226-002,0,doi:10.3390/ijerph7031036-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,b1 = 0.1626 b2 = 0.3428 b3 =-0.1387 x = 101.3 Half-life : Half-life ,b1 = 0.1626 b2 = 0.3428 b3 =-0.1387 x = 101.3 Half-life : Half-life 
doi:10.3390/ijerph7031036,TBL-20260214092226-003,0,doi:10.3390/ijerph7031036-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,b1 = 0.2054 b2 = 0.3071 b3 =-0.1185 x = 159.8 Half-life : Half-life ,b1 = 0.2054 b2 = 0.3071 b3 =-0.1185 x = 159.8 Half-life : Half-life 
doi:10.3390/ijerph7031036,TBL-20260214092226-004,0,doi:10.3390/ijerph7031036-TBL-C003,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,b1 = 0.1822 b2 = 0.3366 b3 =-0.1394 x = 111.4 Half-life : Half-life ,b1 = 0.1822 b2 = 0.3366 b3 =-0.1394 x = 111.4 Half-life : Half-life 
doi:10.3390/ijerph7031036,TBL-20260214092226-005,0,doi:10.3390/ijerph7031036-TBL-C004,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,b1 = 0.1607 b2 = 0.3551 b3 =-0.1111 x = 121.3 Half-life : Half-life ,b1 = 0.1607 b2 = 0.3551 b3 =-0.1111 x = 121.3 Half-life : Half-life 
doi:10.20944/preprints201907.0323.v1,TBL-20260214092258-001,0,doi:10.20944/preprints201907.0323.v1-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"Deviation Contributors: Temperature (Chua et al., 2006; Fang et al., 2004; Kamaruzzaman and Sabrani, 2011; Seppanen, Fisk and Lei, 2006; Wargocki et al., 2006).; Direct Mental Effects: Lowering the rate of performance and productivity. Distraction","Deviation Contributors: Temperature (Chua et al., 2006; Fang et al., 2004; Kamaruzzaman and Sabrani, 2011; Seppanen, Fisk and Lei, 2006; Wargocki et al., 2006).; Direct Mental Effects: Lowering the rate of performance and productivity. Distraction"
sha256:bae8d5930451,TBL-20260214092318-001,0,sha256:bae8d5930451-TBL-C001,effect,verified_strong,translation_status:exact,true,true,1.0000,true,true,true,exact,0.95,,true,ok,: showed effect size of 2004.00 (r) on T hereappearstobewidespreadbeliefthatceilingheight can affect the quality of indoor consumption experi- ences. Fischl and Ga¨rling (2004) found that ceiling height ranked among the top three architectural details that influ- enced consumers’ psychological well-being. Much anec- do,: showed effect size of 2004.00 (r) on T hereappearstobewidespreadbeliefthatceilingheight can affect the quality of indoor consumption experi- ences. Fischl and Ga¨rling (2004) found that ceiling height ranked among the top three architectural details that influ- enced consumers’ psychological well-being. Much anec- do
sha256:bae8d5930451,TBL-20260214092321-005,0,sha256:bae8d5930451-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"APPENDIX A FIGUREA1 SAMPLEPHOTOOFROOMWITHHIGHSALIENCE, HIGHCEILINGHEIGHT: APPENDIX C FIGUREC1 SAMPLEPRODUCT(COFFEE-TABLE)USEDINEXPERIMENT2","APPENDIX A FIGUREA1 SAMPLEPHOTOOFROOMWITHHIGHSALIENCE, HIGHCEILINGHEIGHT: APPENDIX C FIGUREC1 SAMPLEPRODUCT(COFFEE-TABLE)USEDINEXPERIMENT2"
doi:10.1111/joid.12179,TBL-20260214092339-006,0,doi:10.1111/joid.12179-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Table1.IVEIgroupPresenceQuestionnaireresults: Questionsonsenseofpresence SD D N A SA; : Mean(SD),Table1.IVEIgroupPresenceQuestionnaireresults: Questionsonsenseofpresence SD D N A SA; : Mean(SD)
doi:10.1111/joid.12179,TBL-20260214092339-006,1,doi:10.1111/joid.12179-TBL-C002,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,"Table1.IVEIgroupPresenceQuestionnaireresults: IntheVR-generatedworld,Ihadasenseof“beingthere” 2 9 6 32 6 3.56(1.01) Somehow, Ifeltthatthevirtualworldsurroundedme 1 4 4 41 5 3.82(0.77) Ihadasenseofactinginthevirtualspace,ratherthanoperatingsomethingfromoutside 1 9 15 27 5 3.40(0.89) Ifeltpresentinthevirtualspace 0 11 12","Table1.IVEIgroupPresenceQuestionnaireresults: IntheVR-generatedworld,Ihadasenseof“beingthere” 2 9 6 32 6 3.56(1.01) Somehow, Ifeltthatthevirtualworldsurroundedme 1 4 4 41 5 3.82(0.77) Ihadasenseofactinginthevirtualspace,ratherthanoperatingsomethingfromoutside 1 9 15 27 5 3.40(0.89) Ifeltpresentinthevirtualspace 0 11 12"
doi:10.1145/2079216.2079270,TBL-20260214092358-001,0,doi:10.1145/2079216.2079270-TBL-C001,finding,verified_strong,translation_status:inferred,true,true,1.0000,true,true,true,inferred,0.45,,true,ok,Visualproperties: Tactual properties,Visualproperties: Tactual properties
