paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.33990/2070-4011.66.2021.233489,10.33990/2070-4011.66.2021.233489,Institutional audit as an instrument of institutional capacity building of the executive authorities,2021,Efficiency of public administration,light,0,daylight,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"Problem setting. One of the cross-cutting lines of the current stage of public administration reform is the creation of a professional, efficient, effective, transparent and flexible system of executive authorities, which will be a prerequisite for the development of good governance in Ukraine. To do this, it is imp...",no,methods_protocol,theoretical
doi:10.1080/07370008.2021.1945064,10.1080/07370008.2021.1945064,Luminous Science: Teachers Designing For and Developing Transdisciplinary Thinking and Learning,2021,Cognition and Instruction,cognition,0,unspecified_environment,stress,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Creating learning environments that integrate arts, sciences, and computing in education can improve learning in these disciplines. In particular, transdisciplinary integrations of these disciplines can lead to expansive alterations or dissolutions of epistemological, ideological, and methodological boundaries. We w...",no,methods_protocol,conceptual_framework
doi:10.3758/s13414-023-02728-y,10.3758/s13414-023-02728-y,Integrated effects of top-down attention and statistical learning during visual search: An EEG study,2023,"Attention, Perception, & Psychophysics",cognition,0,unspecified_environment,attention,mixed,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,The present study aims to investigate how the competition between visual elements is solved by top-down and/or statistical learning (SL) attentional control (AC) mechanisms when active together. We hypothesized that the “winner” element that will undergo further processing is selected either by one AC mechanism that...,no,methods_protocol,theoretical
doi:10.3389/fpubh.2024.1336028,10.3389/fpubh.2024.1336028,"Kairos study protocol: a multidisciplinary approach to the study of school timing and its effects on health, well-being and students' performance.",2024,Frontiers in public health,cognition,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Recent evidence from chronobiology, chssronomedicine and chronopsychology shows that the organisation of social time (e.g., school schedules) generally does not respect biological time. This raises concerns about the impact of the constant mismatch between students' social and internal body clocks on their health, w...",no,methods_protocol,methods_protocol
doi:10.1080/09658211.2021.1955935,10.1080/09658211.2021.1955935,The effects of acute stress on eyewitness memory: an integrative review for eyewitness researchers,2021,Memory,affect,0,unspecified_environment,stress,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT The eyewitness and fundamental memory research fields have investigated the effects of acute stress at encoding on memory performance for decades yet results often demonstrate contrasting conclusions. In this review, we first summarise findings on the effects of acute encoding stress on memory performance a...",no,methods_protocol,empirical_v2
doi:10.1080/09658211.2021.1904996,10.1080/09658211.2021.1904996,An ecologically valid examination of event-based and time-based prospective memory using immersive virtual reality: the effects of delay and task type on everyday prospective memory,2021,Memory,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT Recent research has focused on assessing either event- or time-based prospective memory (PM) using laboratory tasks. Yet, the findings pertaining to PM performance on laboratory tasks are often inconsistent with the findings on corresponding naturalistic experiments. Ecologically valid neuropsychological ta...",no,methods_protocol,observational_field
doi:10.3390/buildings14030596,10.3390/buildings14030596,A Study on the Effect of Dynamic Photovoltaic Shading Devices on Energy Consumption and Daylighting of an Office Building,2024,Buildings,light,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Photovoltaic shading devices (PVSDs) have the dual function of providing shade and generating electricity, which can reduce building energy consumption and improve indoor daylighting levels. This study adopts a parametric performance design method and establishes a one-click simulation process by using the Grasshopp...",no,methods_protocol,theoretical
doi:10.1016/j.dib.2025.112211,10.1016/j.dib.2025.112211,Annotated drowsiness detection dataset captured using Raspberry Pi 5.,2025,Data in brief,light,0,daylight,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Drowsiness-related accidents represent a critical safety concern in transportation and workplace environments, necessitating real-time monitoring solutions deployable on affordable hardware. This paper introduces the Annotated Drowsiness Detection Dataset, which uniquely combines edge computing optimization with var...",no,methods_protocol,phenomenological
doi:10.1109/SMC53654.2022.9945324,10.1109/SMC53654.2022.9945324,Promoting operator’s wellbeing in Industry 5.0: detecting mental and physical fatigue,2022,"IEEE International Conference on Systems, Man and Cybernetics",affect,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Building on the benefits of Industry 4.0, Industry 5.0 promotes human-centricity of factories, placing operator’s wellbeing at the center of production. Production processes are expected to be designed around operator’s needs, for a more sustainable contribution of industry to society. In this broad context, in this...",no,methods_protocol,empirical_v2
doi:10.1111/ina.13076,10.1111/ina.13076,The effect of indoor daylight spectrum and intensity on viability of indoor pathogens on different surface materials.,2022,Indoor air,light,0,thermal,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"Built environments play a key role in the transmission of infectious diseases. Ventilation rates, air temperature, and humidity affect airborne transmission while cleaning protocols, material properties and light exposure can influence viability of pathogens on surfaces. We investigated how indoor daylight intensity...",no,methods_protocol,methods_protocol
doi:10.1371/journal.pone.0207488,10.1371/journal.pone.0207488,"Morning boost on individuals' psychophysiological wellbeing indicators with supportive, dynamic lighting in windowless open-plan workplace in Malaysia.",2018,PloS one,light,0,daylight,mood,positive,,medium,abstract_only_reduced_table,abstract_only,Workplace architectural lighting conditions that are biologically dim during the day are causing healthy individuals to experience light-induced health and performance-related problems. Dynamic lighting was reported beneficial in supporting individuals' psychological behavior and physiological responses during work ...,no,methods_protocol,empirical_v2
doi:10.1007/s12035-019-01843-y,10.1007/s12035-019-01843-y,Pre-Exposure to Nicotine with Nocturnal Abstinence Induces Epigenetic Changes that Potentiate Nicotine Preference.,2020,Molecular neurobiology,light,0,daylight,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Prior exposure to drugs of abuse may facilitate addiction. It has been described that pre-exposure to nicotine can increase or, contrarily, prevent conditioned place preference (CPP). Here, we evaluated the effect of nicotine pre-exposure on CPP performance using an original protocol mimicking smokers' behaviour in ...",no,methods_protocol,methods_protocol
doi:10.3390/buildings13092128,10.3390/buildings13092128,Integrative Lighting in Classrooms: Preliminary Results from Simulations and Field Measurements,2023,Buildings,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"The paper presents results from a study on integrative lighting in real middle school classrooms located in a school building in Turin, Italy. The contribution of both daylighting and electric lighting was considered. Besides the existing configuration of electric lighting systems (fluorescent luminaires), a set of ...",no,methods_protocol,methods_protocol
doi:10.1073/pnas.1901824116,10.1073/pnas.1901824116,High sensitivity and interindividual variability in the response of the human circadian system to evening light.,2019,Proceedings of the National Academy of Sciences of the United States of America,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Before the invention of electric lighting, humans were primarily exposed to intense (>300 lux) or dim (<30 lux) environmental light-stimuli at extreme ends of the circadian system's dose-response curve to light. Today, humans spend hours per day exposed to intermediate light intensities (30-300 lux), particularly in...",no,methods_protocol,empirical_v2
doi:10.1525/aft.2022.49.1.45,10.1525/aft.2022.49.1.45,Sensing Brownness,2022,Afterimage,cognition,0,noise,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Maureen Catbagan’s Dark Matter (2020) photography series invites us into sensing brownness. In these images of museum passages and stairwells, silhouettes of museum guards, and evocative shadows, Catbagan presents the landscape of the museum. However, this may not be immediately recognizable because the photographs ...",no,methods_protocol,methods_protocol
doi:10.34064/khnum1-76.04,10.34064/khnum1-76.04,The interpretative dimension of R. Hahn’s piano creativity,2025,"Problems of Interaction Between Arts, Pedagogy and the Theory and Practice of Education",cognition,0,noise,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Statement of the problem. Reynaldo Hahn (1874–1947) is a French composer of the “Belle Époque” who remained in the shadow of his contemporaries for a long time, and his piano legacy, in particular, is insufficiently studied both in the scientific and performing context. The lack of an established interpretative trad...",no,methods_protocol,thought_piece
doi:10.1016/j.media.2025.103496,10.1016/j.media.2025.103496,Deep learning based coronary vessels segmentation in X-ray angiography using temporal information.,2025,Medical image analysis,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Invasive coronary angiography (ICA) is the gold standard imaging modality during cardiac interventions. Accurate segmentation of coronary vessels in ICA is required for aiding diagnosis and creating treatment plans. Current automated algorithms for vessel segmentation face task-specific challenges, including motion ...",no,methods_protocol,methods_protocol
doi:10.1103/npp1-w1pp,10.1103/npp1-w1pp,Memory-aware feedback enhances power in active information engines.,2025,Physical review. E,acoustic,0,noise,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"We study an information engine operating in an active bath, where a Brownian particle confined in a harmonic trap undergoes feedback-driven displacement cycles. Unlike thermal environments, active baths exhibit temporally correlated fluctuations, introducing memory effects that challenge conventional feedback strate...",no,methods_protocol,conceptual_framework
doi:10.1016/j.physbeh.2024.114728,10.1016/j.physbeh.2024.114728,Influence of acute and chronic therapeutic cooling on cognitive performance and well-being.,2025,Physiology & behavior,restoration,0,thermal,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Research regarding the effect cold-water immersion (CWI) has on cognitive performance often uses excessive cooling protocols (>1-hour) to measure the detrimental impact prolonged cold exposure has on cognition. Previous studies have not considered shorter CWI protocols, similar to that used in recovery and wellness ...",no,methods_protocol,methods_protocol
doi:10.1371/journal.pone.0332885,10.1371/journal.pone.0332885,Analysis of spatial heterogeneity in Xi'an's urban heat island effect using multi-source data fusion.,2025,PloS one,thermal,0,thermal,mood,positive,,medium,abstract_only_reduced_table,abstract_only,"In the context of global climate change, this study aims to investigate the spatial heterogeneity and driving mechanisms of the urban heat island (UHI) effect within Xi'an's second ring road area. We constructed a novel multi-source data fusion framework that integrates high-resolution remote sensing imagery, detail...",no,methods_protocol,conceptual_framework
doi:10.1371/journal.pone.0338108,10.1371/journal.pone.0338108,The nose knows: Thermal responses to active psychological stressors.,2026,PloS one,affect,0,thermal,stress,negative,,medium,abstract_only_reduced_table,abstract_only,"Stress is an essential component of our lives. It helps to us to keep alert, stay motivated, and adapt to new and challenging situations. However, it is also a leading cause of poor mental wellbeing. Investigating psychological stress is essential to improving both the physical and mental health of the general popul...",no,methods_protocol,methods_protocol
doi:10.1097/FBP.0000000000000866,10.1097/FBP.0000000000000866,Limited effects of zolmitriptan maintenance on the pharmacodynamic profile of intravenous cocaine in humans.,2026,Behavioural pharmacology,cognition,0,thermal,cognition,mixed,,medium,abstract_only_reduced_table,abstract_only,"Serotonin 1b (5-HT 1b ) receptors play an important role in preclinical cocaine effects. Zolmitriptan, a commercially available 5-HT 1b / 1d agonist migraine medication, selectively attenuates the reinforcing and other abuse-related effects of cocaine. This project sought to advance these promising preclinical findi...",no,methods_protocol,empirical_v2
