paper_id,claim_id,claim_type,node_id,statement,ae_confidence,node_type,article_type_family,template_version,environment_variable,outcome_variable,environment_candidates,outcome_candidates,environment_canonical_id,outcome_canonical_id,environment_resolution_confidence,outcome_resolution_confidence,environment_resolution_match_type,outcome_resolution_match_type,environment_node_id,outcome_node_id,effect_direction,edge_id,edge_type,source_node_id,target_node_id,weight,evidence_basis,needs_verification,justification,relation_type_hint,relation_strength_hint,relation_provenance_hint,argument_relation_type,causal_level,argument_scheme,theory_name,target_paper_id,citation_text,citation_doi,citation_context,citation_match_confidence,citation_match_type,source_section,source_page_start,source_page_end,source_quote,source_quote_hash,source_table_id,source_table_row,quality_flag,source,evidence_level,provenance_tier,requires_pdf_confirmation,source_zone,extraction_difficulty,processed_at,article_type_needs_review
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C001,finding,doi:10.3389/fpsyg.2020.560833-TBL-C001,"col_1: system was programmed to synchronize with the different nature Reichheld,; col_2: 2003). Finally, respondents were given the option of",0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col system was,col system was,['col system was'],['col system was'],UNRESOLVED:environment:col_system_was,UNRESOLVED:outcome:col_system_was,0.0,0.0,unresolved,unresolved,env.unresolved.col_system_was,out.unresolved.col_system_was,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C001,COHERENCE_SUPPORT,env.unresolved.col_system_was,out.unresolved.col_system_was,0.4,explicit_statement,false,"col_1: system was programmed to synchronize with the different nature Reichheld,; col_2: 2003). Finally, respondents were given the option of",explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,"col_1: system was programmed to synchronize with the different nature Reichheld,; col_2: 2003). Finally, respondents were given the option of",4d8fe0bc357f70ba,TBL-20260214155804-001,0,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.268424+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C002,finding,doi:10.3389/fpsyg.2020.560833-TBL-C002,col_1: 14-day period completed the survey (out of a total of; col_2: 562,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col day period,col day period,['col day period'],['col day period'],UNRESOLVED:environment:col_day_period,UNRESOLVED:outcome:col_day_period,0.0,0.0,unresolved,unresolved,env.unresolved.col_day_period,out.unresolved.col_day_period,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C002,COHERENCE_SUPPORT,env.unresolved.col_day_period,out.unresolved.col_day_period,0.4,explicit_statement,false,col_1: 14-day period completed the survey (out of a total of; col_2: 562,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,col_1: 14-day period completed the survey (out of a total of; col_2: 562,d0845f19d7bd404b,TBL-20260214155804-001,1,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.364548+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C005,finding,doi:10.3389/fpsyg.2020.560833-TBL-C005,"col_1: and managed; col_2: 6,690 COVID-positive inpatients, with 1,034 of",0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col managed col,col managed col,['col managed col'],['col managed col'],UNRESOLVED:environment:col_managed_col,UNRESOLVED:outcome:col_managed_col,0.0,0.0,unresolved,unresolved,env.unresolved.col_managed_col,out.unresolved.col_managed_col,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C005,COHERENCE_SUPPORT,env.unresolved.col_managed_col,out.unresolved.col_managed_col,0.4,explicit_statement,false,"col_1: and managed; col_2: 6,690 COVID-positive inpatients, with 1,034 of",explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,"col_1: and managed; col_2: 6,690 COVID-positive inpatients, with 1,034 of",3fc8c54e04ff2df6,TBL-20260214155804-002,2,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.459928+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C006,finding,doi:10.3389/fpsyg.2020.560833-TBL-C006,"col_1: staff admitting more than; col_2: 600 COVID-positive cases daily, and",0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col staff admitting,col staff admitting,['col staff admitting'],['col staff admitting'],UNRESOLVED:environment:col_staff_admitting,UNRESOLVED:outcome:col_staff_admitting,0.0,0.0,unresolved,unresolved,env.unresolved.col_staff_admitting,out.unresolved.col_staff_admitting,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C006,COHERENCE_SUPPORT,env.unresolved.col_staff_admitting,out.unresolved.col_staff_admitting,0.4,explicit_statement,false,"col_1: staff admitting more than; col_2: 600 COVID-positive cases daily, and",explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,"col_1: staff admitting more than; col_2: 600 COVID-positive cases daily, and",1b345597d2f706dd,TBL-20260214155804-002,3,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.572289+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C007,finding,doi:10.3389/fpsyg.2020.560833-TBL-C007,col_1: ventilator utilization was at nearly; col_2: 70% of the,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col ventilator utilization,col ventilator utilization,['col ventilator utilization'],['col ventilator utilization'],UNRESOLVED:environment:col_ventilator_utilization,UNRESOLVED:outcome:col_ventilator_utilization,0.0,0.0,unresolved,unresolved,env.unresolved.col_ventilator_utilization,out.unresolved.col_ventilator_utilization,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C007,COHERENCE_SUPPORT,env.unresolved.col_ventilator_utilization,out.unresolved.col_ventilator_utilization,0.4,explicit_statement,false,col_1: ventilator utilization was at nearly; col_2: 70% of the,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,col_1: ventilator utilization was at nearly; col_2: 70% of the,c90b3a1de0a3d5ce,TBL-20260214155804-002,4,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.717497+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C012,finding,doi:10.3389/fpsyg.2020.560833-TBL-C012,col_1: ventilator utilization was at nearly; col_2: 70% of the hospital’s capacity.,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col ventilator utilization,col ventilator utilization,['col ventilator utilization'],['col ventilator utilization'],UNRESOLVED:environment:col_ventilator_utilization,UNRESOLVED:outcome:col_ventilator_utilization,0.0,0.0,unresolved,unresolved,env.unresolved.col_ventilator_utilization,out.unresolved.col_ventilator_utilization,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C012,COHERENCE_SUPPORT,env.unresolved.col_ventilator_utilization,out.unresolved.col_ventilator_utilization,0.4,explicit_statement,false,col_1: ventilator utilization was at nearly; col_2: 70% of the hospital’s capacity.,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,col_1: ventilator utilization was at nearly; col_2: 70% of the hospital’s capacity.,07dc2aad08378db1,TBL-20260214155804-003,4,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:04.863756+00:00,
doi:10.3389/fpsyg.2020.560833,doi:10.3389/fpsyg.2020.560833-TBL-C018,finding,doi:10.3389/fpsyg.2020.560833-TBL-C018,col_1: Frontiers in Psychology; col_2: www.frontiersin.org 3 November 2020; col_3: Volume 11; col_4: Article 560833,0.6,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_table_extractor,col frontiers psychology,col frontiers psychology,['col frontiers psychology'],['col frontiers psychology'],UNRESOLVED:environment:col_frontiers_psychology,UNRESOLVED:outcome:col_frontiers_psychology,0.0,0.0,unresolved,unresolved,env.unresolved.col_frontiers_psychology,out.unresolved.col_frontiers_psychology,positive,edge:doi:10.3389/fpsyg.2020.560833-TBL-C018,COHERENCE_SUPPORT,env.unresolved.col_frontiers_psychology,out.unresolved.col_frontiers_psychology,0.4,explicit_statement,false,col_1: Frontiers in Psychology; col_2: www.frontiersin.org 3 November 2020; col_3: Volume 11; col_4: Article 560833,explains,0.4,argument:default_contextual,table_claim,association,causal_argument,,,,,,,,table,3,3,col_1: Frontiers in Psychology; col_2: www.frontiersin.org 3 November 2020; col_3: Volume 11; col_4: Article 560833,5090ecea2e4ca9c8,TBL-20260214155804-005,1,ok,codex_pdfplumber,pdf_table_extracted,pdf_confirmed,no,table,moderate,2026-02-14T14:58:05.000831+00:00,
doi:10.3389/fpsyg.2020.560833,disc:doi:10.3389/fpsyg.2020.560833:theory:ART:e863a108e8,theory_link,disc:doi:10.3389/fpsyg.2020.560833:theory:ART:e863a108e8,The pink shading represents the part of the room that is visible,0.62,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_discourse_scan,,,,,,,,,,,,,,edge:disc:doi:10.3389/fpsyg.2020.560833:theory:ART:e863a108e8,COHERENCE_SUPPORT,node:doi:10.3389/fpsyg.2020.560833:unknown,theory:art,0.4,implicit_connection,false,The pink shading represents the part of the room that is visible,explains,0.4,,cites,association,argument_from_expert_opinion,ART,,,,,,,results,3,3,The pink shading represents the part of the room that is visible,e863a108e8638392,,,ok,pdf_discourse_scan,pdf_discourse_extracted,pdf_confirmed,no,results,moderate,2026-02-14T14:58:05.660293+00:00,
doi:10.3389/fpsyg.2020.560833,disc:doi:10.3389/fpsyg.2020.560833:theory:ART:87cb55badd,theory_link,disc:doi:10.3389/fpsyg.2020.560833:theory:ART:87cb55badd,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,0.62,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_discourse_scan,,,,,,,,,,,,,,edge:disc:doi:10.3389/fpsyg.2020.560833:theory:ART:87cb55badd,COHERENCE_SUPPORT,node:doi:10.3389/fpsyg.2020.560833:unknown,theory:art,0.4,implicit_connection,false,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,explains,0.4,,cites,association,argument_from_expert_opinion,ART,,,,,,,results,3,3,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,87cb55badd349409,,,ok,pdf_discourse_scan,pdf_discourse_extracted,pdf_confirmed,no,results,moderate,2026-02-14T14:58:05.660412+00:00,
doi:10.3389/fpsyg.2020.560833,disc:doi:10.3389/fpsyg.2020.560833:xref:87cb55badd:november_2020,inter_article_relation,disc:doi:10.3389/fpsyg.2020.560833:xref:87cb55badd:november_2020,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,0.45,EMPIRICAL_FINDING,unknown,unknown_with_reason:runtime_discourse_scan,,,,,,,,,,,,,,edge:disc:doi:10.3389/fpsyg.2020.560833:xref:87cb55badd:november_2020,ATTRIBUTES_FINDING,node:doi:10.3389/fpsyg.2020.560833:unknown,citation:november_2020,0.45,reviewer_interpretation,true,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,explains,0.35,,mentions,association,argument_from_expert_opinion,,,November 2020,,,0.0,unresolved,results,3,3,Frontiers in Psychology | www.frontiersin.org 3 November 2020 | Volume 11 | Article 560833,87cb55badd349409,,,needs_citation_resolution,pdf_discourse_scan,pdf_discourse_extracted,pdf_confirmed,no,results,moderate,2026-02-14T14:58:05.678789+00:00,
