paper_id,title,topic_bucket,table_id,row_index,claim_id,claim_type,content,confidence,citation,intervention,control,outcome,sample_size,effect_size,effect_size_type,ci_lower,ci_upper,p_value,source,article_type,template_family
doi:10.3390/ijerph20021082,Effects of Acoustic Environment Types on Stress Relief in Urban Parks,acoustic,TBL-20260213154735-058,0,doi:10.3390/ijerph20021082-TBL-C001,finding,": ment
itha
alof
tion
ment",0.6,,,,,,,,,,,codex_pdfplumber,cross_sectional_survey,theoretical
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,0,doi:10.1038/s41598-019-46099-7-TBL-C001,finding,Stress: Urban; : Forest; Recovery: Urban,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,1,doi:10.1038/s41598-019-46099-7-TBL-C002,finding,Stress: M = 1.139; : M = 0.3538; Recovery: M = 1.0468,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.1038/s41598-019-46099-7,Reduction of physiological stress by urban green space in a multisensory virtual experiment,acoustic,TBL-20260213154853-138,2,doi:10.1038/s41598-019-46099-7-TBL-C003,finding,Stress: SD = 4.0160; : SD = 2.4693; Recovery: SD = 4.3801,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-164,0,doi:10.3390/ijerph10041439-TBL-C001,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-164,1,doi:10.3390/ijerph10041439-TBL-C002,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-164,2,doi:10.3390/ijerph10041439-TBL-C003,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-164,3,doi:10.3390/ijerph10041439-TBL-C004,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-164,4,doi:10.3390/ijerph10041439-TBL-C005,methodology,: Unknown study,0.9,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.3390/ijerph10041439,How Pleasant Sounds Promote and Annoying Sounds Impede Health: A Cognitive Approach,acoustic,TBL-20260213154918-165,0,doi:10.3390/ijerph10041439-TBL-C006,finding,"Indicators
of insecurity: Missing
indicators
of safety; Stimulating
and safe: Ample
indications
of safety",0.6,,,,,,,,,,,codex_pdfplumber,unknown,theoretical
doi:10.4305/metu.jfa.2010.2.17,The Selection of Materials to Match Human Sensory Adaptation and Aesthetic Expectation in Industrial Design,cognition,TBL-20260213154923-168,0,doi:10.4305/metu.jfa.2010.2.17-TBL-C001,finding,10.2.17: 301,0.6,,,,,,,,,,,codex_pdfplumber,rct_interventional,theoretical
