paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
sha256:7d6ef3515eb7,10.29121/shodhkosh.v6.i2.2025.6654,B  Beyond The Visual: The Impacts,2024,ShodhKosh: Journal of Visual and Performing Arts,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The paper will explore the relations between women centered law and the rights of men by the use of a new field of visual law, which applies visual aids to understand the complexity of legal formations in the shape of diagrams, flow-charts, and data maps. Although past developments in protective laws against...",yes,unknown,conceptual_framework
sha256:798c26aa8c81,10.33140/amlai.05.02.05,A  Complexity As A Feature Of Inte,2019,Advances in Machine Learning &amp; Artificial Intelligence,other,0,unspecified_environment,productivity,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,<jats:p>This paper presents a prototype-based soft feature selection package (Sofes) wrapped around the highly interpretable Matrix Robust Soft Learning Vector Quantization (MRSLVQ) and the Local MRSLVQ algorithms. The process of assessing feature relevance with Sofes aligns with a comparable approach established in...,yes,unknown,conceptual_framework
sha256:70a5a275d9cf,10.1024/0040-5930.57.2.71,"C , & Wirz Justice, A  Light, He",2010,Therapeutische Umschau,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,<jats:p> Empfehlungen für die Durchführung einer Lichttherapie Prävalenz: die Saisonal Abhängige Depression (SAD) betrifft etwa 2% der Erwachsenen-Population in Mitteleuropa (Frauen 4¥ häufiger als Männer). Diagnose: regelmäßige Wiederkehr von depressiven Episoden vom Ausmaß einer Major Depression in den Wintermonat...,yes,unknown,unknown
sha256:7bb5a66126b1,10.7717/peerj.14230,Q  Effects Of Sound Masking Noise On,2024,PeerJ,acoustic,0,noise,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"<jats:p>An increasing level of anthropogenic underwater noise (shipping, drilling, sonar use, <jats:italic>etc</jats:italic>.) impairs acoustic orientation and communication in fish by hindering signal transmission or detection. Different noise regimes can reduce the ability to detect sounds of conspecifics due to a...",yes,unknown,unknown
doi:10.17509/interlude.v3i2.71595,10.17509/interlude.v3i2.71595,Distortions in sound: Bridging acoustics and psychoacoustics in auditory perception,2024,"Interlude: Indonesian Journal of Music Research, Development, and Technology",acoustic,0,noise,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The field of acoustics encompasses the examination of sound, encompassing both its physical characteristics and the way in which humans perceive auditory input. Acoustics is the study of how sound waves are created and spread physically, while psychoacoustics connects these physical characteristics to our au...",yes,unknown,unknown
doi:10.32920/ryerson.14655804.v1,10.32920/ryerson.14655804.v1,"Light and Shadow Expression:  Contrast, Luminosity, Porosity",2021,,light,0,daylight,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>The pervasive use of glass curtain wall and artificial illumination has saturated contemporary architecture with light, depriving users of the potential experiences achieved through the articulation and interplay of light and shadow. The evaluation of light through quantifiable metric design evaluation denie...",yes,unknown,unknown
doi:10.25039/x48.2021.op60,10.25039/x48.2021.op60,VIRTUAL REALITY: A PROMISING APPROACH FOR LIGHTING RESEARCH,2021,Proceedings of the Conference CIE 2021,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"<jats:p>Virtual Reality (VR) seems a promising tool in lighting field, both for design and research applications. Despite several studies have been conducted on this topic, the opinions about the actual advantages of VR are conflicting. It is not clear if VR software are able to properly simulate spatial light distr...",yes,unknown,thought_piece
doi:10.38027/iccaua2024in0317,10.38027/iccaua2024in0317,A Critical Enquiry of Material Ageing in Interior Architecture,2024,Proceedings of  the International Conference of Contemporary Affairs in Architecture and Urbanism-ICCAUA,air,0,daylight,mood,unknown,,low,abstract_only_reduced_table,abstract_only,<jats:p>Psychology and architecture are seen in intersections whenever the old buildings and spaces are repurposed. Thedirect connection seen is through the materiality of those spaces. This raises the curiosity to explore theamalgamation of a material's functionality and aesthetic values with its purpose and enduri...,yes,unknown,thought_piece
doi:10.1186/s41235-020-00243-4,10.1186/s41235-020-00243-4,Senses of place: architectural design for the multisensory mind,2020,Cognitive Research: Principles and Implications,thermal,0,daylight,attention,positive,,medium,abstract_only_reduced_table,abstract_only,"<jats:title>Abstract</jats:title><jats:p>Traditionally, architectural practice has been dominated by the eye/sight. In recent decades, though, architects and designers have increasingly started to consider the other senses, namely sound, touch (including proprioception, kinesthesis, and the vestibular sense), smell,...",yes,unknown,unknown
doi:10.1167/jov.20.11.897,10.1167/jov.20.11.897,The simple and the beautiful: An aesthetic preference for medially complex stimuli,2020,-,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The study found that moderately complex shapes were preferred in various room settings, suggesting a quadratic relationship between aesthetics and visual complexity. The research involved subjects choosing shapes in different rooms, but details on emotional state and preference are not explicitly mentioned. The meth...",no,unknown,unknown
doi:10.2466/24.27.pms.112.2.509-524,10.2466/24.27.pms.112.2.509-524,Effects of Interior Colors on Mood and Preference: Comparisons of Two Living Rooms,2011,Perceptual and Motor Skills,affect,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects judgments of happiness and vividness, but the study primarily focuses on color effects, using digital images of imaginary rooms with fixed spatial characteristics.",no,unknown,unknown
doi:10.1093/oso/9780197513620.003.0043,10.1093/oso/9780197513620.003.0043,The Neuroaesthetics of Architecture,2021,"Brain, Beauty, and Art",affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Curvilinear rooms are perceived as more beautiful than rectilinear rooms, with fMRI data showing activation of the anterior cingulate cortex, indicating an emotional basis for this preference.",no,unknown,unknown
doi:10.1080/00038628.2018.1558393,10.1080/00038628.2018.1558393,A comparison between preference judgments of curvature and sharpness in architectural façades,2018,Architectural Science Review,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Curvature in architectural façades significantly influences preference, with curved façades being more preferred than sharp-angled or rectilinear ones, as supported by multiple methodologies and analyses.",no,unknown,unknown
doi:10.1146/annurev-psych-120710-100504,10.1146/annurev-psych-120710-100504,Visual aesthetics and human preference.,2013,Annual Review of Psychology,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The shape of a room affects judgments of beauty through spatial structure preferences, but specific evidence on emotional state and preference is not detailed in the abstract.",no,unknown,unknown
doi:10.1073/pnas.1301227110,10.1073/pnas.1301227110,Impact of contour on aesthetic judgments and approach-avoidance decisions in architecture,2013,Proceedings of the National Academy of Sciences of the United States of America,affect,0,unspecified_environment,mood,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"On average, we urban dwellers spend about 90\% of our time indoors, and share the intuition that the physical features of the places we live and work in influence how we feel and act. However, there is surprisingly little research on how architecture impacts behavior, much less on how it influences brain function. T...",yes,unknown,unknown
doi:10.1080/00038628.2021.1940827,10.1080/00038628.2021.1940827,A neurocognitive study of the emotional impact of geometrical criteria of architectural space,2021,-,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The paper presents a new approach to examining the connection between human emotions and architectural space, focusing on the aspect of geometry. It examines how emotional reactions to geometrical manipulations within architectural space can be empirically measured and quantified. By using physiological sensors, suc...",yes,unknown,mixed_methods
doi:10.3389/fnins.2020.00251,10.3389/fnins.2020.00251,Deep Learning Convolutional Neural Networks Discriminate Adult ADHD From Healthy Individuals on the Basis of Event-Related Spectral EEG,2020,Frontiers in Neuroscience,light,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"Attention deficit hyperactivity disorder (ADHD) is a heterogeneous neurodevelopmental disorder that affects 5% of the pediatric and adult population worldwide. The diagnosis remains essentially clinical, based on history and exam, with no available biomarkers. In this paper, we describe a convolutional neural networ...",no,unknown,unknown
doi:10.15171/hpp.2019.07,10.15171/hpp.2019.07,The impact of indoor air temperature on the executive functions of human brain and the physiological responses of body,2019,Health Promotion Perspectives,thermal,0,thermal,cognition,mixed,,medium,abstract_only_reduced_table,abstract_only,"Background: This study aimed to investigate the effect size (ES) of air temperature on the executive functions of human brain and body physiological responses. Methods: In this empirical study, the participants included 35 male students who were exposed to 4 air temperature conditions of 18°C, 22°C, 26°C and 30°C in...",no,unknown,unknown
doi:10.1080/10409289.2020.1716287,10.1080/10409289.2020.1716287,"Examining Associations between the Home Literacy Environment, Executive Function, and School Readiness",2020,,light,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"ABSTRACT Research Findings: The purpose of the current study was to investigate direct associations between the home literacy environment (HLE) and preschool children’s executive function (EF), academic readiness, and social-emotional competence and to explore the indirect association between the HLE and academic an...",no,unknown,unknown
doi:10.3389/fpsyg.2024.1443419,10.3389/fpsyg.2024.1443419,The influence of home environment on 2-year-old Chinese children's language development: the mediating effect of executive function and the moderating effect of temperament,2024,Frontiers in Psychology,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Prior research highlighted the effect of home environment on the language development of young children. Recent research has mainly discussed the moderating effect of personality traits like temperament. Nevertheless, the precise mechanism about the relationship between home environments to children's language devel...",no,unknown,theoretical
doi:10.1080/00221325.2023.2223653,10.1080/00221325.2023.2223653,Does the Frontal Brain Electrical Activity Mediate the Effect of Home Executive Function Environment and Screen Time on Children’s Executive Function?,2023,The Journal of Genetic Psychology,cognition,0,unspecified_environment,cognition,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Abstract Executive functions play an important role in various developmental aspects of children; however, environmental factors influencing individual differences in children’s executive function and their neural substructures, particularly in middle childhood, are rarely investigated. Therefore, the current study ...",no,unknown,unknown
doi:10.23731/cyrm-2020-0010,10.23731/cyrm-2020-0010,"CERN Yellow Reports: Monographs, Vol. 10 (2020): High-Luminosity Large Hadron Collider (HL-LHC): Technical design report",2020,,thermal,0,thermal,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"The Large Hadron Collider (LHC) is one of the largest scientific instruments ever built. Since opening up anew energy frontier for exploration in 2010, it has gathered a global user community of about 9000 scientists working in fundamental particle physics and the physics of hadronic matter at extreme temperature an...",no,unknown,unknown
doi:10.1002/alz70860_100563,10.1002/alz70860_100563,Young Adult Cognitive Reserve Moderates Neighborhood Disadvantage Effects on Later Life Executive Function: A Nationwide U.S. Study,2025,Alzheimer's & Dementia,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Neighborhood disadvantage captures the socioeconomic context of an individual's environment and is associated with poorer cognition and increased vulnerability to MCI and AD independently of individual‐level socioeconomic status (SES). Studies of neighborhood disadvantage and cognition in older adults are often cons...,no,unknown,unknown
doi:10.3390/s131114438,10.3390/s131114438,Integration of Utilities Infrastructures in a Future Internet Enabled Smart City Framework,2013,Sensors,light,0,daylight,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Improving efficiency of city services and facilitating a more sustainable development of cities are the main drivers of the smart city concept. Information and Communication Technologies (ICT) play a crucial role in making cities smarter, more accessible and more open. In this paper we present a novel architecture e...",no,unknown,conceptual_framework
doi:10.1111/desc.13355,10.1111/desc.13355,An Ecological View of Executive Function in Young Children: Variation in and Predictors of Executive Function Skills Over One School Year.,2022,Developmental Science,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"For many years, researchers studied EFs in the laboratory with a focus on understanding an individual child's development and brain processes in a controlled environment. Building on this foundational research, there is a growing interest in EFs in the context of a child's dynamic, social world and the contextual an...",no,unknown,unknown
doi:10.1353/asp.2024.a927099,10.1353/asp.2024.a927099,U.S.-Japan-Australia Trilateralism: The Inner Core of Regional Order Building and Deterrence in the Indo-Pacific,2024,Asia Policy,other,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"executive summary:This article examines the state of security cooperation between the U.S., Japan, and Australia through the Trilateral Strategic Dialogue (TSD), and finds that even though the TSD maintains a relatively low profile, this minilateral alignment effectively forms the inner core of regional order buildi...",no,unknown,unknown
doi:10.3390/buildings15071092,10.3390/buildings15071092,Investigating the Use of Luminous Capsule Bubble Tiles in Smart Structures to Improve Reflexology,2025,Buildings,thermal,0,thermal,productivity,positive,,medium,abstract_only_reduced_table,abstract_only,"The smart capsule bubble tile (SCBT) is an innovative flooring solution that combines acupressure-based reflexology with electromagnetic wave stimulation to enhance well-being. Designed for smart buildings and healthcare applications, SCBT integrates traditional construction techniques with advanced healing technolo...",no,unknown,theoretical
doi:10.1353/log.0.0073,10.1353/log.0.0073,Denise Levertov: Poet and Pilgrim,2010,logos,air,0,air_quality,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,William Butler Yeats posed the dilemma: one must choose the perfection of the life or of the work. Denise Levertov offers a refutation of that choice. As   the world she responded with full engagement to her historical environment. Her poetry of pro- test was written  response to the major political issue of her tim...,no,unknown,unknown
