paper_id,source_table_id,status,reason,rows_total,suspect_table,low_info_source_rows,top_reasons,queued_at
doi:10.1002/cne.920180503,TBL-20260216225733-001,queued_table_remake,high_low_info_or_table_suspect_rate,25,20,20,"low_statement_source_overlap:25,effect_unknown:25,translation_status:untranslatable_noise:25,source_row_low_information:20",2026-02-16T23:35:35.982923+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-003,queued_table_remake,high_low_info_or_table_suspect_rate,21,11,11,"effect_unknown:21,translation_status:untranslatable_noise:21,low_statement_source_overlap:20,source_row_low_information:11",2026-02-16T23:35:35.982933+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-007,queued_table_remake,high_low_info_or_table_suspect_rate,23,19,19,"low_statement_source_overlap:23,effect_unknown:23,translation_status:untranslatable_noise:23,source_row_low_information:19",2026-02-16T23:35:35.982940+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-009,queued_table_remake,high_low_info_or_table_suspect_rate,14,9,9,"low_statement_source_overlap:14,effect_unknown:14,translation_status:untranslatable_noise:14,source_row_low_information:9",2026-02-16T23:35:35.982948+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-013,queued_table_remake,high_low_info_or_table_suspect_rate,23,21,21,"low_statement_source_overlap:23,effect_unknown:23,translation_status:untranslatable_noise:23,source_row_low_information:21",2026-02-16T23:35:35.982954+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-014,queued_table_remake,high_low_info_or_table_suspect_rate,21,18,18,"low_statement_source_overlap:21,effect_unknown:21,translation_status:untranslatable_noise:21,source_row_low_information:18",2026-02-16T23:35:35.982957+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-015,queued_table_remake,high_low_info_or_table_suspect_rate,11,5,5,"low_statement_source_overlap:11,effect_unknown:11,translation_status:untranslatable_noise:11,source_row_low_information:5",2026-02-16T23:35:35.982961+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-016,queued_table_remake,high_low_info_or_table_suspect_rate,25,20,20,"low_statement_source_overlap:25,effect_unknown:25,translation_status:untranslatable_noise:25,source_row_low_information:20,outcome_unresolved:1",2026-02-16T23:35:35.982965+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-017,queued_table_remake,high_low_info_or_table_suspect_rate,1,1,1,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1",2026-02-16T23:35:35.982969+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-020,queued_table_remake,high_low_info_or_table_suspect_rate,24,22,22,"low_statement_source_overlap:24,effect_unknown:24,translation_status:untranslatable_noise:24,source_row_low_information:22",2026-02-16T23:35:35.982978+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-022,queued_table_remake,high_low_info_or_table_suspect_rate,2,1,1,"low_statement_source_overlap:2,effect_unknown:2,translation_status:untranslatable_noise:2,source_row_low_information:1",2026-02-16T23:35:35.982984+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-028,queued_table_remake,high_low_info_or_table_suspect_rate,14,7,7,"low_statement_source_overlap:14,effect_unknown:14,translation_status:untranslatable_noise:14,source_row_low_information:7",2026-02-16T23:35:35.982992+00:00
doi:10.1002/cne.920180503,TBL-20260216225733-029,queued_table_remake,high_low_info_or_table_suspect_rate,1,1,1,"source_row_low_information:1,low_statement_source_overlap:1,effect_unknown:1,translation_status:untranslatable_noise:1",2026-02-16T23:35:35.982996+00:00
doi:10.1002/hbm.24616,TBL-20260216225749-002,queued_table_remake,high_low_info_or_table_suspect_rate,1,1,1,"source_row_low_information:1,low_statement_source_overlap:1,outcome_unresolved:1,effect_unknown:1,translation_status:untranslatable_noise:1",2026-02-16T23:35:35.983000+00:00
doi:10.1002/hbm.24616,TBL-20260216225749-003,queued_table_remake,high_low_info_or_table_suspect_rate,2,2,2,"source_row_low_information:2,low_statement_source_overlap:2,outcome_unresolved:2,effect_unknown:2,translation_status:untranslatable_noise:2",2026-02-16T23:35:35.983003+00:00
