paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1037/dev0001919,10.1037/dev0001919,Maternal education and prenatal smoking associations with adolescent executive function are substantially confounded by genetics.,2025,Developmental Psychology,cognition,0,unspecified_environment,cognition,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Twin studies have suggested extremely high estimates of heritability for adolescent executive function, with no substantial contributions from shared environment. However, developmental psychology research has found significant correlations between executive function outcomes and elements of the environment that wou...",no,observational,observational_field
doi:10.2196/56951,10.2196/56951,"Evaluating the Impact of a Daylight-Simulating Luminaire on Mood, Agitation, Rest-Activity Patterns, and Social Well-Being Parameters in a Care Home for People With Dementia: Cohort Study.",2024,JMIR mHealth and uHealth,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Living with a diagnosis of dementia can involve managing certain behavioral and psychological symptoms. Alongside cognitive decline, this cohort expresses a suppression in melatonin production which can negatively influence their alignment of sleep or wake timings with the 24 hour day and night cycle. As a result, t...",no,observational,observational_field
doi:10.1080/09658211.2021.1904996,10.1080/09658211.2021.1904996,An ecologically valid examination of event-based and time-based prospective memory using immersive virtual reality: the effects of delay and task type on everyday prospective memory,2021,Memory,cognition,0,unspecified_environment,cognition,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT Recent research has focused on assessing either event- or time-based prospective memory (PM) using laboratory tasks. Yet, the findings pertaining to PM performance on laboratory tasks are often inconsistent with the findings on corresponding naturalistic experiments. Ecologically valid neuropsychological ta...",no,methods_protocol,observational_field
doi:10.1001/jamanetworkopen.2023.11543,10.1001/jamanetworkopen.2023.11543,Association of Sex With Neurobehavioral Markers of Executive Function in 2-Year-Olds at High and Low Likelihood of Autism,2023,JAMA Network Open,cognition,0,unspecified_environment,cognition,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Key Points Question Are executive function (EF) differences early in development associated with sex, familial likelihood for autism, and alterations in brain volume? Findings In this cohort study of 165 children aged 24 months at high and low familial likelihood for autism, girls and boys at high likelihood had sig...",no,observational,observational_field
doi:10.2196/82465,10.2196/82465,Multimodal Sleep Measurement and Alignment Analysis in Outpatients With Major Depressive Episode: Observational Study.,2025,JMIR mHealth and uHealth,other,0,unspecified_environment,sleep,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Sleep is essential for overall health and plays a critical role in the diagnosis of psychiatric disorders. Although polysomnography remains the gold standard for measuring sleep, its reliance on laboratory settings limits its feasibility for long-term, naturalistic monitoring, particularly for patients with mental d...",no,observational,observational_field
doi:10.1007/s00266-025-04690-6,10.1007/s00266-025-04690-6,Response to Letter to the Editor from Sunaina and Mayilvaganan: Enhanced Recovery After Surgery (ERAS) Pathways for Aesthetic Breast Surgery: A Prospective Cohort Study on Patient-Reported Outcomes,2025,Aesthetic Plastic Surgery,restoration,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Level of Evidence V This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266.",no,observational,observational_field
doi:10.1038/s41598-025-10206-8,10.1038/s41598-025-10206-8,Acute effects of psilocybin on the dynamics of gaze fixations during visual aesthetic perception,2023,bioRxiv,cognition,0,unspecified_environment,attention,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Rationale Serotonergic psychedelics are remarkable for their capacity to induce variable yet reproducible modifications to human consciousness The most salient acute effects of these compounds include perceptual alterations, predominantly in the visual domain, yet to date these alterations have been mostly documente...",no,unknown,observational_field
doi:10.3389/fnins.2025.1511366,10.3389/fnins.2025.1511366,Assessment of visual function under various lighting conditions in a cohort of active older drivers: dimensionality and principal metrics.,2025,Frontiers in neuroscience,light,0,daylight,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"While traditional driving ability evaluations typically assess visual acuity (VA) under photopic conditions, visual functions other than photopic VA also play a crucial role in driving. For older individuals, age-related vision change can impact driving abilities, particularly under mesopic lighting conditions with ...",no,observational,observational_field
doi:10.2196/58465,10.2196/58465,Visual Function and Driving Performance Under Different Lighting Conditions in Older Drivers: Preliminary Results From an Observational Study.,2024,JMIR formative research,light,0,daylight,productivity,unknown,,low,abstract_only_reduced_table,abstract_only,"Age-related vision changes significantly contribute to fatal crashes at night among older drivers. However, the effects of lighting conditions on age-related vision changes and associated driving performance remain unclear.",no,observational,observational_field
doi:10.1080/10400419.2024.2326343,10.1080/10400419.2024.2326343,Automatic Scoring of Metaphor Creativity with Large Language Models,2024,Creativity Research Journal,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"ABSTRACT Metaphor is crucial in human cognition and creativity, facilitating abstract thinking, analogical reasoning, and idea generation. Typically, human raters manually score the originality of responses to creative thinking tasks – a laborious and error-prone process. Previous research sought to remedy these ris...",no,unknown,observational_field
