paper_id,doi,title,year,venue,status,article_type_family,article_type_predicted_family,article_type_confidence,article_type_runner_up,article_type_margin,article_type_signals,article_type_diagnostics,type_review_flags,processed_at
doi:10.1002/ad.2630,10.1002/ad.2630,Designing for the Multisensory Mind,2020,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:40:29.634074+00:00
doi:10.1002/adfm.202008831,10.1002/adfm.202008831,Recent Advances and Opportunities of Active Materials for Haptic Technologies in Virtual and Augmented Reality - Yang - 2021 - Advanced Functional Materials - Wiley Online Library,,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:40:41.077049+00:00
doi:10.1002/cne.920180503,10.1002/cne.920180503,The relation of strength of stimulus to rapidity of habit‐formation,1908,Journal of Comparative Neurology and Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:40:53.046737+00:00
doi:10.1002/hbm.24616,10.1002/hbm.24616,The neural correlates of the awe experience: Reduced default mode network activity during feelings of awe,2019,,completed_pdf_extracted,unknown,thought_piece,0.4545,empirical_v2,0.5000,title_pattern:perspective,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T14:40:58.325030+00:00
doi:10.1002/joc.2120,10.1002/joc.2120,Effect of thermal adaptation on seasonal outdoor thermal comfort,2011,,completed_pdf_extracted,unknown,empirical_v2,0.5455,observational_field,1.5000,section:results,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence,2026-02-16T14:41:02.184771+00:00
doi:10.1002/mar.20709,10.1002/mar.20709,Store Atmospherics: A Multisensory Perspective,2014,,completed_pdf_extracted,unknown,narrative_review,0.4909,thought_piece,0.2000,title_pattern:(?<!systematic\s)review(?!\s+of\s+the\s+literature),downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:41:03.798620+00:00
doi:10.1006/jevp.1996.0015,10.1006/jevp.1996.0015,METHODOLOGICAL CONVERGENCE IN COGNITIVE MAPPING RESEARCH: INVESTIGATING CONFIGURATIONAL KNOWLEDGE,1996,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:41:48.942041+00:00
doi:10.1006/jevp.1999.0169,10.1006/jevp.1999.0169,"EXERCISED CONTROL, LIGHTING CHOICES, AND ENERGY USE: AN OFFICE SIMULATION EXPERIMENT",2000,Journal of Environmental Psychology,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:42:01.362844+00:00
doi:10.1006/jevp.2000.0186,10.1006/jevp.2000.0186,CONSENSUS IN LANDSCAPE PREFERENCE JUDGEMENTS,2001,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:42:05.853959+00:00
doi:10.1006/jevp.2001.0221,10.1006/jevp.2001.0221,PLACE ATTACHMENT: CONCEPTUAL AND EMPIRICAL QUESTIONS,2001,,completed_pdf_extracted,unknown,unknown,0.0000,theoretical,0.0000,,downgraded_to_unknown_low_confidence,classifier_flagged|low_confidence|low_margin,2026-02-16T14:42:10.507792+00:00
