paper_id,doi,title,year,venue,status,n_tables,n_claims,anchor_coverage,unresolved_environment_rate,unresolved_outcome_rate,theory_link_count,inter_article_relation_count,node_type_tag_rate,edge_type_tag_rate,quality_flags,processed_at
doi:10.1068/b33050,10.1068/b33050,From Space Syntax to Space Semantics: A Behaviorally and Perceptually Oriented Methodology for the Efficient Description of the Geometry and Topology of Environments,2008,,error_pdf_timeout,5,133,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T23:54:33.589491+00:00
doi:10.54864/planarch.1491955,10.54864/planarch.1491955,Integrating Nature into Academic Spaces: Biophilic Campus,2024,,error_pdf_timeout,47,207,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T23:55:48.600260+00:00
doi:10.1177/0013916589215001,10.1177/0013916589215001,Environmental Preference: A Comparison of Four Domains of Predictors,1989,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-14T23:55:49.085596+00:00
zotero:7UTCT4T2,,Dichotomic Reciprocity: The Practice of a More Intimate Biomimicry in Architectural Design,2021,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-14T23:55:51.072296+00:00
zotero:TR3IUBWZ,,Cognitive architecture: designing for how we respond to the built environment,2021,,completed_pdf_extracted,4,19,1.0000,0.8947,1.0000,0,0,1.0000,1.0000,high_unresolved_construct_rate|high_unresolved_environment_rate|high_unresolved_outcome_rate|insufficient_inter_article_relations|insufficient_theory_links|no_inter_article_relations|no_theory_links,2026-02-14T23:56:20.871608+00:00
doi:10.1184/r1/23538486.v1,10.1184/r1/23538486.v1,"Analyzing the Impact of Material, Formal, and Aesthetic Features on Stress Reactions Using Biophilic Patterns",2023,,error_pdf_timeout,11,154,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T23:57:44.176502+00:00
doi:10.1145/3676488,10.1145/3676488,An Examination of Ultrasound Mid-air Haptics for Enhanced Material and Temperature Perception in Virtual Environments,2024,,error_pdf_timeout,15,155,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-14T23:58:59.185141+00:00
doi:10.1016/j.visres.2013.11.004,10.1016/j.visres.2013.11.004,Visual perception of materials and their properties,2014,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-14T23:59:03.639501+00:00
doi:10.1016/s0378-7788(02)00005-1,10.1016/s0378-7788(02)00005-1,Thermal comfort in naturally ventilated buildings: revisions to ASHRAE Standard 55,2002,,completed_pdf_no_claims,0,0,0.0000,0.0000,0.0000,0,0,0.0000,1.0000,below_anchor_coverage_threshold|completed_pdf_no_claims|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|low_anchor_coverage|low_node_type_tag_rate|no_inter_article_relations|no_table_claims|no_tables_extracted|no_theory_links,2026-02-14T23:59:06.405905+00:00
doi:10.1007/s00226-021-01320-7,10.1007/s00226-021-01320-7,Effect of the degree of wood use on the visual psychological response of wooden indoor spaces,2021,,error_pdf_timeout,5,110,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:00:25.301658+00:00
doi:10.1371/journal.pone.0243259,10.1371/journal.pone.0243259,"Abrupt light transitions in illuminance and correlated colour temperature result in different temporal dynamics and interindividual variability for sensation, comfort and alertness",2021,,error_pdf_timeout,3,119,0.0000,0.0000,0.0000,0,0,0.0000,0.0000,below_anchor_coverage_threshold|insufficient_edge_type_tagging|insufficient_inter_article_relations|insufficient_node_type_tagging|insufficient_theory_links|worker_timeout,2026-02-15T00:01:40.309396+00:00
