paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.1037/dev0001919,10.1037/dev0001919,Maternal education and prenatal smoking associations with adolescent executive function are substantially confounded by genetics.,2025,Developmental Psychology,cognition,0,unspecified_environment,cognition,null,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Twin studies have suggested extremely high estimates of heritability for adolescent executive function, with no substantial contributions from shared environment. However, developmental psychology research has found significant correlations between executive function outcomes and elements of the environment that wou...",no,observational,observational_field
doi:10.1111/desc.13526,10.1111/desc.13526,"A challenge to the expected: Lack of longitudinal associations between the early caregiving environment, executive functions in toddlerhood, and self-regulation at 6 years.",2024,Developmental Science,cognition,0,unspecified_environment,cognition,null,108,low,abstract_only_reduced_table,abstract_only;n=108;weak_variable_resolution,"Previous research and theory indicate an importance of the quality of the early caregiving environment in the development of self-regulation. However, it is unclear how attachment security and maternal sensitivity, two related but distinct aspects of the early caregiving environment, may differentially predict self-...",no,observational,theoretical
doi:10.1080/15389588.2025.2493302,10.1080/15389588.2025.2493302,Psychological effect in tunnel group: A driving comfort study based on longitudinal spacing and brightness from expressway real vehicle test.,2025,Traffic Injury Prevention,thermal,0,unspecified_environment,unspecified_outcome,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"OBJECTIVE
This study investigates the mechanisms of driver psychological load changes in expressway tunnel groups. By analyzing the heart rate increase rate of participant drivers under different brightness differences and longitudinal spacing conditions, it explores variations in driving comfort and aims to enhance...",no,observational,theoretical
doi:10.2196/56951,10.2196/56951,"Evaluating the Impact of a Daylight-Simulating Luminaire on Mood, Agitation, Rest-Activity Patterns, and Social Well-Being Parameters in a Care Home for People With Dementia: Cohort Study.",2024,JMIR mHealth and uHealth,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"Living with a diagnosis of dementia can involve managing certain behavioral and psychological symptoms. Alongside cognitive decline, this cohort expresses a suppression in melatonin production which can negatively influence their alignment of sleep or wake timings with the 24 hour day and night cycle. As a result, t...",no,observational,observational_field
doi:10.1001/jamanetworkopen.2023.11543,10.1001/jamanetworkopen.2023.11543,Association of Sex With Neurobehavioral Markers of Executive Function in 2-Year-Olds at High and Low Likelihood of Autism,2023,JAMA Network Open,cognition,0,unspecified_environment,cognition,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Key Points Question Are executive function (EF) differences early in development associated with sex, familial likelihood for autism, and alterations in brain volume? Findings In this cohort study of 165 children aged 24 months at high and low familial likelihood for autism, girls and boys at high likelihood had sig...",no,observational,observational_field
doi:10.1038/s41598-025-91345-w,10.1038/s41598-025-91345-w,Electroencephalography-based psychological and physiological effects of winter virtual forest trail landscapes on youth.,2025,Scientific reports,affect,0,noise,mood,positive,22,medium,abstract_only_reduced_table,abstract_only;n=22,"In the context of escalating urbanization and modernization, urban residents are facing a progressive rise in stress levels, particularly during winter when severe cold and limited daylight hours intensify psychological strain and physical fatigue. Despite the acknowledged health benefits of brief exposure to natura...",no,observational,theoretical
doi:10.1109/TAFFC.2024.3474098,10.1109/TAFFC.2024.3474098,Measuring Affective State: Subject-Dependent and -Independent Prediction Based on Longitudinal Multimodal Sensing,2025,IEEE Transactions on Affective Computing,cognition,0,unspecified_environment,attention,negative,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,Current sensors offering passive and continuous monitoring of behavioral patterns potentially enable real-time affective state monitoring. Previous research on affective state prediction with multimodal sensing in daily life has shown only small-to-moderate effects. One reason for this limited success might be the l...,no,observational,conceptual_framework
doi:10.2196/82465,10.2196/82465,Multimodal Sleep Measurement and Alignment Analysis in Outpatients With Major Depressive Episode: Observational Study.,2025,JMIR mHealth and uHealth,other,0,unspecified_environment,sleep,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Sleep is essential for overall health and plays a critical role in the diagnosis of psychiatric disorders. Although polysomnography remains the gold standard for measuring sleep, its reliance on laboratory settings limits its feasibility for long-term, naturalistic monitoring, particularly for patients with mental d...",no,observational,observational_field
doi:10.1007/s00266-025-04690-6,10.1007/s00266-025-04690-6,Response to Letter to the Editor from Sunaina and Mayilvaganan: Enhanced Recovery After Surgery (ERAS) Pathways for Aesthetic Breast Surgery: A Prospective Cohort Study on Patient-Reported Outcomes,2025,Aesthetic Plastic Surgery,restoration,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Level of Evidence V This journal requires that authors assign a level of evidence to each article. For a full description of these Evidence-Based Medicine ratings, please refer to the Table of Contents or the online Instructions to Authors www.springer.com/00266.",no,observational,observational_field
doi:10.1167/jov.24.2.11,10.1167/jov.24.2.11,Ocular accommodation and wavelength: The effect of longitudinal chromatic aberration on the stimulus-response curve.,2024,Journal of vision,light,0,daylight,attention,mixed,,medium,abstract_only_reduced_table,abstract_only,"The longitudinal chromatic aberration (LCA) of the eye creates a chromatic blur on the retina that is an important cue for accommodation. Although this mechanism can work optimally in broadband illuminants such as daylight, it is not clear how the system responds to the narrowband illuminants used by many modern dis...",no,observational,theoretical
