variable_name,categories,repos,repo_count,kind_signals,source_count,example_sources
source,database_column;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor;Tagging_Contractor,6,arrow_lhs;arrow_rhs;attr;json_key;py_key;sql_col,152,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:313; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SPRINT_6_8_REVIEW_REQUEST_2026_01_19.md:24; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SPRINT_6_8_REVIEW_REQUEST_2026_01_19.md:25; Article_Eater_PostQuinean_v1/Post_Quinean Setup/IMPLEMENTATION_PLAN_PANEL_CONCERNS_2026_01_19.md:29; Article_Eater_PostQuinean_v1/Post_Quinean Setup/IMPLEMENTATION_PLAN_PANEL_CONCERNS_2026_01_19.md:30
updated_at,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor;Tagging_Contractor,6,attr;json_key;py_key;sql_col,37,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1016; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1016; Article_Eater_PostQuinean_v1/contracts/research_queue.contract.md:87; Article_Eater_PostQuinean_v1/db/sql/014_security.sql:12; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:95
value,database_column;enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor;Tagging_Contractor,6,arrow_rhs;attr;enum:VALUE;json_key;py_key;sql_col,157,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1051; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:197; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:289; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:127; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1051
abstract,database_column;enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor,5,arrow_lhs;attr;enum:ABSTRACT;json_key;py_key;sql_col,55,Article_Eater_PostQuinean_v1/Post_Quinean Setup/IMPLEMENTATION_PLAN_PANEL_HIGH_PRIORITY_2026_01_21.md:165; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/web_of_belief.py:129; Article_Eater_PostQuinean_v1/app/pdf_ingest.py:79; Article_Eater_PostQuinean_v1/app/routes/ingestion.py:38; Article_Eater_PostQuinean_v1/app/routes/ingestion.py:80
authors,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor,5,attr;json_key;py_key;sql_col,71,Article_Eater_PostQuinean_v1/app/routes/ingestion.py:72; Article_Eater_PostQuinean_v1/contracts/ae_af/examples/input_bundle_minimal/paper.json:6; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.paper.v1.schema.json:35; Article_Eater_PostQuinean_v1/contracts/voi_collector.contract.md:161; Article_Eater_PostQuinean_v1/db/sql/015_complete_schema.sql:33
confidence,database_column;enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,arrow_rhs;attr;enum:CONFIDENCE_ANALYSIS;enum:CONFIDENCE_REPORT;enum:CONFIDENCE_THRESHOLD;enum:HOW_CONFIDENT;json_key;py_key;sql_col,1020,Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:167; Article_Eater_PostQuinean_v1/Post_Quinean Setup/3/article_eater_contract_cli.py:115; Article_Eater_PostQuinean_v1/_archive/chatgpt_patch_20251231T060217Z/article_eater_contract_cli.py:98; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/image_feedback.v1.schema.json:76; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:115
created_at,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key;sql_col,131,Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:174; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1015; Article_Eater_PostQuinean_v1/Post_Quinean Setup/3/article_eater_contract_cli.py:122; Article_Eater_PostQuinean_v1/_archive/chatgpt_patch_20251231T060217Z/article_eater_contract_cli.py:105; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/extraction_to_web.py:1015
doi,database_column;enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor,5,attr;enum:DOI;json_key;py_key;sql_col,93,Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:85; Article_Eater_PostQuinean_v1/app/routes/ingestion.py:74; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:10; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:11; Article_Eater_PostQuinean_v1/config/table_must_include_seeds.txt:12
enum,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key,293,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:306; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:33; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:34; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:56; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:154
evidence,enum_value;extraction_output_field;template_causal_chain_ref,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,arrow_lhs;arrow_rhs;attr;enum:EVIDENCE;json_key;py_key,54,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1055; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:145; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SPRINT_4_REVIEW.md:28; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SYSTEM_ASSESSMENT_RESPONSES_2026_01_20.md:340; Article_Eater_PostQuinean_v1/Post_Quinean Setup/EXPERT_PANEL_SYSTEM_ASSESSMENT_RESPONSES_2026_01_20.md:51
format,extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key,600,Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:20; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/image_feedback.v1.schema.json:22; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/selection_log.v1.schema.json:28; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.audit_event.v1.schema.json:23; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.bridge.v1.schema.json:106
id,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key;sql_col,230,Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1039; Article_Eater_PostQuinean_v1/Post_Quinean Setup/2/extraction_to_web.py:1040; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:172; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:194; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:251
metadata,enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;enum:METADATA;json_key;py_key,692,Article_Eater_PostQuinean_v1/_review_package_2026_01_23/web_of_belief.py:130; Article_Eater_PostQuinean_v1/app/routes/ingestion.py:39; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.gap_report.v1.schema.json:109; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.query_request.v1.schema.json:123; Article_Eater_PostQuinean_v1/contracts/ae_af/schemas/ae.query_response.v1.schema.json:81
minimum,enum_value;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;enum:MINIMUM;json_key;py_key,214,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:129; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:159; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:221; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.rule.v1.schema.json:90; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:184
name,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN_graphical;Outcome_Contractor;Tagging_Contractor,5,attr;json_key;py_key;sql_col,4212,Article_Eater_PostQuinean_v1/AE_AF_Contract_Additions_v1_concatenated.txt:178; Article_Eater_PostQuinean_v1/Post_Quinean Setup/3/article_eater_contract_cli.py:126; Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:254; Article_Eater_PostQuinean_v1/_archive/chatgpt_patch_20251231T060217Z/article_eater_contract_cli.py:109; Article_Eater_PostQuinean_v1/app/cli/article_eater_contract_cli.py:126
notes,database_column;extraction_output_field,Article_Eater_PostQuinean_v1;Article_Finder_v3_2_3;BN;BN_graphical;Outcome_Contractor,5,attr;json_key;py_key;sql_col,111,Article_Eater_PostQuinean_v1/Post_Quinean Setup/4/ae.claim.v1.schema.json:270; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:62; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery.v1.schema.json:76; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery_builder.py:350; Article_Eater_PostQuinean_v1/_review_package_2026_01_23/claim_gallery_builder.py:389
