paper_id,doi,title,year,venue,topic_bucket,citation_count,environment_variable,outcome_variable,effect_direction,sample_n,confidence_tier,evidence_level,notes,abstract_snippet,pdf_available,article_type,template_family
doi:10.3397/in_2022_0179,10.3397/in_2022_0179,"Correlation Between Acoustic, Luminous, Thermal Dimensions of A Urban Park In an Oasis Settlement and emotional response of Visually Impaired Users",2023,INTER-NOISE and NOISE-CON Congress and Conference Proceedings,affect,0,noise,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"Occupants' interaction with urban spaces and their behavior is often influenced by environmental dimensions: thermal, visual, acoustic or air quality. Many studies have investigated the relationships between occupants' behavior and these dimensions, but just few of them have addressed
 occupants with special needs, ...",no,cross_sectional_survey,methods_protocol
doi:10.3389/fpubh.2024.1336028,10.3389/fpubh.2024.1336028,"Kairos study protocol: a multidisciplinary approach to the study of school timing and its effects on health, well-being and students' performance.",2024,Frontiers in public health,cognition,0,daylight,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Recent evidence from chronobiology, chssronomedicine and chronopsychology shows that the organisation of social time (e.g., school schedules) generally does not respect biological time. This raises concerns about the impact of the constant mismatch between students' social and internal body clocks on their health, w...",no,methods_protocol,methods_protocol
doi:10.15758/ajk.2025.27.1.11,10.15758/ajk.2025.27.1.11,Effects of Mental Fatigue on Gait Performance and Variability,2025,The Asian Journal of Kinesiology (Online),biophilic,0,biophilia,cognition,null,,medium,abstract_only_reduced_table,abstract_only,"OBJECTIVES Mental fatigue has been shown to negatively impact physical performance, including motor skills and neuromuscular function. This study aimed to investigate the effects of mental fatigue on gait performance and variability in healthy young male adults.METHODS Eighteen participants walked over-ground at the...",no,quasi_experimental,methods_protocol
doi:10.1111/ina.13076,10.1111/ina.13076,The effect of indoor daylight spectrum and intensity on viability of indoor pathogens on different surface materials.,2022,Indoor air,light,0,thermal,mood,mixed,,medium,abstract_only_reduced_table,abstract_only,"Built environments play a key role in the transmission of infectious diseases. Ventilation rates, air temperature, and humidity affect airborne transmission while cleaning protocols, material properties and light exposure can influence viability of pathogens on surfaces. We investigated how indoor daylight intensity...",no,methods_protocol,methods_protocol
doi:10.1007/s12035-019-01843-y,10.1007/s12035-019-01843-y,Pre-Exposure to Nicotine with Nocturnal Abstinence Induces Epigenetic Changes that Potentiate Nicotine Preference.,2020,Molecular neurobiology,light,0,daylight,stress,positive,,medium,abstract_only_reduced_table,abstract_only,"Prior exposure to drugs of abuse may facilitate addiction. It has been described that pre-exposure to nicotine can increase or, contrarily, prevent conditioned place preference (CPP). Here, we evaluated the effect of nicotine pre-exposure on CPP performance using an original protocol mimicking smokers' behaviour in ...",no,methods_protocol,methods_protocol
doi:10.3390/buildings13092128,10.3390/buildings13092128,Integrative Lighting in Classrooms: Preliminary Results from Simulations and Field Measurements,2023,Buildings,light,0,daylight,sleep,unknown,,low,abstract_only_reduced_table,abstract_only,"The paper presents results from a study on integrative lighting in real middle school classrooms located in a school building in Turin, Italy. The contribution of both daylighting and electric lighting was considered. Besides the existing configuration of electric lighting systems (fluorescent luminaires), a set of ...",no,methods_protocol,methods_protocol
doi:10.1525/aft.2022.49.1.45,10.1525/aft.2022.49.1.45,Sensing Brownness,2022,Afterimage,cognition,0,noise,attention,unknown,,low,abstract_only_reduced_table,abstract_only,"Maureen Catbagan’s Dark Matter (2020) photography series invites us into sensing brownness. In these images of museum passages and stairwells, silhouettes of museum guards, and evocative shadows, Catbagan presents the landscape of the museum. However, this may not be immediately recognizable because the photographs ...",no,methods_protocol,methods_protocol
doi:10.1016/j.media.2025.103496,10.1016/j.media.2025.103496,Deep learning based coronary vessels segmentation in X-ray angiography using temporal information.,2025,Medical image analysis,other,0,unspecified_environment,unspecified_outcome,unknown,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Invasive coronary angiography (ICA) is the gold standard imaging modality during cardiac interventions. Accurate segmentation of coronary vessels in ICA is required for aiding diagnosis and creating treatment plans. Current automated algorithms for vessel segmentation face task-specific challenges, including motion ...",no,methods_protocol,methods_protocol
doi:10.1086/728739,10.1086/728739,The Effects of Social Media Consumption on Adolescent Psychological Well-Being,2023,Journal of the Association for Consumer Research,other,0,unspecified_environment,mood,positive,,low,abstract_only_reduced_table,abstract_only;weak_variable_resolution,"Social media platforms emerged with the promise to increase social connections and conversation, both of which are presumably conducive to mental health and happiness. However, early research appeared to suggest that social media use, particularly for adolescents, may have the opposite effect, with studies showing n...",no,observational,methods_protocol
doi:10.1016/j.physbeh.2024.114728,10.1016/j.physbeh.2024.114728,Influence of acute and chronic therapeutic cooling on cognitive performance and well-being.,2025,Physiology & behavior,restoration,0,thermal,cognition,unknown,,low,abstract_only_reduced_table,abstract_only,"Research regarding the effect cold-water immersion (CWI) has on cognitive performance often uses excessive cooling protocols (>1-hour) to measure the detrimental impact prolonged cold exposure has on cognition. Previous studies have not considered shorter CWI protocols, similar to that used in recovery and wellness ...",no,methods_protocol,methods_protocol
